ふるゆきの,みのしろころも,うちきつつ,はるきにけりと,おとろかれぬる
いつれをか,わきてしのはむ,あきののに,うつろはむとて,いろかはるくさ
こゑたてて,なきそしぬへき,あききりに,ともまとはせる,しかにはあらねと
たれきけと,こゑたかさこに,さをしかの,なかなかしよを,ひとりなくらむ
うちはへて,かけとそたのむ,みねのまつ,いろとるあきの,かせにうつるな
はつしくれ,ふれはやまへそ,おもほゆる,いつれのかたか,まつもみつらむ
いもかひも,とくとむすふと,たつたやま,いまそもみちの,にしきおりける
かりなきて,さむきあしたの,つゆならし,たつたのやまを,もみたすものは
みることに,あきにもなるかな,たつたひめ,もみちそむとや,やまもきるらむ
あつさゆみ,いるさのやまは,あききりの,あたることにや,いろまさるらむ
きみとわれ,いもせのやまも,あきくれは,いろかはりぬる,ものにそありける
おそくとく,いろつくやまの,もみちはは,おくれさきたつ,つゆやおくらむ
かくはかり,もみつるいろの,こけれはや,にしきたつたの,やまといふらむ
からころも,たつたのやまの,もみちはは,ものおもふひとの,たもとなりけり
あしひきの,やまのやまもり,もるやまも,もみちせさする,あきはきにけり
からにしき,たつたのやまも,いまよりは,もみちなからに,ときはならなむ
からころも,たつたのやまの,もみちはは,はたものもなき,にしきなりけり
いくきとも,えこそみわかね,あきやまの,もみちのにしき,よそにたてれは
あきかせの,うちふくからに,やまものも,なへてにしきに,おりかへすかな
なとさらに,あきかととはむ,からにしき,たつたのやまの,もみちするよを
あたなりと,われはみなくに,もみちはを,いろのかはれる,あきしなけれは
たまかつら,かつらきやまの,もみちはは,おもかけにのみ,みえわたるかな
あききりの,たちしかくせは,もみちはは,おほつかなくて,ちりぬへらなり
かかみやま,やまかきくもり,しくるれと,もみちあかくそ,あきはみえける
かすしらす,きみかよはひを,のはへつつ,なたたるやとの,つゆとならなむ
つゆたにも,なたたるやとの,きくならは,はなのあるしや,いくよなるらむ
きくのうへに,おきゐるへくも,あらなくに,ちとせのみをも,つゆになすかな
きくのはな,なかつきことに,さきくれは,ひさしきこころ,あきやしるらむ
なにしおへは,なかつきことに,きみかため,かきねのきくは,にほへとそおもふ
ふるさとを,わかれてさける,きくのはな,たひなからこそ,にほふへらなれ
なににきく,いろそめかへし,にほふらむ,はなもてはやす,きみもこなくに
もみちはの,ちりくるみれは,なかつきの,ありあけのつきの,かつらなるらし
いくちはた,おれはかあきの,やまことに,かせにみたるる,にしきなるらむ
なほさりに,あきのやまへを,こえくれは,おらぬにしきを,きぬひとそなき
もみちはを,わけつつゆけは,にしききて,いへにかへると,ひとやみるらむ
うちむれて,いさわきもこか,かかみやま,こえてもみちの,ちらむかけみむ
やまかせの,ふきのまにまに,もみちはは,このもかのもに,ちりぬへらなり
あきのよに,あめときこえて,ふりつるは,かせにみたるる,もみちなりけり
たちよりて,みるへきひとの,あれはこそ,あきのはやしに,にしきしくらめ
このもとに,おらぬにしきの,つもれるは,くものはやしの,もみちなりけり
あきかせに,ちるもみちはは,をみなへし,やとにおりしく,にしきなりけり
あしひきの,やまのもみちは,ちりにけり,あらしのさきに,みてましものを
もみちはの,ふりしくあきの,やまへこそ,たちてくやしき,にしきなりけれ
たつたかは,いろくれなゐに,なりにけり,やまのもみちそ,いまはちるらし
たつたかは,あきにしなれは,やまちかみ,なかるるみつも,もみちしにけり
もみちはの,なかるるあきは,かはことに,にしきあらふと,ひとやみるらむ
たつたかは,あきはみつなく,あせななむ,あかぬもみちの,なかるれはをし
なみわけて,みるよしもかな,わたつみの,そこのみるめも,もみちちるやと
このはちる,うらになみたつ,あきなれは,もみちにはなも,さきまかひけり
わたつみの,かみにたむくる,やまひめの,ぬさをそひとは,もみちといひける
ひくらしの,こゑもいとなく,きこゆるは,あきゆふくれに,なれはなりけり
かせのおとの,かきりとあきや,せめつらむ,ふきくることに,こゑのわひしき
もみちはに,たまれるかりの,なみたには,つきのかけこそ,うつるへらなれ
おほかたの,あきのそらたに,わひしきに,ものおもひそふる,きみにもあるかな
わかことく,ものおもひけらし,しらつゆの,よをいたつらに,おきあかしつつ
あきふかみ,よそにのみきく,しらつゆの,たかことのはに,かかるなるらむ
とふことの,あきしもまれに,きこゆるは,かりにやわれを,ひとのたのめし
きみこふと,なみたにぬるる,わかそてと,あきのもみちと,いつれまさけり
てるつきの,あきしもことに,さやけきは,ちるもみちはを,よるもみよとか
なとわかみ,したはもみちと,なりにけむ,おなしなけきの,えたにこそあれ
あかからは,みるへきものを,かりかねの,いつこはかりに,なきてゆくらむ
いたつらに,つゆにおかるる,はなかとて,こころもしらぬ,ひとやをりけむ
えたもはも,うつろふあきの,はなみれは,はてはかけなく,なりぬへらなり
しつくもて,よはひのふてふ,はななれは,ちよのあきにそ,かけはしけらむ
あきのつき,ひかりさやけみ,もみちはの,おつるかけさへ,みえわたるかな
あきことに,つらをはなれぬ,かりかねは,はるかへるとも,かへらさらなむ
みなひとに,をられにけりと,きくのはな,きみかためにそ,つゆはおきける
ふくかせに,まかするふねや,あきのよの,つきのうへより,けふはこくらむ
もみちはは,ちるこのもとに,とまりけり,すきゆくあきや,いつちなるらむ
おもひいてて,とふにはあらし,あきはつる,いろのかきりを,みするなるらむ
うちやまの,もみちをみすは,なかつきの,すきゆくひをも,しらすそあらまし
なかつきの,ありあけのつきは,ありなから,はかなくあきは,すきぬへらなり
いつかたに,よはなりぬらむ,おほつかな,あけぬかきりは,あきそとおもはむ
はつしくれ,ふれはやまへそ,おもほゆる,いつれのかたか,まつもみつらむ
はつしくれ,ふるほともなく,さほやまの,こすゑあまねく,うつろひにけり
かみなつき,ふりみふらすみ,さためなき,しくれそふゆの,はしめなりける
ふゆくれは,さほのかはせに,ゐるたつも,ひとりねかたき,ねをそなくなる
ひとりぬる,ひとのきかくに,かみなつき,にはかにもふる,はつしくれかな
あきはてて,しくれふりぬる,われなれは,ちることのはを,なにかうらみむ
ふくかせは,いろもみえねと,ふゆくれは,ひとりぬるよの,みにそしみける
あきはてて,わかみしくれに,ふりぬれは,ことのはさへに,うつろひにけり
かみなつき,しくれとともに,かみなひの,もりのこのはは,ふりにこそふれ
たのむきも,かれはてぬれは,かみなつき,しくれにのみも,ぬるるころかな
かみなつき,しくれはかりを,みにそへて,しらぬやまちに,いるそかなしき
もみちはは,をしきにしきと,みしかとも,しくれとともに,ふりててそこし
もみちはも,しくれもつらし,まれにきて,かへらむひとを,ふりやととめぬ
かみなつき,かきりとやおもふ,もみちはの,やむときもなく,よるさへにふる
ちはやふる,かみかきやまの,さかきはは,しくれにいろも,かはらさりけり
ひとすます,あれたるやとを,きてみれは,いまそこのはは,にしきおりける
なみたさへ,しくれにそひて,ふるさとは,もみちのいろも,こさまさりけり
ふゆのいけの,かものうはけに,おくしもの,きえてものおもふ,ころにもあるかな
かみなつき,しくれふるにも,くるるひを,きみまつほとは,なかしとそおもふ
みをわけて,しもやおくらむ,あたひとの,ことのはさへに,かれもゆくかな
ひとしれす,きみにつけてし,わかそての,けさしもとけす,こほるなるへし
かきくらし,あられふりしけ,しらたまを,しけるにはとも,ひとのみるへく
かみなつき,しくるるときそ,みよしのの,やまのみゆきも,ふりはしめける
けさのあらし,さむくもあるかな,あしひきの,やまかきくもり,ゆきそふるらし
くろかみの,しろくなりゆく,みにしあれは,まつはつゆきを,あはれとそみる
あられふる,みやまのさとの,わひしきは,きてたはやすく,とふひとそなき
ちはやふる,かみなつきこそ,かなしけれ,わかみしくれに,ふりぬとおもへは
しらやまに,ゆきふりぬれは,あとたえて,いまはこしちに,ひともかよはす
ふりそめて,ともまつゆきは,うはたまの,わかくろかみの,かはるなりけり
くろかみの,いろふりかはる,しらゆきの,まちいつるともは,うとくそありける
くろかみと,ゆきとのなかの,うきみれは,ともかかみをも,つらしとそおもふ
としことに,しらかのかすを,ますかかみ,みるにそゆきの,ともはしりける
としふれと,いろもかはらぬ,まつかえに,かかれるゆきを,はなとこそみれ
しもかれの,えたとなわひそ,しらゆきの,きえぬかきりは,はなとこそみれ
こほりこそ,いまはすらしも,みよしのの,やまのたきつせ,こゑもきこえす
よをさむみ,ねさめてきけは,をしそなく,はらひもあへす,しもやおくらむ
かつきえて,そらもみたるる,あはゆきは,ものおもふひとの,こころなりけり
しらゆきの,ふりはへてこそ,とはさらめ,とくるたよりを,すくささらなむ
おもひつつ,ねなくにあくる,ふゆのよの,そてのこほりは,とけすもあるかな
あらたまの,としをわたりて,あるかうへに,ふりつむゆきの,たえぬしらやま
まこもかる,ほりえにうきて,ぬるかもの,こよひのしもに,いかにわふらむ
しらくもの,おりゐるやまと,みえつるは,ふりつるゆきの,きえぬなりけり
ふるさとの,ゆきははなとそ,ふりつもる,なかむるわれも,おもひきえつつ
なかれゆく,みつこほりぬる,ふゆさへや,なほうきくさの,あとはととめぬ
こころあてに,みはこそわかめ,しらゆきの,いつれかはなの,ちるにたかへる
あまのかは,ふゆはこほりに,とちたれや,いしまにたきつ,おとたにもせぬ
おしなへて,ゆきのふれれは,わかやとの,すきをたつねて,とふひともなし
ふゆのいけの,みつになかるる,あしかもの,うきねなからに,いくよへぬらむ
やまちかみ,めつらしけなく,ふるゆきの,しろくやならむ,としつもりなは
まつのはに,かかれるゆきの,それをこそ,ふゆのはなとは,いふへかりけれ
ふるゆきは,きえてもしはし,とまらなむ,はなももみちも,えたになきころ
なみたかは,みなくはかりの,ふちはあれと,こほりとけねは,ゆくかたもなし
ふるゆきに,ものおもふわかみ,おとらめや,つもりつもりて,きえぬはかりそ
よるならは,つきとそみまし,わかやとの,にはしろたへに,ふりつもるゆき
うめかえに,ふりおけるゆきを,はるちかみ,めのうちつけに,はなかとそみる
いつしかと,やまのさくらも,わかことく,としのこなたに,はるをまつらむ
としふかく,ふりつむゆきを,みるときそ,こしのしらねに,すむここちする
としくれて,はるあけかたに,なりぬれは,はなのためしに,まかふしらゆき
はるちかく,ふるしらゆきは,をくらやま,みねにそはなの,さかりなりける
ふゆのいけに,すむにほとりの,つれもなく,したにかよはむ,ひとにしらすな
うはたまの,よるのみふれる,しらゆきは,てるつきかけの,つもるなりけり
このつきの,としのあまりに,たらさらは,うくひすははや,なきそしなまし
せきこゆる,みちとはなしに,ちかなから,としにさはりて,はるをまつかな
ものおもふと,すくるつきひも,しらぬまに,ことしはけふに,はてぬとかきく
あつまちの,さやのなかやま,なかなかに,あひみてのちそ,わひしかりける
あかつきと,なにかいひけむ,わかるれは,よひもいとこそ,わひしかりけれ
まとろまぬ,かへにもひとを,みつるかな,まさしからなむ,はるのよのゆめ
くやくやと,まつゆふくれと,いまはとて,かへるあしたと,いつれまされり
ゆふくれは,まつにもかかる,しらつゆの,おくるあしたや,きえははつらむ
うちかへし,きみそこひしき,やまとなる,ふるのわさたの,おもひいてつつ
あきのたの,いねてふことを,かけしかは,おもひいつるか,うれしけもなし
ひとこふる,こころはかりは,それなから,われはわれにも,あらぬなりけり
おもひかは,たえすなかるる,みつのあわの,うたかたひとに,あはてきえめや
おもひやる,こころはつねに,かよへとも,あふさかのせき,こえすもあるかな
きえはてて,やみぬはかりか,としをへて,きみをおもひの,しるしなけれは
おもひたに,しるしなしてふ,わかみにそ,あはぬなけきの,かすはもえける
ほしかてに,ぬれぬへきかな,からころも,かわくたもとの,よよになけれは
よとともに,あふくまかはの,とほけれは,そこなるかけを,みぬそわひしき
わかことく,あひおもふひとの,なきときは,ふかきこころも,かひなかりけり
いつしかと,わかまつやまに,いまはとて,こゆなるなみに,ぬるるそてかな
ひとことは,まことなりけり,したひもの,とけぬにしるき,こころとおもへは
むすひおきし,わかしたひもの,いままてに,とけぬはひとの,こひぬなりけり
ほかのせは,ふかくなるらし,あすかかは,きのふのふちそ,わかみなりける
ふちせとも,いさやしらなみ,たちさわく,わかみひとつは,よるかたもなし
ひかりまつ,つゆにこころを,おけるみは,きえかへりつつ,よをそうらむる
しほみたぬ,うみときけはや,よとともに,みるめなくして,としのへぬらむ
からころも,きてかへりにし,さよすから,あはれとおもふを,うらむらむはた
かけたにも,みえすなりゆく,やまのゐは,あさきよりまた,みつやたえにし
あさしてふ,ことをゆゆしみ,やまのゐは,ほりしにこりに,かけはみえぬそ
いくたひか,いくたのうらに,たちかへり,なみにわかみを,うちぬらすらむ
たちかへり,ぬれてはひぬる,しほなれは,いくたのうらの,さかとこそみれ
あふことは,いととくもゐの,おほそらに,たつなのみして,やみぬはかりか
よそなから,やまむともせす,あふことは,いまこそくもの,たえまなるらめ
いまのみと,たのむなれとも,しらくもの,たえまはいつか,あらむとすらむ
をやみせす,あめさへふれは,さはみつの,まさるらむとも,おもほゆるかな
ゆめにたに,みることそなき,としをへて,こころのとかに,ぬるよなけれは
みそめすて,あらましものを,からころも,たつなのみして,きるよなきかな
かれはつる,はなのこころは,つらからて,ときすきにける,みをそうらむる
あたにこそ,ちるとみるらめ,きみにみな,うつろひにたる,はなのこころを
こむといひし,つきひをすくす,をはすての,やまのはつらき,ものにそありける
つきひをも,かそへけるかな,きみこふる,かすをもしらぬ,わかみなになり
このめはる,はるのやまたを,うちかへし,おもひやみにし,ひとそこひしき
ころをへて,あひみぬときは,しらたまの,なみたもはるは,いろまさりけり
ひとこふる,なみたははるそ,ぬるみける,たえぬおもひの,わかすなるへし
つらしとも,いかかうらみむ,ほとときす,わかやとちかく,なくこゑはせて
さとことに,なきこそわたれ,ほとときす,すみかさためぬ,きみたつぬとて
かすならぬ,みやまかくれの,ほとときす,ひとしれぬねを,なきつつそふる
あふことの,かたいとそとは,しりなから,たまのをはかり,なにによりけむ
おもふとは,いふものからに,ともすれは,わするるくさの,はなにやはあらぬ
うゑてみる,われはわすれて,あたひとに,まつわすらるる,はなにそありける
うらわかす,みるめかるてふ,あまのみは,なにかなにはの,かたへしもゆく
きみをおもふ,ふかさくらへに,つのくにの,ほりえみにゆく,われにやはあらぬ
いかてかく,こころひとつを,ふたしへに,うくもつらくも,なしてみすらむ
ともすれは,たまにくらへし,ますかかみ,ひとのたからと,みるそかなしき
いはせやま,たにのしたみつ,うちしのひ,ひとのみぬまは,なかれてそふる
うれしけに,きみかたのめし,ことのはは,かたみにくめる,みつにそありける
ゆきやらぬ,ゆめちにまとふ,たもとには,あまつそらなき,つゆそおきける
みははやく,ならのみやこと,なりにしを,こひしきことの,またもふりぬか
すみよしの,きしのしらなみ,よるよるは,あまのよそめに,みるそかなしき
きみこふと,ぬれにしそての,かわかぬは,おもひのほかに,あれはなりけり
あはさりし,ときいかなりし,ものとてか,たたいまのまも,みねはこひしき
よのなかに,しのふるこひの,わひしきは,あひてののちの,あはぬなりけり
こひをのみ,つねにするかの,やまなれは,ふしのねにのみ,なかぬひはなし
きみにより,わかみそつらき,たまたれの,みすはこひしと,おもはましやは
いまそしる,あかぬわかれの,あかつきは,きみをこひちに,ぬるるものとは
よそにふる,あめとこそきけ,おほつかな,なにをかひとの,こひちといふらむ
たえはつる,ものとはみつつ,ささかにの,いとをたのめる,こころほそさよ
うちわたし,なかきこころは,やつはしの,くもてにおもふ,ことはたえせし
おもふひと,おもはぬひとの,おもふひと,おもはさらなむ,おもひしるへく
こからしの,もりのしたくさ,かせはやみ,ひとのなけきは,おひそひにけり
わかれをは,かなしきものと,ききしかと,うしろやすくも,おもほゆるかな
なきたむる,たもとこほれる,けさみれは,こころとけても,きみをおもはす
みをわけて,あらまほしくそ,おもほゆる,ひとはくるしと,いひけるものを
くもゐにて,ひとをこひしと,おもふかな,われはあしへの,たつならなくに
あさちふの,をののしのはら,しのふれと,あまりてなとか,ひとのこひしき
あめやまぬ,のきのたまみつ,かすしらす,こひしきことの,まさるころかな
いせのうみに,はへてもあまる,たくなはの,なかきこころは,われそまされる
いろにいてて,こひすてふなそ,たちぬへき,なみたにそむる,そてのこけれは
かくこふる,ものとしりせは,よるはおきて,あくれはきゆる,つゆならましを
あひもみす,なけきもそめす,ありしとき,おもふことこそ,みになかりしか
こひのこと,わりなきものは,なかりけり,かつむつれつつ,かつそこひしき
わたつうみに,ふかきこころの,なかりせは,なにかはきみを,うらみしもせむ
みなかみに,いのるかひなく,なみたかは,うきてもひとを,よそにみるかな
いのりける,みなかみさへそ,うらめしき,けふよりほかに,かけのみえねは
いろふかく,そめしたもとの,いととしく,なみたにさへも,こさまさるかな
みるときは,ことそともなく,みぬときは,ことありかほに,こひしきやなそ
やまさとの,まきのいたとも,さささりき,たのめしひとを,まちしよひより
ゆくかたも,なくせかれたる,やまみつの,いはまほしくも,おもほゆるかな
ひとのうへの,こととしいへは,しらぬかな,きみもこひする,をりもこそあれ
つらからは,おなしこころに,つらからむ,つれなきひとを,こひむともせす
ひとしれす,おもふこころは,おほしまの,なるとはなしに,なけくころかな
はかなくて,おなしこころに,なりにしを,おもふかことは,おもふらむやそ
わひしさを,おなしこころと,きくからに,わかみをすてて,きみそかなしき
さためなく,あたにちりぬる,はなよりは,ときはのまつの,いろをやはみぬ
すみよしの,わかみなりせは,としふとも,まつよりほかの,いろをみましや
うつつにも,はかなきことの,あやしきは,ねなくにゆめの,みゆるなりけり
しらなみの,よるよるきしに,たちよりて,ねもみしものを,すみよしのまつ
なからへて,あらぬまてにも,ことのはの,ふかきはいかに,あはれなりけり
ひとをみて,おもふおもひも,あるものを,そらにこふるそ,はかなかりける
ひとりのみ,おもへはくるし,いかにして,おなしこころに,ひとををしへむ
わかこころ,いつならひてか,みぬひとを,おもひやりつつ,こひしかるらむ
はをわかみ,ほにこそいてね,はなすすき,したのこころに,むすはさらめや
あしひきの,やましたしけく,はふくすの,たつねてこふる,われとしらすや
かくれぬに,しのひわひぬる,わかみかな,ゐてのかはつと,なりやしなまし
あふくまの,きりとはなしに,よもすから,たちわたりつつ,よをもふるかな
あやしくも,いとふにはゆる,こころかな,いかにしてかは,おもひやむへき
ともかくも,いふことのはの,みえぬかな,いつらはつゆの,かかりところは
わひひとの,そほつてふなる,なみたかは,おりたちてこそ,ぬれわたりけれ
ふちせとも,こころもしらす,なみたかは,おりやたつへき,そてのぬるるに
こころみに,なほおりたたむ,なみたかは,うれしきせにも,なかれあふやと
かかりける,ひとのこころを,しらつゆの,おけるものとも,たのみけるかな
うくひすの,くもゐにわひて,なくこゑを,はるのさかとそ,われはききつる
かくはかり,つねなきよとは,しりなから,ひとをはるかに,なにたのみけむ
わかかとの,ひとむらすすき,かりかはむ,きみかてなれの,こまもこぬかな
よをうみの,あわときえぬる,みにしあれは,うらむることそ,かすなかりける
わたつみと,たのめしことも,あせぬれは,われそわかみの,うらはうらむる
あつまちの,さののふなはし,かけてのみ,おもひわたるを,しるひとのなさ
ふしてぬる,ゆめちにたにも,あはぬみは,なほあさましき,うつつとそおもふ
あまのとを,あけぬあけぬと,いひなして,そらなきしつる,とりのこゑかな
よもすから,ぬれてわひつる,からころも,あふさかやまに,みちまとひして
おもへとも,あやなしとのみ,いはるれは,よるのにしきの,ここちこそすれ
おとにのみ,ききこしみわの,やまよりも,すきのかすをは,われそみえにし
なにはかた,かりつむあしの,あしつつの,ひとへもきみを,われやへたつる
わかことや,きみもこふらむ,しらつゆの,おきてもねても,そてそかわかぬ
つらくとも,あらむとそおもふ,よそにても,ひとやけぬると,きかまほしさに
くれぬとて,ねてゆくへくも,あらなくに,たとるたとるも,かへるまされり
わりなしと,いふこそかつは,うれしけれ,おろかならすと,みえぬとおもへは
わかこひを,しらむとおもはは,たこのうらに,たつらむなみの,かすをかそへよ
いろならは,うつるはかりも,そめてまし,おもふこころを,えやはみせける
あしひきの,やまひはすとも,ふみかよふ,あとをもみぬは,くるしきものを
おほかたは,なそやわかなの,をしからむ,むかしのつまと,ひとにかたらむ
ひとはいさ,われはなきなの,をしけれは,むかしもいまも,しらすとをいはむ
あとみれは,こころなくさの,はまちとり,いまはこゑこそ,きかまほしけれ
かはとみて,わたらぬなかに,なかるるは,いはてものおもふ,なみたなりけり
あまくもに,なきゆくかりの,おとにのみ,ききわたりつつ,あふよしもなし
すみのえの,なみにはあらねと,よとともに,こころをきみに,よせわたるかな
みぬほとに,としのかはれは,あふことの,いやはるはるに,おもほゆるかな
けふすきは,しなましものを,ゆめにても,いつこをはかと,きみかとはまし
うつつにそ,とふへかりける,ゆめとのみ,まよひしほとや,はるけかりけむ
なかれては,ゆくかたもなし,なみたかは,わかみのうらや,かきりなるらむ
わかこひの,かすにしとらは,しろたへの,はまのまさこも,つきぬへらなり
なみたにも,おもひのきゆる,ものならは,いとかくむねは,こかささらまし
しるしなき,おもひやなそと,あしたつの,ねになくまてに,あはすわひしき
たまのをの,たえてみしかき,いのちもて,としつきなかき,こひもするかな
われのみや,もえてきえなむ,よとともに,おもひもならぬ,ふしのねのこと
ふしのねの,もえわたるとも,いかかせむ,けちこそしらね,みつならぬみは
わひわたる,わかみはつゆを,おなしくは,きみかかきねの,くさにきえなむ
みるめかる,なきさやいつこ,あふこなみ,たちよるかたも,しらぬわかみは
なるとより,さしいたされし,ふねよりも,われそよるへも,なきここちせし
たかさこの,みねのしらくも,かかりける,ひとのこころを,たのみけるかな
よそにのみ,まつははかなき,すみのえの,ゆきてさへこそ,みまくほしけれ
かけろふに,みしはかりにや,はまちとり,ゆくへもしらぬ,こひにまとはむ
わたつみの,そこのありかは,しりなから,かつきていらむ,なみのまそなき
つらしとも,おもひそはてぬ,なみたかは,なかれてひとを,たのむこころは
なかれてと,なにたのむらむ,なみたかは,かけみゆへくも,おもほえなくに
なにことを,いまはたのまむ,ちはやふる,かみもたすけぬ,わかみなりけり
ちはやふる,かみもみみこそ,なれぬらし,さまさまいのる,としもへぬれは
うらみても,みこそつらけれ,からころも,きていたつらに,かへすとおもへは
すみよしの,まつにたちよる,しらなみの,かへるをりにや,ねはなかるらむ
おもはむと,たのめしことも,あるものを,なきなをたてて,たたにわすれね
かすかのの,とふひののもり,みしものを,なきなといはは,つみもこそうれ
わすられて,おもふなけきの,しけるをや,みをはつかしの,もりといふらむ
おもはむと,たのめしひとは,ありときく,いひしことのは,いつちいにけむ
さてもなほ,まかきのしまの,ありけれは,たちよりぬへく,おもほゆるかな
これはかく,うらみところも,なきものを,うしろめたくは,おもはさらなむ
おもひきや,あひみぬことを,いつよりと,かそふはかりに,なさむものとは
よのつねの,ねをしなかねは,あふことの,なみたのいろも,ことにそありける
しらなみの,よするいそまを,こくふねの,かちとりあへぬ,こひもするかな
こひしさは,ねぬになくさむ,ともなきに,あやしくあはぬ,めをもみるかな
ひさしくも,こひわたるかな,すみのえの,きしにとしふる,まつならなくに
あふことの,よよをへたつる,くれたけの,ふしのかすなき,こひもするかな
いまはてふ,こころつくはの,やまみれは,こすゑよりこそ,いろかはりけれ
かへりけむ,そらもしられす,をはすての,やまよりいてし,つきをみしまに
ふりとけぬ,きみかゆきけの,しつくゆゑ,たもとにとけぬ,こほりしにけり
かたときも,みねはこひしき,きみをおきて,あやしやいくよ,ほかにねぬらむ
おもひやる,こころにたくふ,みなりせは,ひとひにちたひ,きみはみてまし
あふことは,とほやまとりの,かりころも,きてはかひなき,ねをのみそなく
ふかくのみ,おもふこころは,あしのねの,わけてもひとに,あはむとそおもふ
いさりひの,よるはほのかに,かくしつつ,ありへはこひの,したにけぬへし
たちよらは,かけふむはかり,ちかけれと,たれかなこその,せきをすゑけむ
わかそては,なにたつすゑの,まつやまか,そらよりなみの,こえぬひはなし
ひとりねの,わひしきままに,おきゐつつ,つきをあはれと,いみそかねつる
からにしき,をしきわかなは,たちはてて,いかにせよとか,いまはつれなき
ひとつてに,いふことのはの,うちよりそ,おもひつくはの,やまはみえける
たよりにも,あらぬおもひの,あやしきは,こころをひとに,つくるなりけり
ひとつまに,こころあやなく,かけはしの,あやふきみちは,こひにそありける
いはておもふ,こころありその,はまかせに,たつしらなみの,よるそわひしき
ひとりのみ,こふれはくるし,よふことり,こゑになきいてて,きみにきかせむ
ふしなくて,きみかたえにし,しらいとは,よりつきかたき,ものにそありける
くさまくら,このたひへつる,としつきの,うきはかへりて,うれしからなむ
いてしより,みえすなりにし,つきかけは,またやまのはに,いりやしにけむ
あしひきの,やまにおふてふ,もろかつら,もろともにこそ,いらまほしけれ
はまちとり,たのむをしれと,ふみそむる,あとうちけつな,われをこすなみ
ゆくみつの,せことにふまむ,あとゆゑに,たのむしるしを,いつれとかみむ
つまにおふる,ことなしくさを,みるからに,たのむこころそ,かすまさりける
おくつゆの,かかるものとは,おもへとも,かれせぬものは,なてしこのはな
かれすとも,いかかたのまむ,なてしこの,はなはときはの,いろにしあらねは
なにしおはは,あふさかやまの,さねかつら,ひとにしられて,くるよしもかな
こひしとは,さらにもいはし,したひもの,とけむをひとは,それとしらなむ
したひもの,しるしとするも,とけなくに,かたるかことは,あらすもあるかな
うつつにも,はかなきことの,わひしきは,ねなくにゆめと,おもふなりけり
たむけせぬ,わかれするみの,わひしきは,ひとめをたひと,おもふなりけり
やとかへて,まつにもみえす,なりぬれは,つらきところの,おほくもあるかな
おもはむと,たのめしひとは,かはらしを,とはれぬわれや,あらぬなるらむ
いたつらに,たひたひしぬと,いふめれは,あふにはなにを,かへむとすらむ
しぬしぬと,きくきくたにも,あひみねは,いのちをいつの,よにかのこさむ
ゑにかける,とりともひとを,みてしかな,おなしところを,つねにとふへく
むかしせし,わかかねことの,かなしきは,いかにちきりし,なこりなるらむ
うつつにて,たれちきりけむ,さためなき,ゆめちにまよふ,われはわれかは
くれはとり,あやにこひしく,ありしかは,ふたむらやまも,こえすなりにき
からころも,たつををしみし,こころこそ,ふたむらやまの,せきとなりけめ
ゆめかとも,おもふへけれと,おほつかな,ねぬにみしかは,わきそかねつる
そらしらぬ,あめにもぬるる,わかみかな,みかさのやまを,よそにききつつ
もろともに,をるともなしに,うちとけて,みえにけるかな,あさかほのはな
ももしきは,をののえくたす,やまなれや,いりにしひとの,おとつれもせぬ
すすかやま,いせをのあまの,すてころも,しほなれたりと,ひとやみるらむ
いかてわれ,ひとにもとはむ,あかつきの,あかぬわかれや,なにににたりと
こひしきに,きえかへりつつ,あさつゆの,けさはおきゐむ,ここちこそせね
しののめに,あかてわかれし,たもとをそ,つゆやわけしと,ひとはとかむる
こひしきも,おもひこめつつ,あるものを,ひとにしらるる,なみたなになり
あふさかの,このしたつゆに,ぬれしより,わかころもては,いまもかわかす
きみをおもふ,こころをひとに,こゆるきの,いそのたまもや,いまもからまし
なきなそと,ひとにはいひて,ありぬへし,こころのとはは,いかかこたへむ
きよけれと,たまならぬみの,わひしきは,みかけるものに,いはぬなりけり
あふことを,いさほにいてなむ,しのすすき,しのひはつへき,ものならなくに
あひみても,わかるることの,なかりせは,かつかつものは,おもはさらまし
いつのまに,こひしかるらむ,からころも,ぬれにしそての,ひるまはかりに
わかれつる,ほともへなくに,しらなみの,たちかへりても,みまくほしきか
ひとしれぬ,みはいそけとも,としをへて,なとこえかたき,あふさかのせき
あつまちに,ゆきかふひとに,あらぬみは,いつかはこえむ,あふさかのせき
つれもなき,ひとにまけしと,せしほとに,われもあたなは,たちそしにける
つらからぬ,なかにあるこそ,うとしといへ,へたてはててし,きぬにやはあらぬ
ときはなる,ひかけのかつら,けふしこそ,こころのいろに,ふかくみえけれ
たれとなく,かかるおほみに,ふかからむ,いろをときはに,いかかたのまむ
たれとなく,おほろにみえし,つきかけに,わけるこころを,おもひしらなむ
はるをたに,またてなきぬる,うくひすは,ふるすはかりの,こころなりけり
ゆふされは,わかみのみこそ,かなしけれ,いつれのかたに,まくらさためむ
ゆめにたに,またみえなくに,こひしきは,いつにならへる,こころなるらむ
おもふてふ,ことをそねたく,ふるしける,きみにのみこそ,いふへかりけれ
あなこひし,ゆきてやみまし,つのくにの,いまもありてふ,うらのはつしま
つきかへて,きみをはみむと,いひしかと,ひたにへたてす,こひしきものを
いせのうみに,しほやくあまの,ふちころも,なるとはすれと,あはぬきみかな
わたのそこ,かつきてしらむ,きみかため,おもふこころの,ふかさくらへに
からころも,かけてたのまぬ,ときそなき,ひとのつまとは,おもふものから
