ふるゆきの,みのしろころも,うちきつつ,はるきにけりと,おとろかれぬる
かきこしに,ちりくるはなを,みるよりは,ねこめにかせの,ふきもこさなむ
はるのひの,なかきおもひは,わすれしを,ひとのこころに,あきやたつらむ
よそにても,はなみることに,ねをそなく,わかみにうとき,はるのつらさに
かせをたに,まちてそはなの,ちりなまし,こころつからに,うつろふかうさ
わかやとに,すみれのはなの,おほけれは,きやとるひとや,あるとまつかな
やまたかみ,かすみをわけて,ちるはなを,ゆきとやよその,ひとはみるらむ
ふくかせの,さそふものとは,しりなから,ちりぬるはなの,しひてこひしき
うちはへて,はるはさはかり,のとけきを,はなのこころや,なにいそくらむ
わかやとの,なけきははるも,しらなくに,なににかはなを,くらへてもみむ
はるのひの,かけそふいけの,かかみには,やなきのまゆそ,まつはみえける
かくなから,ちらてよをやは,つくしてぬ,はなのときはも,ありとみるへく
かさせとも,おいもかくれぬ,このはるそ,はなのおもては,ふせつへらなる
ひととせに,かさなるはるの,あらはこそ,ふたたひはなも,みむとたのまめ
はるくれは,さくてふことを,ぬれきぬに,きするはかりの,はなにそありける
はるかすみ,たちなからみし,はなゆゑに,ふみとめてける,あとのくやしさ
はるひさす,ふちのうらはの,うらとけて,きみしおもはは,われもたのまむ
うくひすに,みをあひかへは,ちるまても,わかものにして,はなはみてまし
はなのいろは,むかしなからに,みしひとの,こころのみこそ,うつろひにけれ
あたらよの,つきとはなとを,おなしくは,こころしれらむ,ひとにみせはや
みやこひと,きてもをらなむ,かはつなく,あかたのゐとの,やまふきのはな
いまよりは,かせにまかせむ,さくらはな,ちるこのもとに,きみとまりけり
かせにしも,なにかまかせむ,さくらはな,にほひあかぬに,ちるはうかりき
つねよりも,はるへになれは,さくらかは,はなのなみこそ,まなくよすらめ
わかきたる,ひとへころもは,やまふきの,やへのいろにも,おとらさりけり
ひととせに,ふたたひさかぬ,はななれは,うへちることを,ひとはいひけり
はるさめの,はなのえたより,なかれこは,なほこそぬれめ,かもやうつると
はるふかき,いろにもあるかな,すみのえの,そこもみとりに,みゆるはままつ
はるくれは,はなみにとおもふ,こころこそ,のへのかすみと,ともにたちけれ
われをこそ,とふにうからめ,はるかすみ,はなにつけても,たちよらぬかな
たちよらぬ,はるのかすみを,たのまれよ,はなのあたりと,みれはなるらむ
きみみよと,たつねてをれる,やまさくら,ふりにしいろと,おもはさらなむ
かみさひて,ふりにしさとに,すむひとは,みやこににほふ,はなをたにみす
みよしのの,よしののやまの,さくらはな,しらくもとのみ,みえまかひつつ
やまさくら,さきぬるときは,つねよりも,みねのしらくも,たちまさりけり
しらくもと,みえつるものを,さくらはな,けふはちるとや,いろことになる
わかやとの,かけともたのむ,ふちのはな,たちよりくとも,なみにをらるな
はなさかり,またもすきぬに,よしのかは,かけにうつろふ,きしのやまふき
しのひかね,なきてかはつの,をしむをも,しらすうつろふ,やまふきのはな
をりつれは,たふさにけかる,たてなから,みよのほとけに,はなたてまつる
みなそこの,いろさへふかき,まつかえに,ちとせをかねて,さけるふちなみ
