あらたまの,としもかはらて,たつはるは,かすみはかりそ,そらにしりける
ひさかたの,つきすみわたる,こからしに,しくるるあめは,もみちなりけり
こからしの,もみちふきしく,にはのおもに,つゆものこらぬ,あきのいろかな
しもおかぬ,ひとめもいまは,かれはてて,まつにとひくる,かせそかはらぬ
かささきの,わたすやいつこ,ゆふしもの,くもゐにしろき,みねのかけはし
すまのうらに,あきをととめぬ,せきもりも,のこるしもよの,つきはみるらむ
つゆむすふ,しもよのかすの,かさなれは,たへてやきくの,うつろひぬらむ
みなそこに,かけをうつせる,きくのはな,なみのをるにそ,いろまさりける
おくしもに,いろそめかへし,そほちつつ,はなのさかりは,けふなからみむ
くもまなく,なかむるそらも,かきくらし,いかにしのふる,しくれなるらむ
ことわりの,しくれのそらは,くもまあれと,なかむるそてそ,かわくよもなき
そてぬらす,しくれなりけり,かみなつき,いこまのやまに,かかるむらくも
ふゆきては,しくるるくもの,たえまたに,よものこのはの,ふらぬひそなき
しくれには,ぬれぬこのはも,なかりけり,やまはみかさの,なのみふりつつ
ゆふつくひ,いるさのやまの,たかねより,はるかにめくる,はつしくれかな
やまのはに,いりひのかけは,さしなから,ふもとのさとは,しくれてそゆく
むらくもの,とやまのみねに,かかるかと,みれはしくるる,しからきのさと
かみなつき,しくれにけりな,あらちやま,ゆきかふそても,いろかはるまて
みやまきの,のこりはてたる,こすゑより,なほしくるるは,あらしなりけり
つきをおもふ,あきのなこりの,ゆふくれに,こかけふきはらふ,やまおろしのかせ
あきのいろは,のこらぬやまの,こからしに,つきのかつらの,かけそつれなき
そらさむみ,こほれておつる,しらたまの,ゆらくほとなき,しもかれのには
ふるさとの,にはのひかけも,さえくれて,きりのおちはに,あられふるなり
ゆふつくひ,さすかにうつる,しはのとに,あられふきまく,やまおろしのかせ
さゆるよは,ふるやあられの,たまくしけ,みむろのやまの,あけかたのそら
いはたたく,たきつかはなみ,おとさえて,たにのこころや,よさむなるらむ
ふきむすふ,たきはこほりに,とちはてて,まつにそかせの,こゑもをしまぬ
おちたきつ,いはきりこえし,たにみつも,ふゆはよなよな,ゆきなやむなり
ねやさむき,ねくたれかみの,なかきよに,なみたのこほり,むすほほれつつ
かせさえて,よすれはやかて,こほりつつ,かへるなみなき,しかのからさき
しかのうらや,こほりのひまを,ゆくふねに,なみもみちある,よとやみるらむ
ふゆのよは,あまきるゆきに,そらさえて,くものなみちに,こほるつきかけ
うちはへて,ふゆはさはかり,なかきよに,なほのこりける,ありあけのつき
つききよみ,ちとりなくなり,おきつかせ,ふけひのうらの,あけかたのそら
ともちとり,むれてなきさに,わたるなり,おきのしらすに,しほやみつらむ
かせふけは,なにはのうらの,はまちとり,あしまになみの,たちゐこそなけ
さよちとり,みなとふきこす,しほかせに,うらよりほかの,ともさそふなり
かせさむみ,よのふけゆけは,いもかしま,かたみのうらに,ちとりなくなり
としさむき,まつのこころも,あらはれて,はなさくいろを,みするゆきかな
あらはれて,としあるみよの,しるしにや,のにもやまにも,つもるしらゆき
しきしまや,ふるのみやこは,うつもれて,ならしのをかに,みゆきつもれり
みやきひく,そまやまひとは,あともなし,ひはらすきはら,ゆきふかくして
たかしまや,みをのそまやま,あとたえて,こほりもゆきも,ふかきふゆかな
まきもくの,ひはらのやまも,ゆきとちて,まさきのかつら,くるひともなし
おほはらは,ひらのたかねの,ちかけれは,ゆきふるほとを,おもひこそやれ
たまつはき,みとりのいろも,みえぬまて,こせのふゆのは,ゆきふりにけり
くもゐより,ちりくるゆきは,ひさかたの,つきのかつらの,はなにやあるらむ
いるひとの,おとつれもせぬ,しらゆきの,ふかきやまちを,いつるつきかけ
をとめこの,そてふるゆきの,しろたへに,よしののみやは,さえぬひもなし
ゆきふかき,よしののやまの,たかねより,そらさへさえて,いつるつきかけ
さひしきは,いつもなかめの,ものなれと,くもまのみねの,ゆきのあけほの
しもとゆふ,かつらきやまの,いかならむ,みやこもゆきは,まなくときなし
やまたかみ,あけはなれゆく,よこくもの,たえまにみゆる,みねのしらゆき
あけわたる,くもまのほしの,ひかりまて,やまのはさむし,みねのしらゆき
さとのあまの,さためぬやとも,うつもれぬ,よするなきさの,ゆきのしらなみ
わたのはら,やそしましろく,ふるゆきの,あまきるなみに,まかふつりふね
ふみみける,にほのあとさへ,をしきかな,こほりのうへに,ふれるしらゆき
ちはやふる,かみなひやまの,ならのはを,ゆきふりさけて,たをるやまひと
おくやまの,まつのはしのき,ふるゆきは,ひとたのめなる,はなにそありける
つまきこる,やまちもいまや,たえぬらむ,さとたにふかき,けさのしらゆき
かりころも,すそのもふかし,はしたかの,とかへるやまの,みねのしらゆき
はしたかの,とかへるやまの,ゆきのうちに,それともみえぬ,みねのしひしは
たにふかみ,ゆきのふるみち,あとたえて,つもれるとしを,しるひとそなき
くれやすき,ひかすもゆきも,ひさにふる,みむろのやまの,まつのしたをれ
いたまより,そてにしらるる,やまおろしに,あらはれわたる,うつみひのかけ
いかなれは,ふゆにしられぬ,いろなから,まつしもかせの,はけしかるらむ
もののふの,やそうちかはを,ゆくみつの,なかれてはやき,としのくれかな
ととめはや,なかれてはやき,としなみの,よとまぬみつは,しからみもなし
つらかりし,そてのわかれの,それならて,をしむをいそく,としのくれかな
あすかかは,かはるふちせも,あるものを,せくかたしらぬ,としのくれかな
ももしきの,おほみやひとも,むれゐつつ,こそとやけふを,あすはかたらむ
ふるゆきを,そらにぬさとそ,たむけつる,はるのさかひに,としのこゆれは
つるのこの,またやしはこの,すゑまても,ふるきためしを,わかよとやみむ
ひさかたの,あまとふつるの,ちきりおきし,ちよのためしの,けふにもあるかな
つねよりも,みかさのやまの,つきかけの,ひかりさしそふ,あめのしたかな
あめのした,ひさしきみよの,しるしには,みかさのやまの,さかきをそさす
やちよへむ,きみかためとや,たまつはき,はかへをすへき,ほとはさためし
むしろたに,むれゐるたつの,ちよもみな,きみかよはひに,しかしとそおもふ
いろかへぬ,たけのけしきに,しるきかな,よろつよふへき,きみかよはひは
きみかよの,ちとせのまつの,ふかみとり,さわかぬみつに,かけはみえつつ
えたかはす,かすかのはらの,ひめこまつ,いのるこころは,かみそしるらむ
わかやとの,ちよのかはたけ,ふしとほみ,さもゆくすゑの,はるかなるかな
くれたけの,よよのみやこと,きくからに,きみはちとせの,うたかひもなし
みなひとの,いかてとおもふ,よろつよの,ためしときみを,いのるけふかな
おほはらや,をしほのこまつ,はをしけみ,いととちとせの,かけとならなむ
うれしさを,むかしはそてに,つつみけり,こよひはみにも,あまりぬるかな
ちとせまて,いろやまさらむ,きみかため,いはひそめつる,まつのみとりは
うつしうゑて,しめゆふやとの,ひめこまつ,いくちよふへき,こすゑなるらむ
かみかきや,いそへのまつに,こととはむ,けふをはよよの,ためしとやみる
うつしううる,まつのみとりも,きみかよも,けふこそちよの,はしめなりけれ
ときはなる,たままつかえも,はるくれは,ちよのひかりや,みかきそふらむ
ふしておもひ,あふきていのる,わかきみの,みよはちとせに,かきらさるへし
はるはまつ,ねのひのまつに,あらすとも,ためしにわれを,ひとやひくへき
けふそみる,たまのうてなの,さくらはな,のとけきはるに,あまるにほひを
つねよりも,はるものとけき,きみかよに,ちらぬためしの,はなをみるかな
はつはるの,はなのみやこに,まつをうゑて,たみのととめる,ちよそしらるる
なにしおはは,しくやみきはの,たまやなき,いりえのなみに,みふねこくまて
はるひさく,ふちのしたかけ,いろみえて,ありしにまさる,やとのいけみつ
みたやもり,いそくさなへに,おなしくは,ちよのかすとれ,わかきみのため
いまそこれ,いのりしかひよ,かすかやま,おもへはうれし,さをしかのこゑ
わかやとの,ひかりをみても,くものうへの,つきをそいのる,のとかなれとは
としあれは,あきのくもなす,いなむしろ,かりしくたみの,たたぬひそなき
あきをへて,きみかよはひの,ありかすに,かりたのいねも,ちつかつむなり
よろつよの,あきをまちつつ,なきわたれ,いはほにねさす,まつむしのこゑ
きくのつゆ,わかゆはかりに,そてふれて,はなのあるしに,ちよはゆつらむ
わかやとの,きくのしらつゆ,よろつよの,あきのためしに,おきてこそみめ
なかつきに,にほひそめにし,きくなれは,しももひさしく,おけるなりけり
かみなつき,のこるみきはの,しらきくは,ひさしきあきの,しるしなりけり
おほゐかは,ふるきみゆきの,なかれにて,となせのみつも,けふそすみける
おほゐかは,けふのみゆきの,しるしにや,ちよにひとたひ,すみわたるらむ
ちよふへき,なにはのあしの,よをかさね,しものふりはの,つるのけころも
ちりもせし,ころもにすれる,ささたけの,おほみやひとの,かさすさくらは
ひさかたの,つきのかつらの,やまひとも,とよのあかりに,あひにけるかな
しくれふる,みむらのやまの,もみちはは,たかおりかけし,にしきなるらむ
あめつちを,てらすかかみの,やまなれは,ひさしかるへき,かけそみえける
いろいろの,くさはのつゆを,おしなへて,たまののはらに,つきそみかける
ふかみとり,たままつかえの,ちよまても,いはやのやまそ,うこかさるへき
あしひきの,いはくらやまの,ひかけくさ,かさすやかみの,みことなるらむ
つきもひも,かはりゆけとも,ひさにふる,みむろのやまの,とこみやところ
としへたる,ふるきうききを,すてねはそ,さやけきひかり,とほくきこゆる
つつみをは,とよらのみやに,つきそめて,よよをへぬれと,みつはもらさす
ふるゆきの,しろかみまてに,おほきみに,つかへまつれは,たふとくもあるか
あをによし,ならのみやこの,くろきもて,つくれるやとは,をれとあかぬかも
いさやこら,かしひのかたに,しろたへの,そてさへぬれて,あさなつみてむ
ふせのうみの,おきつしらなみ,ありかよひ,いやとしのはに,みつつしのはむ
あきののに,をはなかりふき,やとれりし,うちのみやこの,かりいほしそおもふ
みよしのの,やましたかせの,さむけくに,はたやこよひも,わかひとりねむ
あしへゆく,かものはかひに,しもふりて,さむきゆふへの,ことをしそおもふ
いつくにか,わかやとりせむ,たかしまの,かちののはらに,このひくらしつ
くるしくも,ふりくるあめか,みわのさき,さののわたりに,いへもあらなくに
まつちやま,ゆふこえゆきて,いほさきの,すみたかはらに,ひとりかもねむ
ひくらしの,ゆきすきぬとも,かひもあらし,ひもとくいもも,またしとおもへは
ゆくひとを,ととめかねてそ,うりふやま,みねたちならし,しかもなくらむ
みやこにと,いそくかひなく,おほしまの,なたのかけちは,しほみちにけり
けふやさは,おもひたつらむ,たひころも,みにはなれねと,あはれとそきく
こしかたを,やへのしらくも,へたてつつ,いととやまちの,はるかなるかな
かりそめの,わかれとおもへと,たけくまの,まつにほとへむ,ことそくやしき
たちわかれ,はるかにいきの,まつほとは,ちとせをすくす,ここちせむかも
しぬはかり,けふたになけく,わかれちに,あすはいくへき,ここちこそせね
たひころも,たつあかつきの,とりのねに,つゆよりさきも,そてはぬれけり
わかれちを,おしあけかたの,まきのとに,まつさきたつは,なみたなりけり
わかれゆく,かけもとまらす,いはしみつ,あふさかやまは,なのみふりつつ
あかつきそ,なほうきものと,しられにし,みやこをいてし,ありあけのそら
くれにもと,いはぬわかれの,あかつきを,つれなくいてし,たひのそらかな
またしらぬ,たひのみちにそ,いてにける,のはらしのはら,ひとにとひつつ
かみなひの,もりのあたりに,やとはかれ,くれゆくあきも,さそとまるらむ
いそくとも,けふはとまらむ,たひねする,あしのかりいほに,もみちちりけり
とりのねに,あけぬときけは,たひころも,さゆともこえむ,せきのしらゆき
わかおもふ,ひとにみせはや,もろともに,すみたかはらの,ゆふくれのそら
はるかなる,あしやのおきの,うきねにも,ゆめちはちかき,みやこなりけり
くさまくら,むすふゆめちは,みやこにて,さむれはたひの,そらそかなしき
うきまくら,かせのよるへも,しらなみの,うちぬるよひは,ゆめをたにみす
あらいその,たまものとこに,かりねして,われからそてを,ぬらしつるかな
てるつきの,みちゆくしほに,うきねして,たひのひかすそ,おもひしらるる
よのなかは,つねにもかもな,なきさこく,あまのをふねの,つなてかなしも
くれぬとて,とまりにかかる,ゆふなみに,ことうらしるき,あまのいさりひ
よをかさね,うきねのかすは,つもれとも,なみちのすゑや,なほのこるらむ
なみまくら,ゆめにもみえす,いもかしま,なにをかたみの,うらといふらむ
たちかへり,またもやこえむ,みねのくも,あともととめぬ,よものあらしに
つきのいろも,うつりにけりな,たひころも,すそののはきの,はなのゆふつゆ
よをうしと,なれしみやこは,わかれにき,いつこのやまを,とまりともなし
しらくもの,やへたつやまを,たつぬとも,まことのみちは,なほやまとはむ
こえわふる,やまもいくへに,なりぬらむ,わけゆくあとを,うつむしらくも
くれはまた,わかやとりかは,たひひとの,かちののはらの,はきのしたつゆ
いにしへの,われとはしらし,あさかやま,みえしやまゐの,かけしにあらねは
かへりこは,かさなるやまの,みねことに,とまるこころを,しをりにはせむ
あつまちの,のちのくさはの,つゆしけみ,ゆくもとまるも,そてそしをるる
まくらとて,くさひきむすふ,こともせし,あきのよとたに,たのまれなくに
おほともの,たかしのはまの,まつかねを,まくらにぬれと,いへしおもほゆ
からころも,したてるひめの,つまこひそ,あめにきこゆる,たつならぬねは
あめのした,をさむるはしめ,むすひおきて,よろつよまてに,たえぬなりけり
つきよみの,あめにのほりて,やみもなく,あきらけきよを,みるかたのしさ
あさなあさな,てるひのひかり,ますことに,こやねのみこと,いつかわすれむ
ささわけは,そてこそやれめ,とねかはの,いしはふむとも,いさかはらより
ゆみといへは,しななきものと,あつさゆみ,まゆみつきゆみ,ひとしなもなし
ゆふしてや,かみのみやひと,たまさかに,もりいてしよはは,なほそこひしき
ゆふしてて,いはふいつきの,みやひとは,よよにかれせぬ,さかきをそとる
はるはなほ,のこれるものを,さくらはな,しめのうちには,ちりはてにけり
いかなれは,かさしのはなは,はるなから,をみのころもに,しものおくらむ
やまあゐもて,すれるころもの,あかひもの,なかくそわれは,かみにつかふる
やまあゐもて,すれるころもに,ふるゆきは,かさすさくらの,ちるかとそみる
たちかへる,くもゐのつきも,かけそへて,にはひうつろふ,やまあゐのそて
ありあけの,そらまたふかく,おくしもに,つきかけさゆる,あさくらのこゑ
さかきとり,かけしみむろの,ますかかみ,そのやまのはと,つきもくもらす
すすかかは,やそせしらなみ,わけすきて,かみちのやまの,はるをみしかな
かすかやま,もりのしたみち,ふみわけて,いくたひなれぬ,さをしかのこゑ
かすかやま,やまたかからし,あききりの,うへにそしかの,こゑはきこゆる
しかのうらに,いつつのいろの,なみたてて,あまくたりける,いにしへのあと
あさひさす,そなたのそらの,ひかりこそ,やまかけてらす,あるしなりけれ
うけとりき,うきみなりとも,まとはすな,みのりのつきの,いりかたのそら
わかたのむ,かみもやそてを,ぬらすらむ,はかなくおつる,ひとのなみたに
かそふれは,やそちのはるに,なりにけり,しめのうちなる,はなをかさして
やほよろつ,かみのちかひも,まことには,みよのほとけの,めくみなりけり
かけていのる,そのかみやまの,やまひとと,ひともみあれの,もろかつらせり
しもやたひ,おけとみとりの,さかきはに,ゆふしてかけて,よをいのるかな
もみちはの,あけのたまかき,いくあきの,しくれのあめに,としふりぬらむ
かみやまの,さかきもまつも,しけりつつ,ときはかきはの,いろそひさしき
やへさかき,しけきめくみの,かすそへて,いやとしのはに,きみをいのらむ
ちはやふる,かみよのつきの,さえぬれは,みたらしかはも,にこらさりけり
あまつかせ,あめのやへくも,ふきはらへ,はやあきらけき,ひのみかけみむ
さとかくら,あらしはるかに,おとつれて,よそのねさめも,かみさひにけり
しもかれや,ならのひろはを,やひらてに,さすとそいそく,かみのみやつこ
みつかきに,くちなしそめの,ころもきて,もみちにましる,ひとやはふりこ
ほつしやうの,むろとといへと,わかすめは,うゐのなみかせ,よせぬひそなき
うろのみは,くさはにかかる,つゆなるを,やかてはちすに,やとらさりけむ
のりのつき,ひさしくもかなと,おもへとも,さよふけにけり,ひかりかくしつ
ほつしむの,つきはわかみを,てらせとも,むみやうのくもの,みせぬなりけり
ねむころに,とをのいましめ,うけつれは,いつつのさはり,あらしとそおもふ
くさきまて,ほとけのたねと,ききつれは,このみちならむ,こともたのもし
たれもみな,ほとけのたねそ,おこなはは,このみなからも,ならさらめやは
むつのわを,はなれてみよの,ほとけには,たたこのつゑに,かかりてそなる
むかしみし,はなのいろいろ,ちりかふは,けふのみのりの,ためしなるらむ
きてつくる,ひとなかりせは,ころもてに,かくるたまをも,しらすやあらまし
そてのうへの,たまをなみたと,おもひしは,かけけむきみに,そはぬなりけり
けふたつる,たみのけふりの,たえさらは,きえてはかなき,あとをとはなむ
よよをへて,ときくるのりは,おほかれと,これそまことの,こころなりける
みなひとの,ひかりをあふく,そらのこと,のとかにてらせ,くもかくれせて
まれらなる,のりをききつる,みちしあれは,うきをかきりと,おもひぬるかな
けちかたき,ひとのおもひに,みをかへて,ほのほにさへや,たちましるらむ
みなしこと,なになけきけむ,よのなかに,かかるみのりの,ありけるものを
たにかはの,なかれのすゑを,くむひとも,きくはいかかは,しるしありける
たをりつる,はなのつゆたに,またひぬに,くものいくへを,すきてきぬらむ
しろたへに,つきかゆきかと,みえつるは,にしをさしける,ひかりなりけり
けふののりは,わしのたかねに,いてしひの,かくれてのちの,ひかりなりけり
さとりゆく,くもはたかねに,はれにけり,のとかにてらせ,あきのよのつき
いまはうへに,ひかりもあらし,もちつきと,かきるになれは,ひときはのそら
ゐるちりの,つもりてたかく,なるやまの,おくよりいてし,つきをみるかな
くもりなく,みかきあらはす,さとりこそ,まとかにすめる,かかみなりけれ
ありとやは,かせまつほとを,たのむへき,をしかなくのに,おけるしらつゆ
やまふかみ,まことのみちに,いるひとは,のりのはなをや,しをりにはする
のりのため,みをしたかへし,やまひとに,かへりてみちの,しるへをそする
のりのあめに,われもやぬれむ,むつましき,わかむらさきの,くさのゆかりに
みをすてて,こひぬこころそ,うかりける,いはにもおふる,まつはあるよに
あまつそら,くものかよひち,それならぬ,をとめのすかた,いつかまちみむ
ちりちりに,わしのたかねを,おりそゆく,みのりのはなを,いへつとにして
みをすつる,ころもかけける,たけのはの,そよいかはかり,かなしかりけむ
ゆめのよに,つきひはかなく,あけくれて,またはえかたき,みをいかにせむ
あきのつき,もちはひとよの,へたてにて,かつかつかけそ,のこるくまなき
つきかけは,いるやまのはも,つらかりき,たえぬひかりを,みるよしもかな
かすしらぬ,ちちのはちすに,すむつきを,こころのみつに,うつしてそみる
なかむれは,こころのそらに,くもきえて,むなしきあとに,のこるつきかけ
たちはなれ,こはきかはらに,なくしかは,みちふみまとふ,ともやこひしき
とことはに,たのむかけなき,ねをそなく,つるのはやしの,そらをこひつつ
けふよりは,かりにもいつな,ききすなく,かたののみのは,しもむすふなり
こえしたた,おなしかさしの,なもつらし,たつたのやまの,よはのしらなみ
こけのしたに,くちせぬなこそ,かなしけれ,とまれはそれも,をしむならひに
のちのよを,てらすかかみの,かけをみよ,しらぬおきなは,あふかひもなし
をささはら,あるかなきかの,ひとふしに,もともすゑはも,かはらさりけり
はるのよの,けふりにきえし,つきかけの,のこるすかたも,よをてらしけり
すむとても,おもひもしらぬ,みのうちに,したひてのこる,ありあけのつき
ととめける,かたみをみても,いととしく,むかしこひしき,のりのあとかな
さはりなく,いるひをみても,おもふかな,これこそにしの,かとてなりけれ
にしのうみ,いるひをしたふ,かとてして,きみのみやこに,とほさかりぬる
かきつくる,あとにひかりの,かかやけは,くらきみちにも,やみははるらむ
きよたきや,せせのいはなみ,たかをやま,ひともあらしの,かせそみにしむ
ゆめのよの,うつつなりせは,いかかせむ,さめゆくほとを,まてはこそあれ
まつのした,いはねのこけに,すみそめの,そてのあられや,かけししらたま
ゆめにたに,またみぬひとの,こひしきは,そらにしめゆふ,ここちこそすれ
いにしへは,ありもやしけむ,いまそしる,またみぬひとを,こふるものとは
かすかやま,あさゐるくもの,おほつかな,しらぬひとにも,こひわたるかな
あしわかの,うらにきよする,しらなみの,しらしなきみは,われおもふとも
いはみかた,うらみそふかき,おきつなみ,よするたまもに,うつもるるみは
なにはえの,こやによふけて,あまのたく,しのひにたにも,あふよしもかな
あさなあさな,あまのさをさす,うらふかみ,およはぬこひも,われはするかな
いへはえに,いはねはむねに,さわかれて,こころひとつに,なけくころかな
くもゐにて,くもゐにみゆる,かささきの,はしをわたると,ゆめにみしかな
ゆめならは,みゆるなるらむ,かささきは,このよのひとの,こゆるはしかは
いろにいてて,いまそしらする,ひとしれす,おもひわひつる,ふかきこころを
いはてのみ,おもふこころを,しるひとは,ありやなしやと,たれにとはまし
しるひとや,そらになからむ,おもふなる,こころのそこの,こころならては
うちいてても,ありにしものを,なかなかに,くるしきまても,なけくけふかな
けふのまの,こころにかへて,おもひやれ,なかめつつのみ,すくすつきひを
こひやせむ,わすれやしなむ,ぬともなく,ねすともなくて,あかしつるよを
いつまてと,わかよのなかも,しらなくに,かねてもものを,おもはするかな
いかてかは,あまつそらにも,かすむへき,こころのうちに,はれぬおもひを
ひとしれぬ,こころひとつに,なけきつつ,つけのをくしそ,さすそらもなき
ひかけさし,をとめのすかた,みてしより,うはのそらなる,ものをこそおもへ
やまかけに,つくるやまたの,みかくれて,ほにいてぬこひに,みをやつくさむ
そてぬれて,あまのかりほす,わたつみの,みるをあふにて,やまむとやする
いはまより,おふるみるめし,つれなくは,しほひしほみち,かひもありなむ
みなといりの,たまつくりえに,こくふねの,おとこそたてね,きみをこふれと
みるめかる,あまのゆききの,みなとちに,なこそのせきも,わかすゑなくに
いとへとも,なほすみのえの,うらにほす,あみのめしけき,こひもするかな
こひわたる,ころものそては,しほみちて,みるめかつかぬ,なみそたちける
としふれと,いはてくちぬる,うもれきの,おもふこころは,ふりぬこひかな
ふかからし,みなせのかはの,うもれきは,したのこひちに,としふりぬとも
こひのやま,しけきをささの,つゆわけて,いりそむるより,ぬるるそてかな
かくとたに,いはぬにしけき,みたれあしの,いかなるふしに,しらせそめまし
そてぬるる,やまゐのしみつ,いかてかは,ひとめもらさて,かけをみるへき
ちらはちれ,いはせのもりの,こからしに,つたへやせまし,おもふことのは
なみたかは,そてのみわたに,わきかへり,ゆくかたもなき,ものをこそおもへ
おのつから,ゆきあひのわせを,かりそめに,みしひとゆゑや,いねかてにせむ
わかこひを,いはてしらする,よしもかな,もらさはなへて,よにもこそちれ
ひとめをは,つつむとおもふに,せきかねて,そてにあまるは,なみたなりけり
おもひやる,かたこそなけれ,おさふれと,つつむひとめに,あまるなみたは
くれなゐの,なみたをそてに,せきかねて,けふそおもひの,いろにいてぬる
おもひかは,いはまによとむ,みつくきを,かきなかすにも,そてはぬれけり
そてのうへの,なみたそいまは,つらからぬ,ひとにしらるる,はしめとおもへは
みしめひき,うつきのいみを,さすひより,こころにかかる,あふひくさかな
いかにして,しるへなくとも,たつねみむ,しのふのやまの,おくのかよひち
あつまちや,しのふのさとに,やすらひて,なこそのせきを,こえそわつらふ
ひとしれす,しのふのうらに,やくしほの,わかなはまたき,たつけふりかな
いはぬまは,こころひとつに,さわかれて,けふりもなみも,むねにこそたて
わかこころ,いかなるいろに,いてぬらむ,またみぬひとを,おもひそめつつ
まつかねを,いそへのなみの,うつたへに,あらはれぬへき,そてのうへかな
はるくれは,ゆきのしたくさ,したにのみ,もえいつるこひを,しるひとそなき
あふことの,かたののをのの,しのすすき,ほにいてぬこひは,くるしかりけり
なみまより,あかしのうらに,こくふねの,ほにはいてすも,こひわたるかな
としふれと,しるしもみえぬ,わかこひや,ときはのやまの,しくれなるらむ
ひとしれす,おもひそめつと,しらせはや,あきのこのはの,つゆはかりたに
くれなゐの,ちしほもあかす,みむろやま,いろにいつへき,ことのはもかな
まさきちる,やまのあられの,たまかつら,かけしこころや,いろにいつらむ
おくやまの,ひかけのつゆの,たまかつら,ひとこそしらね,かけてこふれと
やまのはを,わけいつるつきの,はつかにも,みてこそひとは,ひとをこふなれ
ふみそむる,こひちのすゑに,あるものは,ひとのこころの,いはきなりけり
つくはやま,はやましけやま,たつねみむ,こひにまされる,なけきありやと
ふしのねの,そらにやいまは,まかへまし,わかみにけたぬ,むなしけふりを
わかこひの,もえてそらにも,まかひなは,ふしのけふりと,いつれたかけむ
わかこひは,なみたをそてに,せきとめて,まくらのほかに,しるひともなし
わかとこの,まくらもいかに,おもふらむ,なみたかからぬ,よはしなけれは
かはつなく,かみなひかはに,さくはなの,いはぬいろをも,ひとのとへかし
うちしのひ,おつるなみたの,しらたまの,もれこほれても,ちりぬへきかな
しのひかね,なみたのたまの,ををたえて,こひのみたれそ,そてにみえゆく
たかために,ひとのかたいと,よりかけて,わかたまのをの,たえむとすらむ
よしのかは,はやきなかれを,せくいはの,つれなきなかに,みをくたくらむ
つれなさの,ためしはありと,よしのかは,いはとかしはを,あらふしらなみ
すみたかは,せきりにむせふ,みつのあわの,あはれなにしに,おもひそめけむ
ひとしれす,ねをのみなけは,ころもかは,そてのしからみ,せかぬひそなき
なみたかは,そてのしからみ,かけとめて,あはぬうきなを,なかさすもかな
つらきにも,うきにもおつる,なみたかは,いつれのかたか,ふちせなるらむ
こかれゆく,おもひをけたぬ,なみたかは,いかなるなみの,そてぬらすらむ
やまかはの,いしまのみつの,うすこほり,われのみしたに,むせふころかな
まきもくの,あなしのかはの,かはかせに,なひくたまもの,みたれてそおもふ
なかれての,なをさへしのふ,おもひかは,あはてもきえね,せせのうたかた
おもひかは,みをはやなから,みつのあわの,きえてもあはむ,なみのまもかな
おちたきつ,はやせのかはも,いはふれて,しはしはよとむ,なみたともかな
よとともに,たえすもおつる,なみたかな,ひとはあはれも,かけぬたもとに
なつむしに,あらぬわかみの,つれもなく,ひとをおもひに,もゆるころかな
なつくさの,しけきおもひは,かやりひの,したにのみこそ,もえわたりけれ
としをへて,もゆてふふしの,やまよりも,あはぬおもひは,われそまされる
たれにかは,あまたおもひも,つけそめし,きみよりまたは,しらすそありける
やまかはの,かすみへたてて,ほのかにも,みしはかりにや,こひしかるらむ
みやまきの,かけのこくさは,われなれや,つゆしけけれと,しるひともなき
たとふれは,つゆもひさしき,よのなかに,いとかくものを,おもはすもかな
あくるまも,ひさしてふなる,つゆのよは,かりにもひとを,しらしとそおもふ
なけきつつ,かへすころもの,つゆけきに,いととそらさへ,しくれそふらむ
にはたつみ,ゆくかたしらぬ,ものおもひに,はかなきあわの,きえぬへきかな
としをへて,ものおもふひとの,からころも,そてやなみたの,とまりなるらむ
かたいともて,ぬきたるたまの,ををよわみ,みたれやしなむ,ひとのしるへく
こひわひぬ,あまのかるもに,やとるてふ,われからみをも,くたきつるかな
いかたおろす,そまやまかはの,みなれさを,さしてくれとも,あはぬきみかな
みやきひく,いつみのそまに,たつたみの,やむときもなく,こひわたるかも
とほつひと,かりちのいけに,すむをしの,たちてもゐても,きみをしそおもふ
あさかしは,ぬるやかはへの,しののめの,おもひてぬれは,ゆめにみえつつ
さをしかの,あさふすをのの,くさわかみ,かくろへかねて,ひとにしらるな
しらやまの,ゆきのしたくさ,われなれや,したにもえつつ,としのへぬらむ
こひくさを,ちからくるまに,ななくるま,つみてこふらく,わかこころから
ふしのねに,けふりたえすと,ききしかと,わかおもひには,たちおくれけり
しほたるる,あまのぬれきぬ,おなしなを,おもひかへさて,きるよしもかな
さころもの,つまもむすはぬ,たまのをの,たえみたえすみ,よをやつくさむ
あふさかの,なをはたのみて,こしかとも,へたつるせきの,つらくもあるかな
きみにあはむ,そのひをいつと,まつのきの,こけのみたれて,ものをこそおもへ
いかはかり,ものおもふときの,なみたかは,からくれなゐに,そてのぬるらむ
あきかけて,いひしなからも,あらなくに,このはふりしく,えにこそありけれ
たかくとも,なににかはせむ,くれたけの,ひとよふたよの,あたのふしをは
つらしとも,いさやいかかは,いはしみつ,あふせまたきに,たゆるこころは
よよふとも,たえしとそおもふ,かみかきや,いはねをくくる,みつのこころは
てにとりて,ゆらくたまのを,たえさりし,ひとはかりたに,あひみてしかな
としふとも,なほいはしろの,むすひまつ,とけぬものゆゑ,ひともこそしれ
くりかへし,あまてるかみの,みやはしら,たてかふるまて,あはぬきみかな
すみよしの,ちきのかたそき,われなれや,あはぬものゆゑ,としのへぬらむ
まちわひて,みとせもすくる,とこのうへに,なほかはらぬは,なみたなりけり
よそにのみ,おもひふりにし,としつきの,むなしきかすそ,つもるかひなき
