あらたまの,としもかはらて,たつはるは,かすみはかりそ,そらにしりける
やまさくら,そてににほひや,うつるとて,はなのしつくに,たちそぬれぬる
はるなから,としはくれなむ,ちるはなを,をしとなくなる,うくひすのこゑ
いろふかく,みるのへたにも,つねならは,はるはすくとも,かたみならまし
やまたさへ,いまはつくるを,ちるはなの,かことはかせに,おほせさらなむ
たれもみな,はなのさかりは,ちりぬへき,なけきのほかの,なけきやはする
はるのよの,つきもくもらて,ふるゆきは,こすゑにのこる,はなやちるらむ
つきかけの,こすゑにのこる,やまのはに,はなもかすめる,はるのあけほの
なもしるし,みねのあらしも,ゆきとふる,やまさくらとの,あけほののそら
あすもこむ,かせしつかなる,みよしのの,やまのさくらは,けふくれぬとも
ふるさとの,あれまくたれか,をしむらむ,わかよへぬへき,はなのかけかな
あふさかの,せきふみならす,かちひとの,わたれとぬれぬ,はなのしらなみ
かせふけは,はなのしらなみ,いはこえて,わたりわつらふ,やまかはのみつ
あはれわか,おほくのはるの,はなをみて,そめおくこころ,たれにつたへむ
はるかせの,ややふくままに,たかさこの,をのへにきゆる,はなのしらくも
たちのこす,こすゑもみえす,やまさくら,はなのあたりに,かかるしらくも
かつらきや,たかねのくもを,にほひにて,まかひしはなの,いろそうつろふ
たつねはや,みねのしらくも,はれやらて,それともみえぬ,やまさくらかな
かへるさの,みちこそしらね,さくらはな,ちりのまよひに,けふはくらしつ
さくらはな,としのひととせ,にほふとも,さてもあかてや,このよつきなむ
さくらはな,ちらはをしけむ,たまほこの,みちゆきふりに,をりてかささむ
さもこそは,はるはさくらの,いろならめ,うつりやすくも,ゆくつきひかな
はるのよの,つきもありあけに,なりにけり,うつろふはなに,なかめせしまに
うつろへは,ひとのこころそ,あともなき,はなのかたみは,みねのしらくも
やまさくら,さきちるときの,はるをへて,よはひははなの,かけにふりにき
さくらはな,ちるをあはれと,いひいひて,いつれのはるに,あはしとすらむ
はなゆゑに,とひくるひとの,わかれまて,おもへはかなし,はるのやまかせ
ちるはなの,ふるさととこそ,なりにけれ,わかすむやとの,はるのくれかた
はなはみな,かすみのそこに,うつろひて,くもにいろつく,をはつせのやま
たかさこの,をのへのはなに,はるくれて,のこりしまつの,まかひゆくかな
うらむへき,かたこそなけれ,はるかせの,やとりさためぬ,はなのふるさと
やまさくら,はるのかたみに,たつぬれは,みるひとなしに,はなそちりける
をののえも,かくてやひとは,くたしけむ,やまちおほゆる,はるのそらかな
のとかなる,くもゐははなも,ちらすして,はるのとまりと,なりにけるかな
なみかせも,のとかなるよの,はるにあひて,あみのうらひと,たたぬひそなき
くもゐにも,なりにけるかな,はるやまの,かすみたちいてて,ほとやへぬらむ
としつきに,まさるときなしと,おもへはや,はるしもつねに,すくなかるらむ
はるのよの,みしかきほとを,いかにして,やこゑのとりの,そらにしるらむ
しらくもに,まかへしはなは,あともなし,やよひのつきそ,そらにのこれる
ちりぬとも,ありとたのまむ,さくらはな,はるははてぬと,われにしらすな
みぬひとに,いかかかたらむ,くちなしの,いはてのさとの,やまふきのはな
ふりぬれと,よしののみやは,かはきよみ,きしのやまふき,かけもすみけり
たまもかる,ゐてのしからみ,はるかけて,さくやかはせの,やまふきのはな
わすれしな,またこむはるを,まつのとに,あけくれなれし,はなのおもかけ
はなちりて,かたみこひしき,わかやとに,ゆかりのいろの,いけのふちなみ
あめふれは,ふちのうらはに,そてかけて,はなにしをるる,わかみとおもはむ
よしのかは,たきついはねの,ふちのはな,たをりてゆかむ,なみはかくとも
たちかへる,はるのいろとは,うらむとも,あすやかたみの,いけのふちなみ
なれきつる,かすみのころも,たちわかれ,われをはよそに,すくるはるかな
けふのみと,をしむこころも,つきはてぬ,ゆふくれかきる,はるのわかれに
ゆくはるの,かすみのそてを,ひきとめて,しほるはかりや,うらみかけまし
かすみたに,やまちにしはし,たちとまれ,すきにしはるの,かたみともみむ
なつころも,たちかへてける,けふよりは,やまほとときす,ひとへにそまつ
けふはまつ,いつしかきなけ,ほとときす,はるのわかれも,わするはかりに
けふよりは,なみにをりはへ,なつころも,ほすやかきねの,たまかはのさと
ちはやふる,かものうつきに,なりにけり,いさうちむれて,あふひかささむ
