さほひめの,かすみのころも,ふゆかけて,ゆきけのそらに,はるはきにけり
いつもたた,はなにまかへて,なかめはや,はるのみかかる,みねのくもかは
よしのやま,みねたちかくす,くもかとて,はなゆゑはなを,うらみつるかな
よしのやま,たなひくくもの,とたえとも,ほかにはみえぬ,はなのいろかな
このもとを,たつねぬひとや,よしのやま,くもとははなの,いろをみるらむ
おもひやる,こころのゆきて,たをるをは,はなのあるしも,えやはをしまむ
あくかるる,こころはさても,やまさくら,ちりなむのちや,みにかへるへき
あつさゆみ,はるのやまかせ,こころあらは,ちらさてはなの,ありかしらせよ
やまさくら,またことかたに,たつねみは,わくるこころを,はなやうらみむ
おいのみに,くるしきやまの,さかこえて,なにとよそなる,はなをみるらむ
みよしのの,おくまてはなに,さそはれぬ,かへらむみちの,しをりたにせて
たつねきて,みすはたかねの,さくらはな,けふもくもとそ,なほおもはまし
みやこには,かすみのよそに,なかむらむ,けふみるみねの,はなのしらくも
いささらは,よしののやまの,やまもりと,はなのさかりは,ひとにいはれむ
えそすきぬ,これやすすかの,せきならむ,ふりすてかたき,はなのかけかな
かへらむと,おもふこころの,あらはこそ,をりてもはなを,いへつとにせめ
きのふけふ,なれぬるひとの,こころをは,はなのちりなむ,のちそみるへき
さきぬれは,かならすはなの,をりにとも,たのめぬひとの,またれけるかな
おのつから,こそきてとひし,ひとはかり,おもひいつやと,はなにまつかな
とふひとは,おもひたえたる,やまさとに,たかためとてか,はなもさくらむ
みやこひと,しらすやいかに,やまさとの,はなよりほかに,あるしありとは
またもこむ,はるをやひとに,ちきらまし,ことしにかきる,はなのかけかは
なからへて,またみむとのみ,いくはるの,はなにいのちを,をしみきぬらむ
あかすのみ,みすててかへる,さくらはな,ちらぬもおなし,わかれなりけり
あたにさく,みねのこすゑの,さくらはな,かせまつほとの,くもかとそみる
かつらきや,たかまのさくら,なかむれは,ゆふゐるくもに,はるかせそふく
いまははや,ちるとこたへは,いかかせむ,ひとにもとはし,やまのさくらを
せめてなと,ちるをまつまの,ほとたにも,うつろふいろの,はなにみゆらむ
なにとかく,あたなるはなの,いろをしも,こころにふかく,おもひそめけむ
