さほひめの,かすみのころも,ふゆかけて,ゆきけのそらに,はるはきにけり
かすかのの,のもりのかかみ,これなれや,よそにみかさの,やまのはのつき
あくかれて,ゆくすゑとほき,かきりをも,つきにみつへき,むさしののはら
つゆわくる,のはらのはきの,すりころも,かさねてつきの,かけそうつろふ
みるままに,こころそうつる,あきはきの,はなののつゆに,やとるつきかけ
をやまたの,いなはかたより,つきさえて,ほむけのかせに,つゆみたるなり
さをしかの,つまとふをたに,しもおきて,つきかけさむし,をかのへのやと
つゆむすふ,かとたのおしね,ひたすらに,つきもるよはは,ねられやはする
かせわたる,のへのをはなの,ゆふつゆに,かけもとまらぬ,そてのつきかな
すみなれて,いくよのつきか,やとるらむ,さとはむかしの,よもきふのつゆ
かたそきの,つきをむかしの,いろとみて,なほしもはらふ,まつのあきかせ
かみよより,くもらぬかけや,みつのえの,よしののみやの,あきのよのつき
こよひしも,なとわかやとを,とはさらむ,つきにそみゆる,ひとのこころは
みるひとの,こころにまつそ,かかりける,つきのあたりの,よはのうきくも
たえたえに,よそのそらゆく,うきくもを,つきにかけしと,あきかせそふく
やまのはを,むらくもなから,いてにけり,しくれにましる,あきのつきかけ
なれてたれ,しはしもゆめを,むすふらむ,つきをみやまの,あきのあらしに
なかむるに,なくさむことは,なけれとも,つきをともにて,あかすころかな
なれぬれは,おいとなるてふ,ことわりも,みにしられける,あきのつきかな
なかめきて,はてはおいとそ,なりにける,つきはあはれと,いはぬものゆゑ
よしやたた,おいすもあらす,それをたに,おもふこととて,つきをなかめむ
おもふこと,ありしむかしの,あきよりや,そてをはつきの,やととなしけむ
つかへこし,あきはむそちに,とほけれと,くもゐのつきそ,みるここちする
みをなけく,いそちのあきの,ねさめにそ,ふけぬるつきの,かけはかなしき
あくかるる,こころはきはも,なきものを,やまのはちかき,つきのかけかな
あきのよの,ふかきあはれを,ととめけり,よしののつきの,あけかたのそら
わたのはら,やまのはしらて,ゆくつきは,あくるそらこそ,かきりなりけれ
もにすまぬ,のはらのむしも,われからと,なかきよすから,つゆになくなり
きりきりす,そことはみえぬ,にはのおもの,くれゆくくさの,かけになくなり
よもすから,ねをはなくとも,きりきりす,われよりまさる,ものはおもはし
なきあかす,のはらのむしの,おもひくさ,をはなかもとや,よさむなるらむ
あきのよは,つらきところも,さそなけに,おほかるのへの,まつむしのこゑ
たかあきの,つらさうらみて,きりきりす,くるれはのへの,つゆになくらむ
たつねても,たれとへとてか,きりきりす,ふかきよもきの,つゆになくらむ
かとたふく,いなはのかせや,さむからむ,あしのまろやに,ころもうつなり
なかめても,こころのひまの,あれはこそ,つきにはひとの,ころもうつらめ
かせさむき,すそののさとの,ゆふくれに,つきまつひとや,ころもうつらむ
たかさとと,ききもわかれす,ゆふつくよ,おほつかなくも,うつころもかな
このころは,あさのさころも,うつたへに,つきにそさねぬ,あきのさとひと
あきかせに,よさむのころも,うちわひぬ,ふけゆくつきの,をちのさとひと
ほかよりは,おなしやととそ,きこゆらむ,かきねへたてて,ころもうつこゑ
あれはてて,かせもたまらぬ,ふるさとの,よさむのねやに,ころもうつなり
あきかせの,みにしむころの,さよころも,うちもたゆます,たれをまつらむ
さとひとも,さすかまとろむ,ほとなれや,ふけてきぬたの,おとそすくなき
きくひとの,みにしむあきの,つまそとも,おもひもいれす,うつころもかな
よそにきく,わかねさめたに,なかきよを,あかすやしつか,ころもうつらむ
あはれにも,ころもうつなり,ふしみやま,まつかせさむき,あきのねさめに
さとつつき,よはのあらしや,さむからむ,おなしねさめに,ころもうつなり
たかさとも,よさむはしるを,あきかせに,わかいねかてと,うつころもかな
なかきよは,さらてもさむる,あかつきの,ゆめをのこして,うつころもかな
よをさむみ,ともにおきゐる,つゆしもを,そてにかさねて,うつころもかな
ほともなく,うつろふきくの,つゆのまに,ことしのあきも,またやくれなむ
うつろふも,さかりをみする,はななれは,しもにをしまぬ,にはのしらきく
ゆくくもの,うきたのもりの,むらしくれ,すきぬとみれは,もみちしてけり
かねてたに,うつろふとみし,かみなひの,もりのこのはに,しくれふるなり
ちはやふる,かみなひやまの,むらしくれ,もみちをぬさと,そめぬひはなし
はつしくれ,ひことにふれは,やましろの,いはたのもりは,いろつきにけり
みせはやな,しくるるみねの,もみちはの,こかれてそむる,いろのふかさを
ゆきてみむ,あかぬこころの,いろそへて,そむるもふかき,やまのもみちは
たちよらむ,もみちのかけの,みちもなし,したしはふかき,あきのやまもと
あさほらけ,はれゆくやまの,あききりに,いろみえそむる,みねのもみちは
いくしほと,わかぬこすゑの,もみちはに,なほいろそふる,ゆふつくひかな
あきのいろは,むすひもとめぬ,ゆふしもに,いととかれゆく,にはのあさちふ
をしめとも,あきはすゑのの,しものしたに,うらみかねたる,きりきりすかな
なかつきの,すゑののまくす,しもかれて,かへらぬあきを,なほうらみつつ
なかつきや,あきのひかすも,いまいくか,のこるこすゑの,もみちをかみむ
ととまらぬ,あきこそあらめ,うたてなと,もみちをさへに,さそふあらしそ
たつたひめ,わかるるあきの,みちすから,もみちのぬさを,おくるやまかせ
もみちはも,けふをかきりと,しくるなり,あきのわかれの,ころもてのもり
ものことに,わすれかたみの,わかれにて,そをたにのちと,くるるあきかな
はるかなる,みねのくもまの,こすゑまて,さひしきいろの,ふゆはきにけり
かきくらし,くものはたてそ,しくれゆく,あまつそらより,ふゆやきぬらむ
けさはまた,そらにやふゆを,しらすらむ,そてにふりにし,しくれなれとも
まとろまぬ,すまのせきもり,あけぬとて,たゆむまくらも,うちしくれつつ
かみなつき,しくれすとても,あかつきの,ねさめのそては,かわくものかは
われはかり,ほさぬそてかと,かみなつき,よそのねさめを,しくれにそとふ
いまはたた,おいのねさめに,かこつかな,むかしもききし,おなししくれを
やまかせに,たたよふくもの,はれくもり,おなしをのへに,ふるしくれかな
やまかせの,ふくにまかせて,うきくもの,かからぬかたも,ふるしくれかな
へたてつる,をのへのくもは,かつはれて,いりひのよそに,ゆくしくれかな
まきのやに,つもるこのはを,けさみすは,しくれとのみそ,おもひはてまし
しくれをは,あきよりききし,まきのやに,ふゆきにけりと,ふるこのはかな
おとにこそ,しくれもききし,ふるさとの,このはもるまて,あれにけるかな
ちりはつる,のちさへあとを,さためぬは,あらしのすゑの,このはなりけり
ふりかくす,このはのしたの,みなせかは,いつくにみつの,ありてゆくらむ
まさきちる,みやまのみちは,うつもれて,このはよりこそ,ふゆこもりけれ
こすゑには,のこるいろなき,ふゆかれの,にはにのみきく,かせのおとかな
たのめおく,ふるさとひとの,あともなし,ふかきこのはの,しものしたみち
しもかれの,まかきのきくの,はなかたみ,めならふいろも,みえぬころかな
おのつから,のこるもさひし,しもかれの,くさはにましる,にはのしらきく
つらかりし,あきのわかれに,つれなくも,かれなてきくの,なにのこるらむ
はきかはな,ちりにしをのの,ふゆかれに,しものふるえの,いろそさひしき
しもとなる,あきのわかれの,つゆのまに,やかてかれゆく,にはのふゆくさ
いつとても,かかるひとめの,やまさとは,くさのはらにそ,ふゆをしりける
かれゆくも,くさはにかきる,ふゆならは,ひとめはかりは,なほやまたまし
ふゆかれは,あとなきのへの,ゆふくれに,しもをふきしく,かせそさむけき
しきしまや,みむろのやまの,いはこすけ,それともみえす,しもさゆるころ
くちのこる,このはすくなき,やまかせに,むすひさためぬ,しものしたくさ
よをかさね,やまちのしもも,しらかしの,ときはのいろそ,ふゆなかりける
こすゑをは,まはらになして,ふゆかれの,しものくちはに,あらしふくなり
あさしもの,かれはのあしの,ひまをあらみ,やすくやふねの,みなといるらむ
しもふかき,のへのをはなは,かれはてて,わかそてはかり,つきそやとれる
みるままに,くももこのはも,さそはれて,あらしにのこる,みねのつきかけ
きよみかた,せきもるなみは,こほらぬに,ひとりさえたる,ふゆのつきかけ
みしままに,おもひやりてそ,しのはるる,とよのあかりの,つきのおもかけ
あまつそて,ふるしらゆきに,をとめこか,くものかよひち,はなそちりかふ
あかしかた,つきのてしほや,みちぬらむ,すまのなみちに,ちとりとわたる
すまのせき,あけかたちかき,つきかけに,うらのとわたる,ちとりなくなり
まつしまや,をしまのいそに,よるなみの,つきのこほりに,ちとりなくなり
せきのとは,またあけやらて,きよみかた,そらよりかよふ,さよちとりかな
とほさかる,しほひのかたの,うらかせに,ゆふなみたかく,ちとりなくなり
しかのうらの,まつふくかせの,さひしさに,ゆふなみちとり,たちゐなくなり
かせさむみ,よやふけぬらむ,しなかとり,ゐなのみなとに,ちとりなくなり
さゆるよは,すまのうらなみ,たちかへり,おなしかたにも,なくちとりかな
わたのはら,こきいてしふねの,ともちとり,やそしまかくれ,こゑきこゆなり
よしのかは,きよきかはうちの,やまかせに,こほらぬたきも,よるはさえつつ
よしのかは,いはきりおつる,たきつせの,いつのよとみに,こほりそむらむ
おのつから,よとむこのはを,そのままに,さそひもはてす,こほるやまかは
さえわたる,せせのいはなみ,とたえして,あらしにはやく,こほるやまかは
ふゆされは,あらしをさむみ,やまかはの,あさきせよりそ,まつこほりける
おのつから,こほりのこれる,ほとはかり,たえたえにゆく,やまかはのみつ
なつみかは,かはおとたえて,こほるよに,やまかせさむく,かもそなくなる
あしかもの,たまものとこの,うきまくら,さためぬなみに,まかせてそゆく
みつとりの,しもうちはらふ,はかせにや,こほりのことは,いととさゆらむ
さえまさる,をしのけころも,いかならむ,こほりもしもも,よをかさねつつ
さゆるよは,おなしいりえも,あしかもの,さわかぬかたや,まつこほるらむ
にほとりの,したのかよひも,たえぬらむ,のこるなみなき,いけのこほりに
うらひとも,よやさむからし,あられふる,かしまのさきの,おきつしほかせ
おろかなる,ひとのなみたに,いつなれて,あられもそての,たまとみゆらむ
はなすすき,かれののくさの,たもとにも,たまちるはかり,ふるあられかな
あられふる,おとそさひしき,みかりする,かたののみのの,ならのはかしは
けさのまに,ふりこそかはれ,しくれつる,のちせのやまの,みねのしらゆき
きのふけふ,みやこのそらも,かせさえて,とやまのくもに,ゆきはふりつつ
ときはきの,しけきみやまに,ふるゆきは,こすゑよりこそ,まつつもりけれ
はてはまた,まつのあらしも,うつもれて,しつかにつもる,やまのしらゆき
しはしこそ,ふくともかせは,しられけれ,ゆきにこもれる,たかさこのまつ
よもすから,ふりつむゆきの,あさほらけ,にほはぬはなを,こすゑにそみる
いつのまに,とはすとひとを,うらむらむ,けさこそつもれ,にはのしらゆき
いかはかり,けさふるゆきに,またれまし,とはれぬへしと,おもふみならは
おなしくは,ひかけのゆきの,きえぬまを,みせはやとのみ,ひとそまたるる
みせはやと,まつらむとてそ,いそきつる,ひかけのゆきの,あとをたつねて
あとつけて,けさしもみつる,ことのはに,ふるもかひある,やとのしらゆき
かきりあれは,ふかきみやまも,いかならむ,けふここのへに,つもるしらゆき
あとつけぬ,ほとをもみせむ,にはのゆき,ひとのとふまて,きえすもあらなむ
とはれても,またとふひとを,まつほとに,もとのあとさへ,うつむしらゆき
ふるゆきに,ゆききのみちも,あとたえて,いくかになりぬ,をののさとひと
くもふかき,みねのあさけの,いかならむ,まきのとしらむ,ゆきのひかりに
みにつもる,としをはしらて,しらゆきの,ふるをよそにも,おもひけるかな
なかめても,いくとせふりぬ,たかまとの,のかみのゆきの,あけほののそら
あらちやま,すそののあさち,かれしより,みねにはゆきの,ふらぬひもなし
いてぬより,こほりてさゆる,ひかりかな,つきまつやまの,みねのしらゆき
あさあけの,ひかたをかけて,しほつやま,ふきこすかせに,つもるしらゆき
わかのうらに,ふりつむゆきも,けふしこそ,よよにかはらぬ,あとはみゆらめ
なかめやる,なみまやいつく,しらゆきの,またふりうつむ,あはちしまやま
ならしはや,かれはのすゑに,ゆきちりて,とたちのはらに,かへるかりひと
ふるゆきに,ひとこそとはね,すみかまの,けふりはたえぬ,おほはらのさと
やまひとの,すみやくならし,ゆきふかき,とほつをのへに,けふりたつみゆ
くれはてて,いまはかきりと,ゆくとしの,みちふりかくせ,よはのしらゆき
みにつもる,ものなりけりと,おもふより,おいていそかぬ,としのくれかな
すきやすき,つきひのほとも,いまさらに,おもひしられて,としそくれぬる
いそちあまり,おくるとおもひし,みのうへに,またかへりける,としのくれかな
こころとや,ゆくもかへるも,なけくらむ,ひとやりならぬ,ひなのわかれち
きみかあたり,みつつしのはむ,あまさかる,ひなのなかやま,くもなへたてそ
ゆくひとの,またあふさかの,せきならは,たむけのかみを,なほやたのまむ
あふさかの,せきもるかみに,まかせても,なこそたむけの,たのみなりけれ
はるはると,ゆくすゑしらぬ,わかれちは,ととまるひとの,まとふなりけり
いかにせむ,とまらぬはるの,わかれにも,まさりてをしき,ひとのなこりは
めくりこむ,ほとをまつこそ,かなしけれ,あかぬみやこの,はるのわかれは
おもひやれ,さためなきよの,わかれちは,これをかきりと,いはぬはかりそ
おなしよの,いのちのうちの,みちたにも,おくれさきたつ,ほとそかなしき
ちきりありて,めくりあひぬる,おなしよの,いのちのうちの,みちはへたつな
なからへて,ありはてぬよの,ほとをたに,いきてわかれの,みちそかなしき
なからへて,またあふまての,いのちこそ,あかぬわかれに,そへてをしけれ
つらしとも,いはぬさへこそ,かなしけれ,わかれもひとの,こころならねは
よもすから,わけつるみちの,つゆよりも,おもひおくにそ,そてはぬれける
たちかへる,やまちもふかき,しらつゆの,おくるるそては,ぬれまさりけり
つきはかり,おくるとひとや,おもひけむ,わかこころをも,そへしやまちに
みやこたに,とほしとおもひし,やまのはを,いくへへたてむ,みねのしらくも
たひころも,よそにたつひは,つらくとも,ちきりしなかに,こころへたつな
かへりこむ,ほとはそのひと,ちきれとも,たちわかるるは,いかかかなしき
かへりこむ,よのはかなさを,おもはすは,こよひやひとに,ちきりおかまし
かへりゆく,ひとのこころを,おもふにも,はなれかたきは,みやこなりけり
とりのねに,せきのといつる,たひひとを,またよふかしと,おくるつきかけ
とりのねを,ふもとのさとに,ききすてて,よふかくこゆる,さやのなかやま
かねのおとも,きこえぬたひの,やまちには,あけゆくそらを,つきにしるかな
すすわくる,しのにをりはへ,たひころも,ほすひもしらす,やまのしたつゆ
いはねふみ,かさなるやまの,とほけれは,わけつるくもの,あともしられす
かへりみる,そのおもかけは,たちそひて,ゆけはへたつる,みねのしらくも
やまのはに,しくるるくもを,さきたてて,たひのそらにも,ふゆはきにけり
たひころも,しくれてとまる,ゆふくれに,なほくもこゆる,あしからのやま
やまたかみ,けふはふもとに,なりにけり,きのふわけこし,みねのしらくも
たひころも,あさたつやまの,みねこえて,くものいくへを,そてにわくらむ
おもひやれ,いくへのくもの,へたてとも,しらぬこころに,はれぬなみたを
うくつらき,くものへたては,うつつにて,おもひなくさむ,ゆめたにもみす
ふるさとに,おもひいつとも,しらせはや,こえてかさなる,やまのはのつき
わすられぬ,おなしみやこの,おもかけを,つきこそそらに,へたてさりけれ
みやこおもふ,なみたをほさて,たひころも,きつつなれゆく,そてのつきかけ
たちよれは,つきにそみゆる,かかみやま,しのふみやこの,よはのおもかけ
こえかかる,やまちのつきの,いらぬまに,さとまてゆかむ,よはふけぬとも
つきにゆく,さののわたりの,あきのよは,やとありとても,とまりやはせむ
つきみれは,たひねのとこも,わすられて,つゆのみむすふ,くさまくらかな
みやこにて,みしおもかけそ,のこりける,くさのまくらの,ありあけのつき
さきたちて,たれかくさはを,むすひけむ,とまるまくらに,のこるしらつゆ
みやこたに,いまはよさむの,あきかせに,たひねのとこを,おもひこそやれ
おとにこそ,ふくともききし,あきかせの,そてになれぬる,しらかはのせき
きりふかき,やまのしたみち,わけわひて,くれぬにとまる,あきのたひひと
すききつる,やまわけころも,ほしやらて,すそののつゆに,なほやしをれむ
こよひかく,しをるるそての,つゆなから,あすもやこえむ,うつのやまみち
たひころも,しをれぬみちは,なけれとも,なほつゆふかし,さやのなかやま
たひころも,ゆふしもさむき,ささのはの,さやのなかやま,あらしふくなり
ふるさとを,いくよへたてて,くさまくら,つゆよりしもに,むすひきぬらむ
くさまくら,むすふともなき,ゆめをたに,なにとあらしの,おとろかすらむ
ふるさとを,いてしにまさる,なみたかな,あらしのまくら,ゆめにわかれて
いくよわれ,かたしきわひぬ,たひころも,かさなるやまの,みねのあらしに
おもひおく,みやこのはなの,おもかけの,たちもはなれぬ,やまのはのくも
よこくもは,みねにわかれて,あふさかの,せきちのとりの,こゑそあけぬる
きよみかた,いそやまつたひ,ゆきくれて,こころとせきに,とまりぬるかな
さすらふる,こころにみをも,まかせすは,きよみかせきの,つきをみましや
さらてたに,かわかぬそてそ,きよみかた,しはしなかけそ,なみのせきもり
きよみかた,うらかせさむき,よるよるは,ゆめもゆるさぬ,なみのせきもり
きよみかた,うちいててみれは,いほはらの,みほのおきつは,なみしつかなり
なれきつる,やまのあらしを,ききすてて,うらちにかかる,たひころもかな
みやことり,いくよかここに,すみたかは,ゆききのひとに,なのみとはれて
こころなる,みちたにたひは,かなしきに,かせにまかせて,いつるふなひと
ふきおくる,かせのたよりも,しらすけの,みなとわかれて,いつるふなひと
こきいつる,おきつしほちの,あとのなみ,たちかへるへき,ほとそはるけき
このころは,あまのとまやに,ふしなれて,つきのてしほの,ほとをしるかな
すみよしの,まつのいはねを,まくらにて,しきつのうらの,つきをみるかな
とまやかた,まくらなかれぬ,うきねには,ゆめやはみゆる,あらきはまかせ
なれにける,あしやのあまも,あはれなり,ひとよにたにも,ぬるるたもとを
みやこいてて,ももよのなみの,かちまくら,なれてもうとき,ものにそありける
おのつから,ふるさとひとも,おもひいては,たひねにかよふ,ゆめやみゆらむ
おもひきや,したひなれにし,はるのかり,かへるやまちに,またむものとは
こしちには,みやこのあきの,ここちして,さそなまつらむ,はるのかりかね
ふるさとの,おもかけそひし,よはのつき,またもろこしの,かたみなりけり
さらぬたに,とりのねまちし,くさまくら,すゑをみやこと,なほいそくかな
さそふへき,みつのこしまの,ひともなし,ひとりそかへる,みやここひつつ
いりかたく,さとりかたしと,きくかとを,ひらくははなの,みのりなりけり
こをおもふ,おやのをしへの,なかりせは,かりのやとりに,まよひはてまし
たつねつる,くもよりたかき,やまこえて,またうへもなき,はなをみるかな
ふけゆけは,いつへきつきと,きくからに,かねてこころの,やみそはれぬる
むすひおく,よよのちきりも,ふかくさの,つゆのかことに,ぬるるそてかな
かりそめの,やとともしらて,たつねこし,まよひそみちの,しるへなりける
したにすむ,もとのこころを,しらぬかな,のなかのしみつ,みくさゐぬれは
なとかわれ,ころものうらの,たまさかに,のりにあひても,さとらさりけむ
ころもてに,つつみしたまの,あらはれて,うらなくひとに,みゆるけふかな
ひとこゑを,ききそめてこそ,ほとときす,なくによふかき,ゆめはさめけれ
とふひとの,あとなきしはの,いほりにも,さしくるつきの,ひかりをそまつ
やまひとの,こけのむしろに,みをかへて,いかにちとせを,しきしのひけむ
たのまれぬ,こころそみゆる,きてもまた,むかしきそらに,かへるかりかね
くさのいほ,しはのあみとの,すまひまて,わかぬはつきの,ひかりなりけり
おほそらを,みのりのかせや,はらふらむ,くもかくれにし,つきをみるかな
あらさらむ,のちのよかけし,ちきりこそ,たのむにつけて,うれしかりけれ
ちきりおく,そのゆくすゑの,たのみあらは,このよをうしと,なにかなけかむ
わするなと,いひてもそてや,しをれけむ,あとととむへき,このよならねは
ゆくみつの,ふかきなかれに,しつみても,あさせありとそ,なほたのむへき
はるのよの,かすみやそらに,はれぬらむ,おほろけならぬ,つきのさやけさ
つゆしもの,きえてそいろは,まさりける,あさひにむかふ,みねのもみちは
よよをへて,たへなるのりの,はなならは,ひらけむときの,ちきりたかふな
ならひこし,たへなるのりの,はなゆゑに,きみにとはるる,みとそなりぬる
わしのやま,のちのはるこそ,またれけれ,こころのはなの,いろをたのみて
わしのみね,やとせのあきの,つききよみ,そのひかりこそ,こころにはすめ
わしのやま,みのりのにはに,ちるはなを,よしののみねの,あらしにそみる
つねにすむ,わしのたかねの,つきたにも,おもひしれとそ,くもかくれける
きさらきの,なかはのそらの,よはのつき,いりにしあとの,やみそかなしき
やみちをは,みたのみのりに,まかせつつ,はるのなかはの,つきはいりにき
ここのへに,ふりしくゆきは,いにしへの,のりのむしろの,あとやみゆらむ
いにしへの,あとをしらせて,ふるゆきに,たのむこころそ,ふかくなりぬる
おもひきや,わかたつそまの,かひありて,まれなるあとを,のこすへしとは
しなしなに,かはるこころの,いろもみな,はてはひとつの,ちかひなりけり
おろかなる,こころにたねは,なかりけり,よものくさきの,あるにまかせて
たれゆゑに,このたひかかる,みをうけて,またありかたき,のりにあふらむ
われとたた,ゆきてこそみめ,のりのみち,ひとのをしへを,しるへとはせし
まよひしも,ひとつくにそと,さとるなる,まことのみちの,おくそゆかしき
をしへおく,のりのみちしは,ふみみれは,つゆもあたなる,ことのはそなき
なつくさの,ことしけきよに,まよひても,なほすゑたのむ,をののふるみち
みをさらぬ,こころのつきに,くもはれて,いつかまことの,かけもみるへき
まとかなる,はつきのつきの,おほそらに,ひかりとなれる,よものあききり
まよふへき,やみちをちかく,おもふにも,みすてかたきは,よはのつきかけ
なかきよの,ふけゆくつきを,なかめても,ちかつくやみを,しるひとそなき
よもすから,つきをなかめて,ちきりおきし,そのむつことに,やみははれにき
すむとみえし,こころのつきし,あらはれは,このよもやみの,はれさらめやは
いさきよく,つきはこころに,すむものと,しるこそやみの,はるるなりけれ
くらきよの,まよひのくもの,はれぬれは,しつかにすめる,つきをみるかな
なかきよの,やみちにまよふ,みなりとも,ねふりさめなは,きみをたつねむ
やみちには,まよひもはてし,ありあけの,つきまつしまの,ひとのしるへに
かけきよき,ななへのうゑき,うつりきて,るりのとほそも,はなかとそみる
よしのかは,はなのいはなみ,なにたてて,よるせをはるの,とまりとそきく
みそちあまり,ふたつのすかた,たへなれは,いつれもおなし,はなのおもかけ
みをさらぬ,ひよしのかけを,ひかりにて,このよよりこそ,やみははれぬれ
にしにのみ,むかひのをかの,ゆふつくひ,ほかにこころの,うつりやはする
みつすめは,いつもこほりは,むすひけり,こころやふゆの,はしめなるらむ
くさのはら,ひかりまちとる,つゆにこそ,つきもわきては,かけやとしけれ
たちかへり,またそしつまむ,よにこゆる,もとのちかひの,なからましかは
いまさらに,ほとけのみちを,なにとかは,もとのこころの,ほかにもとめむ
おろかなる,なみたのつゆの,いかてなほ,きえてはちすの,たまとなるらむ
いひおきし,わかことのはの,かはらぬに,ひとのまことは,あらはれにけり
うれしさを,さなからそてに,つつむかな,あふくみそらの,つきをやとして
みよしのの,みつわけやまの,たきつせも,すゑはひとつの,なかれなりけり
あきふかく,しくるるにしの,やまかせに,みなさそはれて,ゆくこのはかな
ひとかたに,たのみをかくる,しらいとの,くるしきすちに,みたれすもかな
つゆのみに,むすへるつみは,おもくとも,もらさしものを,はなのうてなに
すみなれし,あとをしのふる,うれしさに,もらさすすくふ,みとはしらすや
おもひたつ,こころはかりを,しるへにて,われとはゆかぬ,みちとこそきけ
ここにやり,かしこによはふ,みちはあれと,わかこころより,まよふとをしれ
すみのほる,つきのひかりを,しるへにて,にしへもいそく,わかこころかな
ゆふくれの,たかねをいつる,つきかけも,いるへきかたを,わすれやはする
めくりあふ,わかみならすは,いかかせむ,そのあかつきの,つきはいつとも
にしをおもふ,こころありてそ,つのくにの,なにはわたりは,みるへかりける
まれにとく,みのりのあとを,きてみれは,うききにあへる,かめゐなりけり
よのなかを,いとふあまりに,とりのねも,きこえぬやまの,ふもとにそすむ
まれにたに,あへはわかれの,かなしきに,しらてやしかの,つまをこふらむ
いろもかも,むなしきものと,をしへすは,あるをありとや,おもひはてまし
よしのやま,わきてみるへき,いろもなし,くももさくらも,はるかせそふく
ゆめのうちに,もとめしのりの,ひとことも,まことなきこそ,うつつなりけれ
ちかひあれは,そらゆくつきの,みやこひと,そてにみつなる,ひかりをそみる
さめやらぬ,うきよのほかの,さとりそと,みしはきのふの,ゆめにそありける
かすならす,うまれけるみの,ことわりに,さきのよまての,つらさをそしる
ゆくへなき,みをうちかはの,はしはしら,たててしものを,ひとわたせとは
むらくもに,かくるるつきは,ほともなく,やかてさやけき,ひかりをそみる
まよはしな,いりぬとみゆる,つきもなほ,おなしそらゆく,かけとしりなは
なかつきの,ありあけのつきと,もろともに,いりけるみねを,おもひこそやれ
さとるへき,みちとてさらに,みちもなし,まよふこころも,まよひならねは
くさのはに,むすはぬさきの,しらつゆは,なにをたよりに,おきはしめけむ
うきよには,きえなはきえね,はちすはに,やとらはつゆの,みともなりなむ
おもひきや,そてにつつみし,ほたるをも,ころものうらに,かくるたまとは
ことのはも,およはぬのりの,まことをは,こころよりこそ,つたへそめしか
いつはりの,こころあらしと,おもふこそ,たもてるのりの,まことなりけり
むつのみち,まよふとおもふ,こころこそ,たちかへりては,しるへなりけれ
いかにせむ,のりのふなても,しらぬみは,くるしきうみに,またやしつまむ
みをおもふ,ひとこそけには,なかりけれ,うかるへきよの,のちをしらねは
みなひとの,さらぬわかれを,おもふこそ,うきみをいとふ,かきりなりけれ
ゆくすゑは,まよふならひと,しりなから,みちをもとめぬ,ひとそはかなき
さとりとて,ほかにもとむる,こころこそ,まよひそめけむ,はしめなるらめ
しはしこそ,ひとのこころに,にこるとも,すまてやむへき,のりのみつかは
ほかになき,みのりのみつの,きよけれは,わかこころをそ,くみてしるへき
おなしくは,なかれをわくる,のりのみつの,そのみなかみを,いかてくままし
のりのみつ,ひとつなかれを,むすひても,こころこころに,すゑそなりゆく
こほりしも,おなしこころの,みつなれは,またうちとくる,はるにあふかな
すみそめし,もとのこころの,きよけれは,にこりもはてぬ,たまのゐのみつ
よもすから,まとのともしひ,かかけても,ふみみるみちに,なほまよふかな
しるへせよ,くらきやみちに,まよふとも,こよひかかくる,のりのともしひ
いにしへの,あとふみみむと,かかけても,こころにくらき,のりのともしひ
ちはやふる,ななよいつよの,かみよより,わかあしはらに,あとをたれにき
かみもしれ,つきすむよはの,いすすかは,なかれてきよき,そこのこころを
かみちやま,ひくしめなはの,ひとすちに,たのむちきりは,このよのみかは
さかきもて,やつのいしつほ,ふみならし,きみをそいのる,うちのみやひと
まきもくの,たまきのみよに,あとたれて,みやゐふりぬる,いすすかはかみ
くもりなき,あまてるかみの,ますかかみ,むかしをいまに,うつしてしかな
きみかよを,いのれはまもる,かみちやま,ふかきちかひと,いふもかしこし
いはしみつ,きよきこころに,すむときく,かみのちかひは,なほもたのもし
いはしみつ,にこらしとおもふ,わかこころ,ひとこそしらね,かみはうくらむ
ちはやふる,そのかみやまの,なかにおつる,みたらしかはの,おとのさやけさ
すみそめし,むかしをかみも,わすれすは,なほみたらしの,すゑもにこらし
ちはやふる,かみやしるらむ,もろかつら,ひとかたならす,かくるたのみを
なもしるし,いろをもかへぬ,まつのをの,かみのちかひは,すゑのよのため
かみもまた,きみかためとや,かすかやま,ふかきみゆきの,あとのこしけむ
うつもれし,おとろのみちを,たつねてそ,ふるきみゆきの,あともとひける
すきゆけと,わすれぬものを,かすかのの,おとろにあまる,つゆのめくみは
みかさやま,おひそふまつを,きみかよの,ちよのためしと,かみやみるらむ
あめのした,をさまりぬらし,みかさやま,あまねくあふく,かみのめくみに
たれかまた,あはれをかけむ,ゆふたすき,たのむかすかの,ちかひならては
いのりても,しらぬわかみの,ゆくすゑを,あはれいかにと,かみはみるらむ
をしほやま,しらぬかみよは,とほけれと,まつふくかせに,むかしをそきく
すみよしの,うらわのまつの,ふかみとり,ひさしかれとや,かみもうゑけむ
かみかきや,まつのみとりに,かけそへて,たむけにさける,はなのしらゆふ
いくかへり,なみのしらゆふ,かけつらむ,かみさひにける,すみよしのまつ
すみよしの,うらのまつかえ,としをへて,かみさひまさる,かせのおとかな
よよたえぬ,みちにつけても,すみよしの,まつをそあふく,たのむかけとは
みをかくす,かけとそたのむ,かみかきに,おひそふまつの,しけきめくみを
わかのうらの,みちをはすてぬ,かみなれは,あはれをかけよ,すみよしのなみ
しきしまの,みちまもりける,かみをしも,わかかみかきと,おもふうれしさ
あまくたる,かみのめくみの,しるしあらは,ほしのくらゐに,なほのほりなむ
おもふこと,みわのやしろに,いのりみむ,すきはたつぬる,しるしのみかは
