うらとほく,ひかけのこれる,ゆふなきに,なみまかすみて,かへるかりかね
おほよとの,うらよりをちに,ゆくかりも,ひとつにかすむ,あまのつりふね
みつくきの,をかのみなとの,なみのうへに,かすかきすてて,かへるかりかね
やまこゆる,かりのはかせに,あめはれて,くもさへかへる,あけほののそら
われはいさ,なれもしらしな,はるのかり,かへりあふへき,あきのたのみは
なににかは,こころもとめむ,はなをたに,みすててかへる,はるのかりかね
たちかへる,くものかよひち,よそなから,したふもしらし,はるのかりかね
おもひたつ,くものかよひち,とほからし,あかつきふかく,かへるかりかね
はるきても,つれなきはなの,ふゆこもり,またしとおもへは,みねのしらくも
おもかけに,こひつつまちし,さくらはな,さけはたちそふ,みねのしらくも
やまさくら,さきやらぬまは,くれことに,またてそみける,はるのよのつき
くもとのみ,みるたにあるを,やまさくら,いかにかすみの,たちへたつらむ
あけわたる,かすみのをちは,ほのかにて,のきのさくらに,かせかをるなり
まかひこし,くもをはよそに,ふきなして,みねのさくらに,にほふはるかせ
いりあひの,おとはかすみに,うつもれて,くもこそかをれ,をはつせのやま
さのみやは,あさゐるくもの,はれさらむ,をのへのさくら,さかりなるらし
いまそしる,くもにまかひし,はなのいろは,やまのはとほき,よそめなりけり
たかさこの,をのへのくもの,いろそへて,はなにかさなる,やまさくらかな
をちこちの,さくらはくもに,うつもれて,かせのみはなの,かににほひつつ
やまかせの,かすみのころも,ふきかへし,うらめつらしき,はなのいろかな
かすみたつ,みねのさくらの,あさほらけ,くれなゐくくる,あまのかはなみ
あさひかけ,うつろふみねの,やまさくら,そらさへにほふ,はなのいろかな
みるままに,なほくもふかし,さくらさく,とやまのはるの,あけほののそら
ひにそへて,たちそかさなる,みよしのの,よしののやまの,はなのしらくも
わけゆけは,はなにかきりも,なかりけり,くもをかさぬる,みよしののやま
さくらはな,いまさかりなり,ひさかたの,くもにくもそふ,かつらきのやま
さきのこす,たえまもあらは,やまさくら,かさねてかかれ,みねのしらくも
みよしのの,たかきのさくら,さきぬらし,そらよりかかる,みねのしらくも
あらしふく,とほやまさくら,にほはすは,しらてやなほも,くもにまかへむ
くもにいる,おもかけつらし,はなのえに,なきてこつたふ,はるのうくひす
をりわひて,かへらむものか,かつらきの,やまのさくらは,くもゐなりとも
はるさめの,ひかすふるのの,さくらかり,ぬれてそかへる,はなそめのそて
やまひめの,かすみのそてや,うすからし,へたてもはてぬ,はなのしらくも
をはつせや,かすみにまかふ,はなのいろを,ふしみのくれに,たれなかむらむ
みのうさも,なかむるからに,わすられて,はるのこころそ,はなにのとけき
けふもまた,おほみやひとの,さくらはな,のとけきはるの,かさしにそさす
ももしきや,みかきかはらの,さくらはな,はるしたえすは,にほはさらめや
なれてみし,くもゐのはなも,よよふりて,おもかけかすむ,ここのへのはる
きみゆゑと,けふこそみつれ,しかのやま,かひあるはるに,にほふさくらを
しかのやま,かせをさまれる,はるにあひて,きみかみゆきを,はなもまちけり
さきちるも,しるひともなき,やとのはな,いつのはるまて,みゆきまちけむ
よよをへて,みゆきふりにし,やとのはな,かはらぬいろも,むかしこふらし
あれはてし,しかのふるさと,きてみれは,はるこそはなの,みやこなりけれ
みよしのの,はなはむかしの,はるなから,なとふるさとの,やまとなりけむ
ふるさとの,よしののさくら,さきにけり,いくよのはるの,かたみなるらむ
はなのいろの,むかしにかへる,はるなれは,これをみるにも,ものおもひもなし
つねよりも,めつらしきかな,しらかはの,はなもてはやす,はるのみゆきは
そことなき,はなのところも,やまふかみ,そらにしられて,にほふはるかせ
みにかへて,おもふもくるし,さくらはな,さかぬみやまに,やともとめてむ
たつねてそ,はなをもみまし,このもとを,すみかともせぬ,わかみなりせは
さくをまち,ちるををしむに,ひかすへて,さかりすくなき,はなのころかな
くれはてて,いろもわかれぬ,はなのうへに,ほのかにつきの,かけそうつろふ
さくらさく,たかねをかけて,いてにけり,はなのかかみの,はるのよのつき
あかすみる,はなのにほひも,ふかきよの,くもゐにかすむ,はるのつきかけ
あかすみる,やまさくらとの,あけほのに,なほあまりある,ありあけのかけ
あたらよの,ありあけのつきに,ひとはこて,やとのさくらに,はるかせそふく
たつたやま,ゆふつけとりの,おのかねを,よふかきはなの,いろにまつかな
としをへて,をりけるひとも,とはなくに,はるをすくさぬ,はなをみるかな
またみせむ,ひとしなけれは,さくらはな,いまひとえたを,をらすなりぬる
ひとえたの,にほひはあかす,かみかきや,はなのこすゑを,ゆきてなかめむ
ひとえたを,あかすおもはは,さくらはな,こすゑにのこる,ほとをすくすな
きてみよと,さらにもいはし,やまさくら,のこりゆかしき,ほとにやはあらぬ
こころをは,まつさきたてつ,やまさくら,たつねゆくまも,めかれすなとて
いへつとに,をりつるはなも,いたつらに,かへさわするる,やまさくらかな
やまもりも,いかかいふらむ,いたつらに,かせにまかする,みねのさくらを
さけはかつ,うつろふいろを,あたなりと,みてこそはなに,かせはふくらめ
ちるはなの,こころもしらて,はるかせの,さそふをよそに,うらみけるかな
ふくかせの,えたをならさぬ,はるたにも,なにをかことに,はなのちるらむ
はなのかを,さそはさりせは,ふくかせを,つらしとのみや,おもひはてまし
ふくとしも,よそにはみえて,もろくちる,はなにしらるる,にはのはるかせ
やまさくら,うつろふいろの,はなのかに,かすみのそても,にほふはるかせ
よしのやま,ふもとのさくら,ちりぬらし,たちものほらて,きゆるしらくも
あけわたる,とやまのこすゑ,ほのみえて,はなにわかるる,みねのよこくも
はるのよは,あけゆくかねの,ひひきまて,はなにかすめる,をはつせのやま
けさはまた,くれはとたのむ,かけもなし,さくらにくもる,よものやまかせ
たちかへる,こころそつらき,さくらはな,ちるをはみしと,おもひしものを
おのつから,ちるはならひの,はなになほ,うらみをそへて,はるかせそふく
いささくら,ちるをつらさに,いひなさて,こすゑのほかの,さかりともみむ
