さきそむる,ところからにそ,さくらはな,あたにちるてふ,なをたつなゆめ
さかぬまの,くもをもかつは,はなとみて,さかりひさしき,やまさくらかな
にほはすは,たれかことこと,わきてしらむ,はなとくもとの,おなしよそめを
みよしのの,たかねのさくら,さきしより,くもさへはなの,かににほひつつ
こもりえの,はつせのさくら,さきしより,あらはにかかる,はなのしらくも
おしなへて,このめもはると,みえしより,はなになりゆく,みよしののやま
みよしのは,はなよりほかの,いろもなし,たてるやいつこ,みねのしらくも
はなとのみ,はるはさなから,みよしのの,やまのさくらに,かかるしらくも
さきぬれは,くもとゆきとに,うつもれて,はなにはうとし,みよしののやま
かせかをる,はなのあたりに,きてみれは,くももまかはす,みよしののやま
はるといへは,はなやかをると,やまさくら,みるへきひとの,たつねこぬかな
さそへとも,きみもこすゑの,はなみにと,ひとりそまとふ,はるのひくらし
はなゆゑも,とふへきひとそ,またれける,おもひのほかに,たれかたつねむ
たつねいる,かすみもふかき,はなのかを,さそひていつる,やまおろしのかせ
かみなひの,みむろのさくら,さきそへて,いくへたつたの,はなのしらくも
はるにあふ,おいきのさくら,ふりぬれは,あまたかさなる,みゆきをそみる
ももしきや,はなもむかしの,かをとめて,ふるきこすゑに,はるかせそふく
ここのへに,にほひかさなる,さくらはな,めかれぬいろの,いくよへぬらむ
よしのやま,くもゐにみゆる,たきのいとの,たえぬやはなの,さかりなるらむ
あらしやま,これもよしのや,うつすらむ,さくらにかかる,たきのしらいと
さきつつく,おなしさくらの,いろみえて,たちもまかはぬ,みねのしらくも
あさひさす,こすゑははなに,あらはれて,とやまのさくら,くももかからす
ふくかせに,にほひをそへて,まよふなり,はなのよそなる,みねのしらくも
はるかせの,にほはさりせは,みよしのの,くもとはなとを,いかてわかまし
かすみたつ,みねにもをにも,やまさくら,にほひへたてぬ,はるかせそふく
たつねきて,けふそたかまの,やまさくら,よそならてみる,はなのしらくも
しらくもと,あたにもいはし,やまさくら,よそにみるなの,たちもこそすれ
このもとを,ほかにもとはて,わかやとに,こころのとけき,はなのころかな
ももしきの,みはしのさくら,ちらぬまに,あさきよめせよ,とものみやつこ
をるひとを,わきていさめむ,ここのへの,みはしのはなに,かせはふくとも
ここのへの,くもゐのはるの,さくらはな,あきのみやひと,いかてをるらむ
たをらすは,あきのみやひと,いかてかは,くもゐのはるの,はなをみるへき
たちなるる,くもゐのはなを,おもはすは,よしののおくに,はるやくらさむ
たつねても,たれかはわかむ,よしのやま,はなよりはなの,おくのしらくも
やまかせに,はるるかすみの,ひまことに,もれいつるくもや,さくらなるらむ
いにしへの,はるのかたみに,なかめつる,はなをいつこの,かせさそふらむ
かせふけは,はなさくかたへ,おもひやる,こころをさへも,ちらしつるかな
たをりもて,やとにそかさす,さくらはな,こすゑはかせの,うしろめたさに
あつさゆみ,はるのこころに,いるものは,たかまとやまの,さくらなりけり
さきしより,うつろふいろの,つらさまて,はなをおもはぬ,ときのまそなき
