こほりゐし,しかのからさき,うちとけて,ささなみよする,はるかせそふく
みをすつる,ひとはまことに,すつるかは,すてぬひとこそ,すつるなりけれ
つくはやま,ふかくうれしと,おもふかな,はまなのはしに,わたすこころを
としをへて,ほしをいたたく,くろかみの,ひとよりしもに,なりにけるかな
くものうへは,つきこそさやに,さえわたれ,またととこほる,ものやなになり
ととこほる,ことはなけれと,すみよしの,まつこころにや,ひさしかるらむ
しらかはの,なかれをたのむ,こころをは,たれかはそらに,くみてしるへき
ももとせの,はなにやとりて,すくしてき,このよはてふの,ゆめにさりける
ひさかたの,あまのかくやま,いつるひも,わかかたにこそ,ひかりさすらめ
このもとに,かきあつめつる,ことのはを,ははそのもりの,かたみとはみよ
おもひかね,そなたのそらを,なかむれは,たたやまのはに,かかるしらくも
わたのはら,こきいててみれは,ひさかたの,くもゐにまかふ,おきつしらなみ
うちむれて,たかくらやまに,つむものは,あらたなきよの,とみくさのはな
いたくらの,やまたにつめる,いねをみて,をさまれるよの,ほとをしるかな
みなかみを,さためてけれは,きみかよに,ふたたひすめる,ほりかはのみつ
いさやまた,つつきもしらぬ,たかねにて,まつくるひとに,みやこをそとふ
みやこにて,なかめしつきの,もろともに,たひのそらにも,いてにけるかな
みやこにて,なかめしつきを,みるときは,たひのそらとも,おほえさりけり
かさこしの,みねのうへにて,みるときは,くもはふもとの,ものにそありける
むかしみし,たるゐのみつは,かはらねと,うつれるかけそ,としをへにける
おもひいても,なきふるさとの,やまなれと,かくれゆくはた,あはれなりけり
いにしへを,こふるなみたに,くらされて,おほろにみゆる,あきのよのつき
そのことと,おもはぬたにも,あるものを,なにここちして,つきをみるらむ
ゆめならて,またもあふへき,きみならは,ねられぬいをも,なけかさらまし
おもひかね,なかめしかとも,とりへやま,はてはけふりも,みえすなりにき
ゆふまくれ,こしけきにはを,なかめつつ,このはとともに,おつるなみたか
ひとしれす,ものおもふことも,ありしかと,このことはかり,かなしきはなし
おひたたて,かれぬとききし,このもとの,いかてなけきの,もりとなるらむ
けふよりは,あまのかはきり,たちわかれ,いかなるそらに,あはむとすらむ
たなはたは,のちのけふをも,たのむらむ,こころほそきは,わかみなりけり
あさましや,きみにきすへき,すみそめの,ころものそてを,わかぬらすかな
こそのはる,ちりにしはなも,さきにけり,あはれわかれの,かからましかは
いつるいきの,いるをまつまも,かたきよを,おもひしるらむ,そてはいかにそ
なみたのみ,たもとにかかる,よのなかに,みさへくちぬる,ことそかなしき
をりをりの,つらさをなにに,なけきけむ,やかてなきよも,あはれありけり
ひとをとふ,かねのこゑこそ,あはれなれ,いつかわかみに,ならむとすらむ
くやしくも,みそめけるかな,なへてよの,あはれとはかり,きかましものを
かくてのみ,よにありあけの,つきならは,くもかくしてよ,あまくたるかみ
なかきよの,くるしきことを,おもへかし,なになけくらむ,かりのやとりに
おもへとも,いむとていはぬ,ことなれは,そなたにむきて,ねをのみそなく
あくかるる,みのはかなさは,ももとせの,なかはすきてそ,おもひしらるる
つゆのみの,きえてほとけに,なることは,つとめてのちそ,しるへかりける
よそになと,ほとけのみちを,たつぬらむ,わかこころこそ,しるへなりけれ
いかてわれ,こころのつきを,あらはして,やみにまとへる,ひとをてらさむ
よのなかの,ひとのこころの,うきくもに,そらかくれする,ありあけのつき
きみかよは,くもりもあらし,みかさやま,みねにあさひの,ささむかきりは
なかはまの,まさこのかすも,なにならし,つきせすみゆる,きみかみよかな
みかさやま,さしてきにけり,いそのかみ,ふるきみゆきの,あとをたつねて
ふもとをは,うちのかはきり,たちこめて,くもゐにみゆる,あさひやまかな
さきのよの,あさきちきりを,しらすして,ひとをつらしと,おもひけるかな
