こほりゐし,しかのからさき,うちとけて,ささなみよする,はるかせそふく
たなはたに,こころはかすと,おもはねと,くれゆくそらは,うれしかりけり
いかなれは,とたえそめけむ,あまのかは,あふせにわたす,かささきのはし
あまのかは,よこきるくもや,たなはたの,そらたきものの,けふりなるらむ
おほつかな,かはりやしにし,あまのかは,としにひとたひ,わたるせなれは
あまのかは,たまはしいそき,わたさなむ,あさせたとるも,よのふけゆくに
あふよとは,たれかはしらぬ,たなはたの,あくるそらをも,つつまさらなむ
たなはたの,まちつるほとの,くるしさも,あかぬわかれと,いつれまされり
あまのかは,かへらぬみつを,たなはたは,うらやましとや,けさはみるらむ
みつきよみ,やとれるあきの,つきさへや,ちよまてきみと,すまむとすらむ
いかなれは,おなしそらなる,つきかけの,あきしもことに,てりまさるらむ
はるなつは,そらやはかはる,あきのよの,つきしもいかて,てりまさるらむ
あきにまた,あはむあはしも,しらぬみは,こよひはかりの,つきをたにみむ
ありしにも,あらすなりゆく,よのなかに,かはらぬものは,あきのよのつき
あきのよの,つきのひかりの,もるやまは,このしたかけも,さやけかりけり
あまつかせ,くもふきはらふ,たかねにて,いるまてみつる,あきのよのつき
あきのよは,つきにこころの,ひまそなき,いつるをまつと,いるををしむと
ひくこまに,かけをならへて,あふさかの,せきちよりこそ,つきはいてけれ
あきのよの,つゆもくもらぬ,つきをみて,おきところなき,わかこころかな
あきのよの,つきまちかねて,おもひやる,こころいくたひ,やまをこゆらむ
あきやまの,しみつはくまし,にこりなは,やとれるつきの,くもりもそする
あきのよの,つきにこころの,あくかれて,くもゐにものを,おもふころかな
ひとりゐて,なかむるやとの,をきのはに,かせこそわたれ,あきのゆふくれ
をきのはに,そそやあきかせ,ふきぬなり,こほれやしぬる,つゆのしらたま
あきふくは,いかなるいろの,かせなれは,みにしむはかり,あはれなるらむ
みよしのの,きさやまかけに,たてるまつ,いくあきかせに,そなれきぬらむ
をきのはに,つゆふきむすふ,こからしの,おとそよさむに,なりまさるなる
ゆふきりに,こすゑもみえす,はつせやま,いりあひのかねの,おとはかりして
あきののの,はなみるほとの,こころをは,ゆくとやいはむ,とまるとやいはむ
