さほひめの,はつはなそめの,そてのいろも,あらはれてさく,やまさくらかな
はなのいろも,ひとつにかすむ,やまのはの,よこくもにほふ,はるのあけほの
やまさくら,けふはさかりに,なりにけり,きのふにまさる,みねのしらくも
やまさくら,くものはたての,はるかせに,あまつそらなる,はなのかそする
やまふかみ,のきはにかかる,しらくもの,やへにかさなる,はなさくらかな
よしのやま,かすみのうへに,ゐるくもや,みねのさくらの,こすゑなるらむ
やまさくら,さくよりそらに,あくかるる,ひとのこころや,みねのしらくも
たつねてそ,はなとしりぬる,はつせやま,かすみのおくに,みゆるしらくも
きみかため,しらぬやまちを,たつねつつ,おいのかさしの,はなをみるかな
たつねける,しらぬやまちの,さくらはな,けふここのへの,かさしとそみる
ゆくさきの,くもはさくらに,あらはれて,こえつるみねの,はなそかすめる
かくはかり,をしとおもふひを,くれぬとて,はなみてかへる,ひとさへそうき
なかしとも,おもはてくれぬ,ゆふひかけ,はなにうつろふ,はるのこころは
はるのひは,はなにこころの,あくかれて,ものおもふひとと,みえぬへきかな
おもひねの,こころやゆきて,たつぬらむ,ゆめにもみつる,やまさくらかな
てるつきも,ひかりをそへよ,はるならて,いつかははなと,ともにみるへき
ほのほのと,あけゆくやまの,さくらはな,かつふりまさる,ゆきかとそみる
みよしのの,やまにいりけむ,やまひとと,なりみてしかな,はなにあくやと
よしのやま,まかふさくらの,いろならは,よそにやみまし,みねのしらくも
あらしやま,ふもとのはなの,こすゑまて,ひとつにかかる,みねのしらくも
しらくもの,へたつるかたや,やまとりの,をのへにかかる,さくらなるらむ
おほはらや,をしほのさくら,さきぬらし,かみよのまつに,かかるしらくも
さきにけり,とやまのみねの,さくらはな,たなひくくもに,いろそうつろふ
しらくもは,たちもわかれて,よしのやま,はなのおくより,あくるしののめ
みよしのや,をのへのはなに,いるつきの,ひかりをのこす,やまさくらかな
かすみつる,をちのたかねも,あらはれて,ゆふひにみゆる,やまさくらかな
はなのいろは,なほくれやらて,はつせやま,をのへのかねの,こゑそきこゆる
かつらきや,たかまのかすみ,たちこめて,よそにもみえぬ,はなのいろかな
やまさくら,はなのほかなる,にほひさへ,なほたちそふは,かすみなりけり
さきつつく,はなはそれとも,みえわかて,かすみのまより,にほふしらくも
みやまきの,しけみのさくら,さきなから,えたにこもれる,はなとこそみれ
みのはるを,いつとかまたむ,ここのへの,みはしのさくら,よそにのみみて
いにしへの,くもゐのさくら,たねしあれは,またはるにあふ,みよそしらるる
ももしきや,みはしのはなは,いにしへの,いつまてうめの,にほひなりけむ
ふるさとに,むかしわすれす,さくはなは,たかよのはるを,おもひいつらむ
ささなみや,しかのふるさと,あれまくを,いくよのはなに,をしみきぬらむ
はなゆゑに,しかのふるさと,けふみれは,むかしをかけて,はるかせそふく
すみすてし,わかふるさとを,きてみれは,はなはかりこそ,むかしなりけれ
へたてゆく,むかしのはるの,おもかけに,またたちかへる,はなのしらくも
としことに,きつつわかみる,さくらはな,かすみもいまは,たちなかくしそ
