やまさくら,をられぬみねも,なかりけり,くものころもの,はなそめのそて
をるそても,うつりにけりな,さくらはな,こほれてにほふ,はるのあさつゆ
このもとに,おくるひかすの,つもりなは,ふるさとひとや,はなをうらみむ
ふくかせの,さそふにほひを,しるへにて,ゆくへさためぬ,はなのころかな
いつくとも,はるはかすみそ,なかりける,こころをさそふ,はなにまかせて
ほのほのと,あけゆくやまの,たかねより,かすみににほふ,はなのしらくも
はるはまた,はなのみやこと,なりにけり,さくらににほふ,みよしののやま
よしのやま,いくよのはるか,ふりぬらむ,をのへのはなを,くもにまかへて
いまもまた,むかしなからの,はるにあひて,ものおもひなく,はなをみるかな
ここのへの,まちかきやとの,やへさくら,はるをかさねて,きみそみるへき
いたつらに,みるひともなき,やへさくら,やとからはるや,よそにすきなむ
はるはなほ,こぬひとまたし,はなをのみ,こころのとかに,みてをくらさむ
むかしたれ,あれなむのちの,かたみとて,しかのみやこに,はなをうゑけむ
ちらぬまは,をのへのさくら,ゆきてみぬ,ひともしのへと,にほふはるかせ
おのつから,かせのやとせる,しらくもの,しはしとみゆる,やまさくらかな
としをへて,まつもをしむも,やまさくら,はなにこころを,つくすなりけり
ささなみや,なからのさくら,なかきひに,ちらまくをしき,しかのうらかせ
あたなりと,いひはなすとも,さくらはな,たかなはたたし,みねのはるかせ
かせかよふ,おなしよそめの,はなのいろに,くももうつろふ,みよしののやま
はつせやま,うつろはむとや,さくらはな,いろかはりゆく,みねのしらくも
みわたせは,いろのちくさに,うつろひて,かすみをそむる,やまさくらかな
わかさりし,とやまのさくら,ひかすへて,うつれはかはる,みねのしらくも
やまたかみ,うつろふはなを,ふくかせに,そらにきえゆく,みねのしらくも
さくらいろの,くものはたての,やまかせに,はなのにしきの,ぬきやみたれむ
かすみたつ,はるのころもの,ぬきをうすみ,はなそみたるる,よものやまかせ
すゑのまつ,やまもかすみの,たえまより,はなのなみこす,はるはきにけり
ひとしれす,われやまちつる,やまさくら,みるをりにしも,ちりはしむらむ
ふくかせも,のとけきみよの,はるにこそ,こころとはなの,ちるはみえけれ
くもよりも,よそになりゆく,かつらきの,たかまのさくら,あらしふくらし
たちまかふ,おなしたかまの,やまさくら,くものいつこに,はなのちるらむ
ゆふされは,おほつかなしや,やまさくら,ちりかふはなの,ゆくへみえねは
ちりかかる,はなゆゑけふは,くれぬれは,あさたつみちも,かひなかりけり
たれゆゑに,あくかれそめし,やまちとて,われをはよそに,はなのちるらむ
いまはとて,ちるこそはなの,さかりなれ,こすゑもにはも,おなしにほひに
