けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
しかのねを,かきねにこめて,きくのみか,つきもすみけり,あきのやまさと
さをしかの,こゑきくときの,あきやまに,またすみのほる,よはのつきかけ
あしひきの,やまたもるいほに,ねさめして,しかのねきかぬ,あかつきそなき
ときはなる,やまちはあきの,ほかかとて,なかむるくれも,さをしかのこゑ
はつをはな,たかたまくらに,ゆふきりの,まかきもちかく,うつらなくなり
わかために,くるともきかぬ,はつかりの,そらにまたるる,あきにもあるかな
あきかせの,さむきあさけに,きにけらし,くもにきこゆる,はつかりのこゑ
すむさとは,くもゐならねと,はつかりの,なきわたりぬる,ものにそありける
きかさりし,ものとはなしに,かりかねの,くるたひことに,あはれといはるる
わかかとの,いなはのかせに,おとろけは,きりのあなたに,はつかりのこゑ
あきかせは,くものうへまて,ふきぬらし,いまはたかりの,こゑそきこゆる
ころもうし,はつかりかねの,たまつさに,かきあへぬものは,なみたなりけり
したはちる,やなきのこすゑ,うちなひき,あきかせたかし,はつかりのこゑ
ふるさとの,あさちかすゑは,いろつきて,はつかりかねそ,くもになくなる
やまのはの,くものはたてを,ふくかせに,みたれてつつく,かりのつらかな
あきかせに,ひかけうつろふ,むらくもを,われそめかほに,かりそなくなる
きかしたた,あきかせさむき,ゆふつくひ,うつろふくもに,はつかりのこゑ
くもたかき,ゆふへのそらの,あきかせに,つらものとかに,わたるかりかね
はたさむく,かせもあきなる,ゆふくれの,くものはたてを,わたるかりかね
むらむらの,くものそらには,かりなきて,くさはつゆなる,あきのあけほの
あきのあめの,ものさむくふる,ゆふくれの,そらにしをれて,わたるかりかね
ゆふされは,いやとほさかり,とふかりの,くもよりくもに,あとそきえゆく
たれにかも,ころもかりかね,あきかせの,さむきゆふへの,そらになくらむ
かへるかり,またしもあはしと,おもひしに,あはれにあきの,くもになくなる
かりかねの,さむくなるより,みつくきの,をかのくすはは,いろつきにけり
あきかせの,さむくしなれは,あさきりの,やへやまこえて,かりもきにけり
あききりは,たちわたれとも,なくかりの,こゑはそらにも,かくれさりけり
あきのよの,ころもかりかね,なくからに,ねさめのとこも,かせそさむけき
かりなきて,さむきあさけに,みわたせは,きりにこもらぬ,やまのはもなし
あはれなる,やまたのいほの,ねさめかな,いなはのかせに,はつかりのこゑ
みねこゆる,こゑはあまたに,きくかりも,きりのひまゆく,かすそすくなき
やまきはの,きりはれそめて,こゑはかり,ききつるかりの,つらそみえゆく
つきかけの,ふくるくもゐに,おとつれて,ひとつらすくる,あきのかりかね
なきつくす,のもせのむしの,ねのみして,ひとはおとせぬ,あきのふるさと
ふりまさる,あまよのねやの,きりきりす,たえたえになる,こゑもかなしき
つきすみて,かせはたさむき,あきのよの,まかきのくさに,むしのこゑこゑ
つきもまた,かけみえそめぬ,ゆふくれの,まかきはむしの,ねをのみそきく
ふけゆけは,むしのこゑのみ,くさにみちて,わくるひとなき,あきのよののへ
まつむしも,なきやみぬなる,あきののに,たれよふとてか,はなみにもこむ
すすむしの,こゑふりたつる,あきのよは,あはれにものの,なりまさるかな
わけている,そてにあはれを,かけよとて,つゆけきにはに,むしさへそなく
なくむしの,こゑもみたれて,きこゆなり,やふかせわたる,をかのかやはら
つゆはおき,かせはみにしむ,ゆふくれを,おのかときとや,むしのなくらむ
ゆふつくよ,こころもしのに,しらつゆの,おくこのにはに,きりきりすなく
くさふかみ,きりきりすいたく,なくやとの,はきみにきみは,いつかきまさむ
すすむしの,こゑみたれたる,あきののは,ふりすてかたき,ものにそありける
あはれしれと,われをすすむる,よはなれや,まつのあらしも,むしのなくねも
あきのよを,ひとりやなきて,あかさまし,ともなふむしの,こゑなかりせは
なきあかす,ともとはきけと,きりきりす,おもふこころは,かよひしもせし
うきよそと,おもはぬむしの,なくこゑも,きくからかなし,あきのゆふくれ
のへにとる,わかまつむしの,なくこゑも,なれしすみかを,こひしくやおもふ
きりきりす,ねさめのとこを,とひかほに,わきてまくらの,したにしもなく
さひしさは,わかやとからの,あきならし,あれたるにはに,むしのこゑこゑ
くれぬとや,かたやまかけの,きりきりす,ゆふひかくれの,つゆになくらむ
さととほき,のなかのもりの,したくさに,くるるもまたぬ,まつむしのこゑ
いろいろに,ほむけのかせを,ふきかへて,はるかにつつく,あきのをやまた
をやまたの,いなはおしなひ,ふくかせに,ほすゑをつたふ,あきのしらつゆ
かりなきて,やまかせさむし,あきのたの,かりほのいほの,むらさめのそら
をきのはに,かはりしかせの,あきのこゑ,やかてのわきの,つゆくたくなり
よひのまの,むらくもつたひ,かけみえて,やまのはめくる,あきのいなつま
わたつうみの,とよはたくもに,いりひさし,こよひのつきよ,すみあかくこそ
ももしきの,おほみやひとの,たちいてて,あそふこよひの,つきのさやけさ
またくれぬ,そらのひかりと,みるほとに,しられてつきの,かけになりぬる
やまのはを,いてやらぬより,かけみえて,まつのしたてる,いさよひのつき
くるるまの,まかきのたけを,ふくかせの,なひくにいつる,あきのよのつき
まとあけて,やまのはみゆる,ねやのうちに,まくらそはたて,つきをまつかな
ひさかたの,つきそさやけき,ももしきの,おほみやひとや,あくかれぬらむ
つまきこる,とほやまひとは,かへるなり,さとまておくれ,あきのみかつき
たかさこの,をのへはれたる,ゆふくれに,まつのはのほる,つきのさやけさ
あきかせは,をのへのまつに,おとつれて,ゆふへのやまを,いつるつきかけ
あきのよの,なかきほとをや,たのむらむ,いてていそかぬ,やまのはのつき
くもはらふ,とやまのみねの,あきかせに,まきのはなひき,いつるつきかけ
やまもとの,すそののこかけ,またくらし,わかすむみねを,つきいつるほと
すみのほる,たかねのつきは,そらはれて,やまもとしろき,よはのあききり
そらきよく,つきさしのほる,やまのはに,とまりてきゆる,くものひとむら
はつせやま,ひはらかあらし,かねのこゑ,よふかきつきに,すましてそきく
つきかけの,いているみねは,まつのあらし,ふくれはのへに,をきのうはかせ
おもひいれぬ,ひとのすきゆく,のやまにも,あきはあきなる,つきやすむらむ
あきののの,しのにつゆおく,すすのいほは,すすろにつきも,ぬるるかほなる
やとるへき,つゆをはのこせ,よひのまの,つきまつほとの,のへのあきかせ
かせにふす,をきのうはかせ,つゆなから,つきしくにはの,あきそさひしき
もろくちる,はなのまかきの,つゆのうへに,やとるもをしき,つきのかけかな
つゆをみかく,あさちかつきは,しつかにて,むしのこゑのみ,さよふかきやと
きりきりす,なくよりほかの,おともなし,つきかけふくる,あさちふのやと
こよひこそ,あきとおほゆれ,つきかけに,きりきりすなきて,かせそみにしむ
にほのうみや,あきのよわたる,あまをふね,つきにのりてや,うらつたふらむ
すまのうらや,あまとふくもの,あとはれて,なみよりいつる,あきのつきかけ
うらとほき,しらすのすゑの,ひとつまつ,またかけもなく,すめるつきかな
つきさゆる,あかしのせとに,かせふけは,こほりのうへに,たたむしらなみ
わたのはら,なみにもつきは,かくれけり,みやこのやまを,なにいとひけむ
なにはかた,なみまをわけて,いるつきの,なほかけのこる,あはちしまやま
ささなみや,うらかせふけて,あきのよの,なからのやまに,つきそかたふく
きのうみや,なみよりかよふ,うらかせに,とほやまはれて,いつるつきかけ
きのくにや,ゆらのみなとに,かせたちて,つきのてしほの,くもはらふなり
もしほひも,つきのよころは,たきさして,けふりなたてそ,すまのうらひと
こきいつる,すまのよふねの,をちこちは,さなからつきの,かけのしらなみ
つきすめは,たににそくもは,しつむめる,みねふきはらふ,かせにしかれて
うきくもに,はやくちかひて,ゆくつきの,はれまになれは,かけそしつまる
はしたてや,まつふきわたる,うらかせに,いりうみとほく,すめるつきかけ
いそのかみ,ふるのたかはし,よよかけて,つきもいくよか,すみわたるらむ
やまもとの,とほきあたりは,みえわかて,つきにそしろき,うちのかはなみ
あきのよは,たつぬるやとに,ひともなし,たれもつきにや,あくかれぬらむ
いつくより,いてしくもゐの,つきなれは,あきのみやをは,よそにすむらむ
すみなるる,あきのみやまの,ほかにては,くもゐのつきも,みるそらそなき
かせのおとも,みにしむよはの,あきのつき,ふけてひかりそ,なほまさりゆく
あまつかせ,くもふきはらひ,つねよりも,さやけさまさる,あきのよのつき
あまくもの,たなひけりとも,みえぬよは,ゆくつきかけそ,のとけかりける
あきかせは,よさむなりとも,つきかけに,くものころもは,きせしとそおもふ
あきかせは,のきはのまつを,しをるよに,つきはくもゐを,のとかにそゆく
すみのほる,つきのあたりは,くもはれて,よそにしくるる,まつかせのこゑ
やまもとの,しけきひはらの,したはかり,ひかりおよはぬ,あきのよのつき
よをいのる,わかたつそまの,みねはれて,こころよりすむ,あきのよのつき
あくかるる,こころはそらに,さそはれて,ぬるよすくなき,あきのよのつき
なかめわひ,あくかれたちぬ,わかこころ,あきにかなしき,つきのよなよな
おのつから,すまぬこころも,すまれけり,つきはなれてそ,みるへかりける
なかめても,たれをかまたむ,つきよよし,よよしとつけむ,ひとしなけれは
なかめわひ,つきのさそふに,まかすれは,いつくにとまる,こころともなし
うみのはて,そらのかきりも,あきのよの,つきのひかりの,うちにそありける
ひともみぬ,よしなきやまの,すゑまてに,すむらむつきの,かけをこそおもへ
こしかたは,みなおもかけに,うかひきぬ,ゆくすゑてらせ,あきのよのつき
いかなりし,ひとのなさけか,おもひいつる,こしかたかたれ,あきのよのつき
あきそかはる,つきとそらとは,むかしにて,よよへしかけを,さなからそみる
そめかぬる,ときはのもりの,こすゑより,つきこそあきの,いろはみえけれ
あきことに,しのふこころも,いろそへは,みやこのつきよ,なれしとそおもふ
よをうしと,なにおもひけむ,あきことに,つきはこころに,まかせてそみる
あはれとは,われをもおもへ,あきのつき,いくめくりかは,なかめきぬらむ
うきみこそ,いとひなからも,あはれなれ,つきをなかめて,としのへぬれは
なにとなく,すきこしあきの,かすことに,のちみるつきの,あはれとそなる
あはれしる,ひとにみせはや,やまさとの,あきのよふかき,ありあけのつき
しはのとや,さしもさひしき,みやまへの,つきふくかせに,さをしかのこゑ
こころすむ,かきりなりけり,いそのかみ,ふるきみやこの,ありあけのつき
こころゆく,ほとまてのほれ,くらゐやま,なたかきあきの,つきのしるへに
いつかたへ,くもゐのかりの,すきぬらむ,つきはにしにそ,かたふきにける
みにつもる,わかよのあきの,ふけぬれは,つきみてしもそ,ものはかなしき
あきのよも,わかよもいたく,ふけぬれは,かたふくつきを,よそにやはみる
ななそちに,あまりかなしき,なかめかな,いるかたちかき,やまのはのつき
むかしみし,つきにもそては,ぬれしかと,おいはさなから,なみたなりけり
みはかくて,さすかあるよの,おもひいてに,またこのあきも,つきをみるかな
にはしろく,さえたるつきも,ややふけて,にしのかきねそ,かけになりゆく
ふしわひて,つきにうかるる,みちのへの,かきねのたけを,はらふあきかせ
あきのよの,そらすみわたる,つきみれは,ゆくともなくて,かたふきにけり
ふけぬとも,ひとりおきゐむ,なかめすてて,つきよりさきに,いらしとおもへは
ふけぬれと,ゆくともみえぬ,つきかけの,さすかにまつの,にしになりぬる
ふけぬとも,なかむるほとは,おほえぬに,つきよりにしの,そらそすくなき
あけぬるか,わけつるあとに,つゆしろし,つきのかへさの,のへのみちしは
くもはるる,いそやまあらし,おとふけて,おきつしほせに,つきそかたふく
つきのこる,いそへのまつを,ふきわけて,いるかたみする,あきのうらかせ
ありあけは,いるうらみなき,やまのはの,つらさにかはる,あかつきのくも
あかつきに,なりやしぬらむ,をくらやま,しかのなくねに,つきかたふきぬ
またたくひ,あらしのやまの,ふもとてら,すきのいほりに,ありあけのつき
しらみゆく,そらのひかりに,かけきえて,すかたはかりそ,ありあけのつき
をくらやま,みやこのそらは,あけはてて,たかきこすゑに,のこるつきかけ
そらまては,たちものほらて,ありあけの,つきにおよはぬ,みねのあききり
きりはるる,くもまにつきは,かけみえて,なほふりすさふ,あきのむらさめ
いるつきの,なこりのかけは,みねにみえて,まつかせくらき,あきのやまもと
おとにきく,をくらのやまは,つきかけの,いりぬるときの,なにこそありけれ
ゆふくれの,にはすさましき,あきかせに,きりのはおちて,むらさめそふる
くもかかる,たかねのひはら,おとたてて,むらさめわたる,あきのやまもと
かせにゆく,みねのうきくも,あとはれて,ゆふひにのこる,あきのむらさめ
うきてわたる,ゆふへのそらの,くもくれて,かせにそきほふ,あきのむらさめ
まとちかき,むかひのやまに,きりはれて,あらはれわたる,ひはらまきはら
しひてやは,なほすきゆかむ,あふさかの,せきのわらやの,あきのゆふきり
みねのくも,ふもとのきりも,いろくれて,そらもこころも,あきのまつかせ
やまちには,ひとやまとはむ,かはきりの,たちこぬさきに,いさわたりなむ
あさほらけ,まきのをやまは,きりこめて,うちのかはをさ,ふねよはふなり
まきのはの,しつくそおつる,あさきりの,はれゆくやまの,みねのあきかせ
わけわひて,いつくさととも,しらすけの,まののかやはら,きりこめてけり
そともなる,ならのはしをれ,つゆおちて,きりはれのほる,あきのやまもと
あさひさす,いこまのたけは,あらはれて,きりたちこむる,あきしののさと
きよみかた,なみちのきりは,はれにけり,ゆふひにのこる,みほのうらまつ
あかしかた,うらちはれゆく,あさなきに,きりにこきいる,あまのつりふね
かりにきて,たつあききりの,あけほのに,かへるなこりも,ふかくさのさと
さきたちて,わたるひとたに,みえぬまて,ゆふきりふかし,せたのなかはし
たちこむる,あさけのきりの,そのままに,くもりてくるる,あきのそらかな
きりふかみ,そことみえねと,かけうすき,つきののほるや,あきのやまきは
あききりの,たえまをみれは,あさつくひ,むかひのをかは,いろつきにけり
そことしも,ふもとはみえぬ,あさきりに,のこるもうすき,あきのやまのは
はなのいろは,かくれぬほとに,ほのかなる,きりのゆふへの,のへのをちかた
ゆふひさす,やまのははかり,あらはれて,きりにしつめる,あきのかはなみ
ほにいつる,ふしみのをたを,みわたせは,いなはにつつく,うちのかはなみ
くれかかる,ふしみのかとた,うちなひき,ほなみをわたる,うちのかはふね
しらつゆの,おくてのいねも,かりてけり,あきはてかたに,なりやしぬらむ
あきをたに,いつかとおもひし,あらをたは,かりほすほとに,なりそしにける
にはのむし,よそのきぬたの,こゑこゑに,あきのよふかき,あはれをそきく
ふけぬるか,このさとひとは,おともせて,とほやまもとに,ころもうつなり
ゆふきりに,みちはまとひぬ,ころもうつ,おとにつきてや,やとをからまし
あきかせは,ふけにけらしな,さととほき,きぬたのおとの,すみまさりゆく
ふけゆけは,ところところに,きこえつる,きぬたのおとそ,まれになりゆく
さよふけて,ころもうつなり,われならて,またねぬひとは,あらしとおもふに
いまよりは,ころもうつなり,あきかせの,さむきゆふへの,をかのへのさと
つききよみ,ちさとのほかに,くもつきて,みやこのかたに,ころもうつなり
ひさかたの,つきもよさむに,なるままに,あきはふけぬと,ころもうつなり
くれかたの,あきさりころも,ぬきをうすみ,たへぬよさむに,いまそうつなる
いりかたの,つきのそらさへ,ひひくまて,とほちのむらは,ころもうつなり
ころもうつ,しつかふせやの,いたまあらみ,きぬたのうへに,つきもりにけり
しくれゆく,はしのたちえに,かせこえて,こころいろつく,あきのやまさと
うつりゆく,けしきのもりの,したもみち,あききにけりと,みゆるいろかな
をくらやま,あきとはかりの,うすもみち,しくれてのちの,いろそゆかしき
たれかそめし,とやまのみねの,うすもみち,しくれぬさきの,あきのひとしほ
かたやまの,ははそのこすゑ,いろつきて,あきかせさむみ,かりそなくなる
ゆふつくひ,むかひのをかの,うすもみち,またきさひしき,あきのいろかな
われもしか,あかてかへりし,つきかけの,やまのはつらき,なかめをそせし
あきふかき,ねさめのしくれ,ききわひて,おきいててみれは,むらくものつき
あきのあめの,やみかたさむき,やまかせに,かへさのくもも,しくれてそゆく
いろいろに,うつろふきくを,くものうへの,ほしとはいかて,ひとのいふらむ
むらさきに,つらぬるそてや,うつるらむ,くものうへまて,にほふしらきく
ももしきの,おほみやひとの,けふといへは,かさしにさせる,ちよのしらきく
さきそめし,うめよりきくに,うつるまて,はなのいくいろ,なれてみつらむ
たみのとも,いまはもとめし,たちかへり,はなのしつくに,ぬれむとおもへは
きくのはな,しもにうつると,をしみしは,こきむらさきに,そむるなりけり
たつのすむ,みきはのきくは,しらなみの,をれとつきせぬ,かけそみえける
うすくこく,うつろふいろも,はつしもの,みなしらきくと,みえわたるかな
えたもはも,それともみえす,くれぬるに,はなこそのこれ,にはのしらきく
いこまやま,あらしもあきの,いろにふく,てひきのいとの,よるそくるしき
やまもとの,さとのしるへの,うすもみち,よそにもをしき,あきのいろかな
そめやらぬ,みむろのやまの,うすもみち,いまいくしほの,しくれまつらむ
あきやまの,みとりのいろそ,めつらしき,もみちにましる,まつのひともと
みむろやま,ふもとのまつの,むらむらに,しくれわけたる,あきのいろかな
あききりや,やまたちかくし,そめつらむ,はれていろこき,みねのもみちは
しくれもて,おるてふあきの,からにしき,たちかさねたる,ころもてのもり
わきてなほ,もみちもいろや,ふかからむ,みやこのにしの,あきのやまさと
あきことに,かみなひやまの,もみちはは,たれかたむけの,にしきなるらむ
しくれする,いはたのをのの,ははそはら,あさなあさなに,いろかはりゆく
かりかねの,なくなるなへに,からころも,たつたのやまは,もみちしぬらし
つまかくす,やののかみやま,つゆしもに,にほひそめたり,ちらまくをしも
しらつゆの,このはをわきて,おくやまの,ふかきもみちは,いろもかはらし
くれなゐの,やしほのいろは,もみちはに,あきくははれる,としにそありける
うちむれて,もみちたつぬと,ひはくれぬ,あるしもしらぬ,やとやからまし
あきふかき,やまよりやまに,わけいれは,なほいろそへる,もみちをそみる
むらむらに,こすゑのいろも,うつろひて,ゆふひのやまに,くもそしくるる
しくれつる,ほとよりもなほ,いろこきは,うつるいりひの,をかのもみちは
やまもとの,すそののこはき,ちりぬれと,にしきをのこす,みねのもみちは
もみちはの,をりをわすれぬ,なさけにも,なれにしくもの,うへやこひしき
をりしらぬ,みにはよそなる,もみちはに,いろをそへける,あきのみやひと
としをへて,こけにうもるる,ふるてらの,のきにあきある,つたのいろかな
あれわたる,にははちくさに,むしのこゑ,かきほはつたの,ふるさとのあき
たつねすて,けふもくれなは,もみちはを,さそふあらしの,かせやふきなむ
たきのうへの,みふねのやまの,もみちはは,こかるるほとに,なりにけるかな
しくれゆく,たつたのこすゑ,うつろひて,そめぬかはせも,もみちしにけり
もみちはは,てりてみゆれと,あしひきの,やまはくもりて,しくれこそふれ
かせさむみ,いくよもへぬに,むしのねの,しもよりさきに,かれにけるかな
あきふくる,あさちかにはの,きりきりす,よやさむからし,こゑよわりゆく
にはもせに,こゑこゑききし,むしのねの,ときときよわき,あきのくれかた
ゆふつくひ,いろさひまさる,くさのしたに,あるとしもなく,よわるむしのね
なきよわる,むくらかしたの,きりきりす,いまいくかとか,あきをしるらむ
あきふかみ,よわるはむしの,こゑのみか,きくわれとても,たのみやはある
やまのはの,ゆふひのかけも,たえたえに,しくれてすくる,あきのむらくも
はなすすき,ほすゑにうつる,ゆふひかけ,うすきそあきの,ふかきいろなる
はなすすき,ほにいててまねく,ころしもそ,すきゆくあきは,とまらさりける
のへとほき,をはなにかせは,ふきみちて,さむきゆふひに,あきそくれゆく
むしのねの,よわるあさちは,うらかれて,はつしもさむき,あきのくれかた
くれてゆく,あきのなこりは,おしてるや,なにはのあしも,うらかれにけり
すきゆくか,つれなきあきの,こころかな,こひしかるへき,のへのけしきを
くものいろ,のやまのくさき,ものことに,あはれをそへて,あきそくれゆく
おほかたの,ひかすのみかは,くさもきも,うつろふいろに,あきそくれゆく
あきふかき,やそうちかはの,はやきせに,もみちそくたる,あけのそほふね
なかつきの,ありあけのつきも,ふけにけり,わかよのすゑを,おもふのみかは
かたしきの,そてになれぬる,つきかけの,あきもいくよそ,うちのはしひめ
ゆくあきの,わかれにそへて,なかつきの,ありあけのつきの,をしくもあるかな
けふのみと,なこりおもはぬ,ゆふへたに,あきにはあへす,ぬるるたもとを
なかつきの,ひかすはけふに,すきぬとも,こころにあきや,あすものこらむ
うつろはて,にはのしらきく,のこらなむ,あきのかたみと,あすよりはみむ
くさきみな,あすみさるへき,いろもなし,わかこころにそ,あきはくれける
こころとめて,くさきのいろも,なかめおかむ,おもかけにたに,あきやのこると
われたにも,かへるみちには,ものうきに,いかてすきぬる,あきにかあるらむ
やまかつの,よもきかかきも,しもかれて,かせもたまらぬ,ふゆはきにけり
うちしくれ,たたよふくもの,やまめくり,はやくもふゆの,けしきなるかな
ゆふくれの,あはれはあきに,つきにしを,またしくれして,このはちるころ
ねさめする,とこにしくれは,もりこねと,おとにもそての,ぬれにけるかな
おのつから,おとするひとも,なかりけり,やまめくりする,しくれならては
しくるるも,おとはかはらぬ,いたまより,このははつきの,もるにそありける
しくれつる,このしたつゆは,おとつれて,やまちのすゑに,くもそなりゆく
かせむせふ,ひはらのしくれ,かきくらし,あなしのたけに,かかるむらくも
ふきすくる,ひはらのやまの,こからしに,ききもわかれぬ,むらしくれかな
むらしくれ,すきゆくみねの,くもまより,ひかけうつろふ,をちのやまもと
かみなつき,しくれとひわけ,ゆくかりの,つはさふきほす,みねのこからし
をりしもあれ,かへさものうき,たひひとの,こころをしりて,ふるしくれかな
むらくもの,たえまたえまに,ほしみえて,しくれをはらふ,にはのまつかせ
むらくもの,たえまのそらに,にしたちて,しくれすきぬる,をちのやまのは
なかきよの,ねさめのまとに,おとつるる,しくれはおいの,ともにそありける
うきてゆく,くもまのそらの,ゆふひかけ,はれぬとみれは,またしくるなり
そめかぬる,しくれはよそに,すきぬれと,つれなきまつに,のこるこからし
あはれなる,ときをゆふへと,おもふより,しくれにそひて,ふるなみたかな
かみなつき,しくるるくもを,たよりにて,くるるはやすき,ふゆのそらかな
ひとむらの,しくれをさそふ,やまかせに,おくるるくもは,のとかにそゆく
ゆふくれの,くもとひみたれ,あれてふく,あらしのうちに,しくれをそきく
あはちしま,はるかにみつる,うきくもも,すまのせきやに,しくれきにけり
むらくもの,すきのいほりの,あれまより,しくれにかはる,よはのつきかけ
おとたつる,しくれはやすく,すきのやに,ねさめのそてそ,ぬれてのこれる
うきくもを,つきにあらしの,ふきかけて,ありあけのそらを,ゆくしくれかな
あらしふき,このはちりかふ,ゆふくれに,むらくもきほひ,しくれふるなり
ちりつもる,よものこのはに,うつもれて,あきみしみちは,おもかけもなし
おのつから,そめぬこのはを,ふきませて,いろいろにゆく,こからしのかせ
ちりしける,ははそのもみち,それをさへ,とめしとはらふ,もりのしたかせ
かれはつる,おちはかうへの,ゆふしくれ,そめしなこりの,いろやわすれぬ
ゆふひさす,みねのしくれの,ひとむらに,みきりをすくる,くものかけかな
ゆふしくれ,あらしにはるる,たかねより,いりひにみえて,ふるこのはかな
ひとはこす,ゆふへのあめは,したたりて,むなしきはしに,ふるこのはかな
もみちちる,よはのねさめの,やまさとは,しくれのおとも,わきそかねつる
しくれつる,たかねのくもは,はれのきて,かせよりふるは,このはなりけり
しくれゆく,あともはれまは,なかりけり,このはふりそふ,みねのあらしに
かみなつき,あらしにましる,むらさめに,いろこきたれて,ちるこのはかな
しくれつる,そらはゆきけに,さえなりて,はけしくかはる,よものこからし
そともなる,ならのはかしは,かれおちて,しくれをうくる,おとのさひしさ
おとつれし,やまのこのはは,ふりはてて,しくれをのこす,みねのまつかせ
さそふへき,このはもいまは,のこらねは,はけしくとても,やまおろしのかせ
もみちはの,なかるるたきは,くれなゐに,そめたるいとを,くるかとそみる
こからしに,このはのおつる,やまさとは,なみたさへこそ,もろくなりぬれ
やまちかき,ところならすは,ゆくみつの,もみちせりとそ,おとろかれまし
となせより,なかすにしきは,おほゐかは,いかたにつめる,このはなりけり
このはちる,みやまのおくの,かよひちは,ゆきよりさきに,うつもれにけり
かれつもる,もとのおちはの,うへにまた,さらにいろにて,ちるもみちかな
ききなれし,こすゑのかせは,ふきかへて,にはのこのはの,おとさわくなり
しものしたの,おちはをかへす,こからしに,ふたたひあきの,いろをみるかな
おほゐかは,あきのなこりを,たつぬれは,いりえのみつに,しつむもみちは
たつたかは,なかるるみつも,このころは,ちるもみちゆゑ,をしくそありける
あめとふる,このはつもれる,たにかはの,みつはまさらて,せたえしてけり
おちつもる,このははかりの,よとみにて,せかれぬみつそ,したになかるる
やまかはの,いはまにつもる,もみちはは,さそふみつなき,ほとそみえける
あらしふく,やそうちかはの,なみのうへに,このはいさよふ,せせのあしろき
もみちはを,おとすしくれの,ふるなへに,よさへそさむき,ひとりしあれは
けふにありて,あすはすきなむ,かみなつき,しくれにまよふ,もみちかささむ
あらしこそ,ふきこさりけれ,みやちやま,またもみちはの,ちらてのこれる
かみなつき,もみちにふれる,はつゆきは,をりたかへたる,はなかとそみる
いつしかと,ふゆのけしきに,たつたかは,もみちとちませ,うすこほりせり
かみなつき,こすゑのもみち,にはのきく,あきのいろとは,なにおもひけむ
あきすきて,のこれるいろも,かみなつき,しもをわけてそ,をしむへらなる
おくしもに,いろはみえねと,きくのはな,こむらさきにも,なりにけるかな
くさはみな,しもにくちにし,ふゆかれに,ひとりあきなる,にはのしらきく
のへはたた,をささはかりの,あをはにて,さらてはなへて,しもかれのいろ
さひしさは,やとのならひを,このはしく,しものうへとも,なかめつるかな
はかへせぬ,いろしもさひし,ふゆふかき,しものあさけの,をかのへのまつ
ならのはに,しもやおくらむと,おもふにも,ねてこそふゆの,よをあかしつれ
むしのねの,よわりはてぬる,にはのおもに,をきのかれはの,おとそのこれる
はなにおく,つゆにやとりし,かけよりも,かれののつきは,あはれなりけり
ふゆかれの,すさましけなる,やまさとに,つきのすむこそ,あはれなりけれ
しをれふす,かれはのすすき,しもさえて,つきかけこほる,ありあけののへ
おきてみれは,あけかたさむき,にはのおもの,しもにしらめる,ふゆのつきかけ
くさのうへは,なほふゆかれの,いろみえて,みちのみしろき,のへのあさしも
やまかつの,あさけのこやに,たくしはの,しはしとみれは,くるるそらかな
かせのおとの,はけしくわたる,こすゑより,むらくもさむき,みかつきのかけ
しくれふる,やまのはつかの,くもまより,あまりていつる,ありあけのつき
すみのほる,そらにはくもる,かけもなし,こかけしくるる,ふゆのよのつき
ひとめさへ,しもかれにける,やとなれは,いととありあけの,つきそさひしき
かはちとり,なれもやものは,うれはしき,たたすのもりを,ゆきかへりなく
けふくれて,あすかのかはの,かはちとり,ひにいくせをか,なきわたるらむ
うらまつの,はこしにおつる,つきかけに,ちとりつまとふ,すまのあけほの
おのれたに,こととひこなむ,さよちとり,すまのうきねに,ものやおもふと
うらかせの,さむくしふけは,あまころも,つまとふちとり,なくねかなしも
おきつしほ,さしてのいその,はまちとり,かせさむからし,よはにともよふ
やまのはも,みえぬあかしの,うらちとり,しまかくれゆく,つきになくなり
このゆふへ,しほみちくらし,なにはかた,あしへのちとり,こゑさわくなり
つききよみ,さよふけゆけは,いせしまや,いちしのうらに,ちとりなくなり
あはちしま,せとのしほかせ,さむからし,つまとふちとり,こゑしきるなり
さほかはに,あそふちとりの,さよふけて,そのこゑきけは,いねられなくに
かはちとり,つきよをさむみ,いねすあれや,ねさむることに,こゑのきこゆる
あまをふね,さしてみちくる,ゆふしほの,いやましになく,ともちとりかな
ふゆのよは,しほかせさむみ,かみしまの,いそまのうらに,ちとりなくなり
ひくなみの,さそひやかへす,ともちとり,またいそとほく,こゑのきこゆる
よふねこく,せとのしほあひに,つきさえて,をしまかいそに,ちとりしはなく
きよみかた,せきのとたたく,うらかせに,あけかたかけて,なくちとりかな
かせさむき,ふけひのうらの,さよちとり,とほきしほひの,かたになくなり
とこさえて,ねられぬふゆの,よをなかみ,またるるかねの,おとそつれなき
たひまくら,ふしみのさとの,あさほらけ,かりたのしもに,たつそなくなる
つららゐる,かりたのおもの,ゆふくれに,やまもととほく,さきわたるみゆ
あさひさす,こほりのうへの,うすけふり,またはれやらぬ,よとのかはきし
ふるかはの,いりえのみつの,あさこほり,かよひしふねの,あとたにもなし
やまかはの,みわたによとむ,うたかたの,あわにむすへる,うすこほりかな
はやきせは,なほもなかれて,やまかはの,いはまによとむ,みつそこほれる
さゆるよの,いけのたまもの,みかくれて,こほりにすける,なみのしたくさ
たきかはの,いはねつつきや,こほるらむ,はやせのなみの,おとのよわれる
たたひとへ,うへはこほれる,かはのおもに,ぬれぬこのはそ,かせになかるる
