けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
あつさゆみ,おしてはるさめ,ふるさとの,みかきかはらそ,うすみとりなる
なにとなく,さへつるやまの,とりのねも,もののあはれは,はるのあけほの
うちわたす,さほのかはらの,あをやきも,いまははるへと,もえにけるかも
はるさめの,うちふることに,わかやとの,やなきのすゑは,いろつきにけり
わかやとの,やなきのいとは,ほそくとも,くるうくひすの,たえすもあらなむ
のとかなる,ゆふへのやまは,みとりにて,かすみになひく,あをやきのいと
やまもとの,かすみのそこの,うすみとり,あけてやなきの,いろになりぬる
さほひめの,うちたれかみの,たまやなき,たたはるかせの,けつるなりけり
はるくれは,たまのみきりを,はらひけり,やなきのいとや,とものみやつこ
たまやなき,にほふともなき,えたなれと,みとりのいろの,なつかしきかな
たまほこの,みちならなくに,はるはると,よりてそみつる,あをやきのいと
なみかくる,たつたかはらの,ふしやなき,こすゑはそこの,たまもなりけり
やまのはも,きえていくへの,ゆふかすみ,かすめるはては,あめになりぬる
へたてつる,かすみややかて,くもるらむ,いこまのやまの,はるさめのそら
つくつくと,はるひのとけき,にはたつみ,あめのかすみる,くれそさひしき
なへてよは,くれこそゆくに,はるさめの,はるるかくもの,ひまのしらめる
つれつれと,あめふりくらす,はるのひは,つねよりなかき,ものにそありける
なかめする,みとりのそらも,かきくもり,つれつれまさる,はるさめそふる
はるさめの,ふるとはそらに,みえねとも,きけはさすかに,のきのたまみつ
はるさめは,くるひともなく,あとたえぬ,やなきのかとの,のきのいとみつ
あめはるる,なこりもかすむ,あさあけの,やなきのいとに,かかるしらつゆ
あさみとり,やなきのえたの,かたいともて,ぬきたるたまの,はるのあさつゆ
ふるさとと,あはれいつくを,さためてか,あきこしかりの,けふかへるらむ
はるかすみ,なほたちかくせ,かへるやま,こえゆくかりの,みちまとふかに
かりかねの,もみちにかけし,たまつさを,はなにつけてや,もてかへるらむ
あくるよの,たのものかすみ,わけすきて,やまもとわたる,はるのかりかね
すゑとほき,わかはのしはふ,うちなひき,ひはりなくのの,はるのゆふくれ
あたらよの,あはれをしるや,よふことり,つきとはなとの,ありあけのそら
おのかつま,こひわひにけり,はるののに,あさるききすの,あさなあさななく
かりにくる,ひともこそあれ,はるののに,あさなくきしの,ちかくもあるかな
はるののに,こころやらむと,おもふとち,いてこしけふは,くれすもあらなむ
ひとりのみ,なかむるやとの,はるのひは,さもくれかたき,ものにそありける
ふるさとに,いまかまつらむ,かへるさの,ときをわすれぬ,はるのかりかね
こしかたに,かへるならひの,またもあらは,くもゐのかりに,ねをやそへまし
あさなきに,ゆきかふふねの,けしきまて,はるをうかふる,なみのうへかな
いつくより,たちはしむらむ,わたのはら,かすみをわけて,よするうらなみ
やまのはは,そこともわかぬ,ゆふくれに,かすみをいつる,はるのよのつき
くもりなく,さやけきよりも,なかなかに,かすめるそらの,つきをこそおもへ
くもみたれ,はるのよかせの,ふくなへに,かすめるつきそ,なほかすみゆく
なかむれは,そこはかとなく,かすむよの,つきこそはるの,けしきなりけれ
よよしとも,ひとにはつけし,はるのつき,うめさくやとは,かせにまかせて
しるしらす,わきてはまたす,うめのはな,にほふはるへの,あたらよのつき
なにはかた,おほろつきよの,いりしほに,あけかたかすむ,あはちしまやま
しられすも,こころのそこや,はるになる,ときなるころと,はなのまたるる
はなよいかに,はるひうららに,よはなりて,やまのかすみに,とりのこゑこゑ
やまさむみ,はなさくへくも,なかりけり,あまりかねても,たつねきにける
おほつかな,いつれのやまの,みねよりか,またるるはなの,さきはしむらむ
ききのこころ,はなちかからし,きのふけふ,よはうすくもり,はるさめのふる
ゆきてみむ,いまははるさめ,ふるさとに,はなのひもとく,ころもきにけり
はななれや,かすみのまより,はつせやま,はつかにみゆる,みねのしらくも
いましはや,はなさきぬらし,はつせやま,あさゐるくもの,みねにかをれる
やまさくら,このよのまにや,さきぬらし,あさけのかすみ,いろにたなひく
おほかたの,はなのさかりも,ほともあらし,にはのひときは,さきそめにけり
みわたせは,しらゆふかけて,さきにけり,かみをかやまの,はつさくらはな
やまたかみ,あさゐるくもと,みえつるは,よのまにさける,さくらなりけり
たえたえに,かかれるみねの,しらくもや,はやさきそむる,さくらなるらむ
さかりをは,なほまつえたの,のこれとも,あまたこすゑに,はなそなりぬる
はなならし,かすみてにほふ,しらくもの,はるはたちそふ,みよしののやま
いろいろの,にしきとみゆる,はなさくら,はるのかすみや,たちかさぬらむ
はなみにと,むれつつひとの,くるのみそ,あたらさくらの,とかにはありける
なかむるに,はなのなたての,みならすは,このもとにてや,はるをくらさむ
ささなみや,なからのやまの,はなさかり,しかのうらかせ,ふかすもあらなむ
とふひとも,をらてをかへれ,うくひすの,はかせもつらき,やとのさくらを
をちこちの,やまはさくらの,はなさかり,のへはかすみに,うくひすのこゑ
はるかすみ,あやななたちそ,くものゐる,とほやまさくら,よそにてもみむ
みやこには,くもとやみらむ,わかやとの,のきはにちかき,やまのさくらを
さきましる,はなをわけとや,しらくもの,やまをはなれて,たちのほるらむ
さきたちて,たれみよしのの,やまさくら,しらぬしをりの,あとつけてけり
たかはるの,くものなかめに,くれぬらむ,やとかるはなの,みねのこのもと
はつせやま,をのへのはなは,かすみくれて,ふもとのひひく,いりあひのこゑ
はるさめの,ふるきのさくら,けふしこそ,をりえてはなの,いろもみえけれ
つゆをおもみ,こすゑたれたる,いとさくら,やなきかえたに,さくかとそみる
みちのへや,このしたことの,やすらひに,まつらむはなの,やとやくれなむ
のこりなく,たつぬなれとも,しめのうちの,はなははなにも,あらぬなるへし
かせをいたみ,まつやまへをそ,たつねつる,しめゆふはなは,ちらしとおもひて
さくらはな,あかぬにほひに,さそはれて,はるはやまちに,ゆかぬひそなき
あすもこむ,けふもひくらし,みつれとも,あかぬははなの,にほひなりけり
さくらはな,ひくらしみつつ,けふもまた,つきまつほとに,なりにけるかな
わかために,をれやひとえた,やまさくら,いへつとにとは,おもはすもあれ
わりなしや,ほかにもはなの,なくはこそ,ひときかもとに,ひをもくらさめ
はなのいろは,あかしとそおもふ,よろつよを,さなからはるに,なしてみるとも
こたちをは,つくろはすして,さくらはな,かさかくれにそ,ううへかりける
いかにまた,またせまたせて,さくらはな,みるほともなく,ちらむとすらむ
みるほとは,よのうきことも,わすれけり,またもはなをそ,ううへかりける
おいらくは,こころのいろや,まさるらむ,としにそへては,あかぬはなかな
ゆきめくり,みれともあかす,やまさくら,われのみならは,かへらましやは
ふるさとを,たちなかくしそ,はるかすみ,はなのさかりは,ゆきてみるへく
あたなりと,おもひなすてそ,またちらぬ,はなよりさきに,うつろひぬとて
としをへて,かはらすにほふ,はななれと,みるはることに,めつらしきかな
おもひそめき,よつのときには,はなのはる,はるのうちにも,あけほののそら
あたしいろに,なほうとまれぬ,さくらはな,まつもをしむも,ものをこそおもへ
ひととせに,まれなるはるの,うちもなほ,あひみるはなの,ころそすくなき
はなのうちに,いかにちきりて,さくらしも,はるにことなる,なをのこしけむ
おそくとき,あまたこすゑを,みるときそ,はなのさかりの,ほとはひさしき
をりかさす,みちゆきひとの,けしきにて,よはみなはなの,さかりをそしる
とりのこゑ,かすみのいろを,しるへにて,おもかけにほふ,はるのやまふみ
さくらはな,にほふをみつつ,かへるには,しつこころなき,ものにそありける
たちかへり,はなをそわれは,うらみつる,ひとのこころを,とめぬとおもへは
さくらはな,をりてかささむ,くろかみの,かはれるいろに,みえまかふへく
ゆきかとそ,よそにみつれと,さくらはな,をりてはにたる,いろなかりけり
さととほみ,あまりおくなる,やまちには,はなみにとても,ひとこさりけり
さくらさく,ならのみやこを,みわたせは,いつくもおなし,やへのしらくも
やへにほふ,はなをむかしの,しるへにて,みぬよをしたふ,ならのふるさと
みよしのの,やまのあなたの,さくらはな,ひとにしられぬ,ひとやみるらむ
なかめやる,よものやまへも,さくはなの,にほひにかすむ,きさらきのそら
いまはよに,おもひますへき,かたもなし,こころのとかに,はなをたにみむ
おいらくは,わかみのほかの,はるなれは,はなみてたにも,なみたおちけり
ことかたも,またゆかしさに,やまさくら,おなしひときを,しつかにもみす
はるのよの,あけゆくそらは,さくらさく,やまのはよりそ,しらみそめける
ほのほのと,はなのよこくも,あけそめて,さくらにしらむ,みよしののやま
かすみかは,はなうくひすに,とちられて,はるにこもれる,やとのあけほの
