いかにねて,おくるあしたに,いふことそ,きのふをこそと,けふをことしと
あきはたた,けふはかりそと,なかむれは,ゆふくれにさへ,なりにけるかな
としつもる,ひとこそいとと,をしまるれ,けふはかりなる,あきのゆふくれ
よもすから,なかめてたにも,なくさめむ,あけてみるへき,あきのそらかは
おちつもる,もみちをみれは,おほゐかは,ゐせきにあきも,とまるなりけり
たむけにも,すへきもみちの,にしきこそ,かみなつきには,かひなかりけれ
おほゐかは,ふるきなかれを,たつねきて,あらしのやまの,もみちをそみる
あはれにも,たえすおとする,しくれかな,とふへきひとも,とはぬすみかに
かみなつき,ふかくなりゆく,こすゑより,しくれてわたる,みやまへのさと
このはちる,やとはききわく,ことそなき,しくれするよも,しくれせぬよも
もみちちる,おとはしくれの,ここちして,こすゑのそらは,くもらさりけり
かみなつき,ねさめにきけは,やまさとの,あらしのこゑは,このはなりけり
あしろきに,もみちこきませ,よるひをは,にしきをあらふ,ここちこそすれ
うちかはの,はやくあしろは,なかりけり,なにによりてか,ひをはくらさむ
きりはれぬ,あやのかはへに,なくちとり,こゑにやともの,ゆくかたをしる
さほかはの,きりのあなたに,なくちとり,こゑはへたてぬ,ものにそありける
なにはかた,あさみつしほに,たつちとり,うらつたひする,こゑきこゆなり
さひしさに,けふりをたにも,たたしとて,しはをりくふる,ふゆのやまさと
やまのはは,なのみなりけり,みるひとの,こころにそいる,ふゆのよのつき
ふゆのよに,いくたひはかり,ねさめして,ものおもふやとの,ひましらむらむ
とやかへる,しらふのたかの,こゐをなみ,ゆきけのそらに,あはせつるかな
うちはらふ,ゆきもやまなむ,みかりのの,ききすのあとも,たつぬはかりに
はきはらも,しもかれにけり,みかりのは,あさるききすの,かくれなきまて
しもかれの,くさのとさしは,あたなれと,なへてのひとを,いるるものかは
しもかれは,ひとついろにそ,なりにける,ちくさにみえし,のへにあらすや
おちつもる,にはのこのはを,よのほとに,はらひてけりと,みするあさしも
すきのいたを,まはらにふける,ねやのうへに,おとろくはかり,あられふるらし
とふひとも,なきあしふきの,わかやとは,ふるあられさへ,おとせさりけり
みやこにも,はつゆきふれは,をのやまの,まきのすみかま,たきまさるらむ
うつみひの,あたりははるの,ここちして,ちりくるゆきを,はなとこそみれ
あはゆきも,まつのうへにし,ふりぬれは,ひさしくきえぬ,ものにそありける
いつかたと,かひのしらねは,しらねとも,ゆきふることに,おもひこそやれ
もみちゆゑ,こころのうちに,しめゆひし,やまのたかねは,ゆきふりにけり
あさほらけ,ゆきふるそらを,みわたせは,やまのはことに,つきそのこれる
こしみちも,みえすゆきこそ,ふりにけれ,いまやとくると,ひとはまつらむ
いかはかり,ふるゆきなれは,しなかとり,ゐなのしはやま,みちまとふらむ
ひとりぬる,くさのまくらは,さゆれとも,ふりつむゆきを,はらはてそみる
はるやくる,ひとやとふとも,またれけり,けさやまさとの,ゆきをなかめて
ゆきふかき,みちにそしるき,やまさとは,われよりさきに,ひとこさりけり
やまさとは,ゆきこそふかく,なりにけれ,とはてもとしの,くれにけるかな
おもひやれ,ゆきもやまちも,ふかくして,あとたえにける,ひとのすみかを
こりつめて,まきのすみやく,けをぬるみ,おほはらやまの,ゆきのむらきえ
わかやとに,ふりしくゆきを,はるにまた,としこえぬまの,はなとこそみれ
おなしくそ,ゆきつもるらむと,おもへとも,きみふるさとは,まつそとはるる
ふるゆきは,としとともにそ,つもりける,いつれかたかく,なりまさるらむ
さむしろは,うへさえけらし,かくれぬの,あしまのこほり,ひとへしにけり
さよふくる,ままにみきはや,こほるらむ,とほさかりゆく,しかのうらなみ
かもめこそ,よかれにけらし,ゐなのなる,こやのいけみつ,うはこほりせり
いはまには,こほりのくさひ,うちてけり,たまゐしみつも,いまはもりこす
うはたまの,よをへてこほる,はらのいけは,はるとともにや,なみもたつへき
しろたへに,かしらのかみは,なりにけり,わかみにとしの,ゆきつもりつつ
みやこへは,としとともにそ,かへるへき,やかてはるをも,むかへかてらに
けふとくる,こほりにかへて,むすふらし,ちとせのはるに,あはむちきりを
くちもせぬ,なからのはしの,はしはしら,ひさしきほとの,みえもするかな
むさしのを,きりのたえまに,みわたせは,ゆくすゑとほき,ここちこそすれ
かすみさへ,たなひくのへの,まつなれは,そらにそきみか,ちよはしらるる
きみをいのる,としのひさしく,なりぬれは,おいのさかゆく,つゑそうれしき
はるもあきも,しらてとしふる,わかみかな,まつとつるとの,としをかそへて
ひともとの,まつのしるしそ,たのもしき,ふたこころなき,ちよとみつれは
きみかよを,なににたとへむ,ときはなる,まつのみとりも,ちよをこそふれ
めつらしき,ひかりさしそふ,さかつきは,もちなからこそ,ちよもめくらめ
いとけなき,ころものそては,せはくとも,こふのうへをは,なてつくしてむ
きみかよは,かきりもあらし,はまつはき,ふたたひいろは,あらたまるとも
これもまた,ちよのけしきの,しるきかな,おひそふまつの,ふたはなからに
ひめこまつ,おほはらやまの,たねなれは,ちとせはたたに,まかせてをみむ
くものうへに,のほらむまても,みてしかな,つるのけころも,としふとならは
ちよをいのる,こころのうちの,すすしきは,たえせぬいへの,かせにそありける
ちとせふる,ふたはのまつに,かけてこそ,ふちのわかえも,はるひさかえめ
おもふこと,いまはなきかな,なてしこの,はなさくはかり,なりぬとおもへは
きみみれは,ちりもくもらて,よろつよの,よはひをのみも,ますかかみかな
くもりなき,かかみのひかり,ますますも,てらさむかけに,かくれさらめや
おもひやれ,またつるのこの,おひさきを,ちよもとなつる,そてのせはさを
よろつよを,かそへむものは,きのくにの,ちひろのはまの,まさこなりけり
すみよしの,うらのたまもを,むすひあけて,なきさのまつの,かけをこそみめ
いろいろに,あまたちとせの,みゆるかな,こまつかはらに,たつやむれゐる
かたかたの,おやのおやとち,いはふめり,このこのちよを,おもひこそやれ
きみかよは,ちよにひとたひ,ゐるちりの,しらくもかかる,やまとなるまて
きみかよは,つきしとそおもふ,かみかせや,みもすそかはの,すまむかきりは
おもひやれ,やそうちひとの,きみかため,ひとつこころに,いのるいのりを
かすかやま,いはねのまつは,きみかため,ちとせのみかは,よろつよそへむ
きみかよは,しらたまつはき,やちよとも,なににかそへむ,かきりなけれは
いはくくる,たきのしらいと,たえせてそ,ひさしくよよに,へつつみるへき
きみすめは,にこれるみつも,なかりけり,みきはのたつも,こころしてゐよ
ことしたに,かかみとみゆる,いけみつの,ちよへてすまむ,かけそゆかしき
ちとせへむ,きみかかさせる,ふちのはな,まつにかかれる,ここちこそすれ
よろつよに,ちよのかさねて,みゆるかな,かめのをかなる,まつのみとりは
うこきなき,おほくらやまを,たてたれは,をさまれるよそ,ひさしかるへき
むらさきの,くものよそなる,みなれとも,たつときくこそ,うれしかりけれ
もみちみむ,のこりのあきも,すくなきに,きみなかゐせは,たれとをらまし
をしむへき,みやこのもみち,またちらぬ,あきのうちには,かへらさらめや
つねならは,あはてかへるも,なけかしを,みやこいつとか,ひとのつけける
みやこいつる,けさはかりたに,はつかにも,あひみてひとを,わかれましかは
わかれての,よとせのはるの,はることに,はなのみやこを,おもひおこせよ
あふさかの,せきうちこゆる,ほともなく,けさはみやこの,ひとそこひしき
よのつねに,おもふわかれの,たひならは,こころみえなる,たまけせましや
ゆくはると,ともにたちぬる,ふなみちを,いのりかけたる,ふちなみのはな
いのりつつ,ちよをかけたる,ふちなみに,いきのまつこそ,おもひやらるれ
たれかよも,わかよもしらぬ,よのなかに,まつほといかか,あらむとすらむ
きみをのみ,たのむたひなる,こころには,ゆくすゑとほく,おもほゆるかな
われをのみ,たのむといはは,ゆくすゑの,まつのちよをも,きみこそはみめ
やまのはに,つきかけみえは,おもひいてよ,あきかせふかは,われもわすれし
たひたひの,ちよをはるかに,きみやみむ,すゑのまつより,いきのまつまて
いとはしき,わかいのちさへ,ゆくひとの,かへらむまてと,をしくなりぬる
いのちあらは,いまかへりこむ,つのくにの,なにはほりえの,あしのうらはに
かりそめの,わかれとおもへと,しらかはの,せきととめぬは,なみたなりけり
わかれちに,たつけふよりも,かへるさを,あはれくもゐに,きかむとすらむ
ゆくよりも,われそかなしき,めくりあはむ,ほとをまつへき,いのちならねは
わかるへき,なかとしるしる,むつましく,ならひにけるそ,けふはくやしき
なこりある,いのちとおもはは,ともつなの,またもやくると,またましものを
はるははな,あきはつきにと,ちきりつつ,けふをわかれと,おもはさりける
おもへたた,たのめていにし,はるたにも,はなのさかりは,いかかまたれし
おもひいてよ,みちははるかに,なりぬとも,こころのうちは,やまもへたてし
とまるへき,みちにはあらす,なかなかに,あはてそけふは,あるへかりける
まつやまの,まつのうらかせ,ふきよせは,ひろひてしのへ,こひわすれかひ
たたぬより,しほりもあへぬ,ころもてに,またきなかけそ,まつかうらなみ
かくしつつ,おほくのひとは,をしみきぬ,われをおくらむ,ことはいつそは
くれてゆく,としとともにそ,わかれぬる,みちにやはるは,あはむとすらむ
あふさかの,せきちこゆとも,みやこなる,ひとにこころの,かよはさらめや
ゆくひとも,とまるもいかに,おもふらむ,わかれてのちの,またのわかれを
いつちとも,しらぬわかれの,たひなれと,いかてなみたの,さきにたつらむ
あふことは,くもゐはるかに,へたつとも,こころかよはぬ,ほとはあらしを
かへりては,たれをみむとか,おもふらむ,おいてひさしき,ひとはありやは
つくしふね,またともつなも,とかなくに,さしいつるものは,なみたなりけり
ふるさとの,はなのみやこに,すみわひて,やくもたつてふ,いつもへそゆく
あまのかは,のちのけふたに,はるけきを,いつともしらぬ,ふなてかなしな
そのほとと,ちきれるたひの,わかれたに,あふことまれに,ありとこそきけ
いかはかり,そらをあふきて,なけくらむ,いくくもゐとも,しらぬわかれを
あふさかの,せきとはきけと,はしりゐの,みつをはえこそ,ととめさりけれ
ゆくみちの,もみちのいろも,みるへきを,きりとともにや,いそきたつへき
きりわけて,いそきたちなむ,もみちはの,いろしみえなは,みちもゆかれし
たひのそら,よはのけふりと,のほりなは,あまのもしほひ,たくかとやみむ
みやこにて,ふきあけのはまを,ひととはは,けふみるはかり,いかかかたらむ
やまのはに,さはるかとこそ,おもひしか,みねにてもなほ,つきそまたるる
すきかてに,おほゆるものは,あしまかな,ほりえのほとは,つなてゆるめよ
あしのやの,こやのわたりに,ひはくれぬ,いつちゆくらむ,こまにまかせて
みやこのみ,かへりみられて,あつまちを,こまのこころに,まかせてそゆく
こととはは,ありのまにまに,みやことり,みやこのことを,われにきかせよ
かかみやま,こゆるけふしも,はるさめの,かきくもりやは,ふるへかりける
こえはては,みやこもとほく,なりぬへし,せきのゆふかせ,しはしすすまむ
けふはかり,かすまさらなむ,あかてゆく,みやこのやまは,それとたにみむ
わたのへや,おほえのきしに,やとりして,くもゐにみゆる,いこまやまかな
しらくもの,うへよりみゆる,あしひきの,やまのたかねや,みさかなるらむ
あつまちに,ここをうるまと,いふことは,ゆきかふひとの,あれはなりけり
あつまちの,はまなのはしを,きてみれは,むかしこひしき,わたりなりけり
おもふひと,ありとなけれと,ふるさとは,しかすかにこそ,こひしかりけれ
みやこをは,かすみとともに,たちしかと,あきかせそふく,しらかはのせき
よのなかは,かくてもへけり,きさかたの,あまのとまやを,わかやとにして
すまのうらを,けふすきゆくと,こしかたへ,かへるなみにや,ことをつてまし
かせふけは,もしほのけふり,うちなひき,われもおもはぬ,かたにこそゆけ
つきかけは,たひのそらとて,かはらねと,なほみやこのみ,こひしきやなそ
おほつかな,みやこのそらや,いかならむ,こよひあかしの,つきをみるにも
なかむらむ,あかしのうらの,けしきにて,みやこのつきは,そらにしらなむ
つきはかく,くもゐなれとも,みるものを,あはれみやこの,かからましかは
みやこにて,やまのはにみし,つきかけを,こよひはなみの,うへにこそまて
みやこいてて,くもゐはるかに,きたれとも,なほにしにこそ,つきはいりけれ
なぬかにも,あまりにけりな,たよりあらは,かそへきかせよ,おきのしまもり
ものをおもふ,こころのやみし,くらけれは,あかしのうらも,かひなかりけり
さもこそは,みやこのほかに,やとりせめ,うたてつゆけき,くさまくらかな
いそきつつ,ふなてそしつる,としのうちに,はなのみやこの,はるにあふへく
あなしふく,せとのしほあひに,ふなてして,はやくそすくる,さやかたやまを
これやこの,つきみるたひに,おもひやる,をはすてやまの,ふもとなりける
みわたせは,みやこはちかく,なりぬらむ,すきぬるやまは,かすみへたてつ
さよふけて,みねのあらしや,いかならむ,みきはのなみの,こゑまさるなり
よもすから,ちきりしことを,わすれすは,こひむなみたの,いろそゆかしき
しるひとも,なきわかれちに,いまはとて,こころほそくも,いそきたつかな
ありしこそ,かきりなりけれ,あふことを,なとのちのよと,ちきらさりけむ
たちのほる,けふりにつけて,おもふかな,いつまたわれを,ひとのかくみむ
なとてかく,くもかくれけむ,かくはかり,のとかにすめる,つきもあるよに
むらさきの,くものかけても,おもひきや,はるのかすみに,なしてみむとは
おくれしと,つねのみゆきは,いそきしを,けふりにそはぬ,たひのかなしさ
のへまてに,こころひとつは,かよへとも,わかみゆきとは,しらすやあるらむ
たききつき,ゆきふりしける,とりへのは,つるのはやしの,ここちこそすれ
はれすこそ,かなしかりけれ,とりへやま,たちかへりつる,けさのかすみは
いにしへの,たききもけふの,きみかよも,つきはてぬるを,みるそかなしき
ときしもあれ,はるのなかはに,あやまたぬ,よはのけふりは,うたかひもなし
そなはれし,たまのをくしを,さしなから,あはれかなしき,あきにあひぬる
とははやと,おもひやるたに,つゆけきを,いかにそきみか,そてはくちぬや
なみたかは,なかるるみをと,しらねはや,そてはかりをは,ひとのとふらむ
いかはかり,きみなけくらむ,かすならぬ,みたにしくれし,あきのあはれを
よそにきく,そてもつゆけき,かしはきの,もとのしつくを,おもひこそやれ
ぬしなしと,こたふるひとは,なけれとも,やとのけしきそ,いふにまされる
いかはかり,さひしかるらむ,こからしの,ふきにしやとの,あきのゆふくれ
やまてらの,ははそのもみち,ちりにけり,このもといかに,さひしかるらむ
おもふらむ,わかれしひとの,かなしさは,けふまてふへき,ここちやはせし
かなしさの,たくひになにを,おもはまし,わかれをしれる,きみなかりせは
をしまるる,ひとなくなとて,なりにけむ,すてたるみたに,あれはあるよに
よひのまの,そらのけふりと,なりにきと,あまのはらから,なとかつけこぬ
おもひいつや,おもひいつるに,かなしきは,わかれなからの,わかれなりけり
おもひやれ,かねてわかれし,くやしさに,そへてかなしき,こころつくしを
さみたれに,あらぬけふさへ,はれせぬは,そらもかなしき,ことやしるらむ
あたにかく,おつとおもひし,うはたまの,かみこそなかき,かたみなりけれ
うたたねの,このよのゆめの,はかなきに,さめぬやかての,いのちともかな
ゆめみすと,なけきしひとを,ほともなく,またわかゆめに,みぬそかなしき
ちきりありて,このよにまたは,うまるとも,おもかはりして,みもやわすれむ
いまはとて,とひわかるめる,むらとりの,ふるすにひとり,なかむへきかな
ととめおきて,たれをあはれと,おもふらむ,こはまさるらむ,こはまさりけり
みるままに,つゆそこほるる,おくれにし,こころもしらぬ,なてしこのはな
みむといひし,ひとははかなく,きえにしを,ひとりつゆけき,あきのはなかな
わかれにし,そのさみたれの,そらよりも,ゆきふれはこそ,こひしかりけれ
なにしにか,いまはいそかむ,みやこには,まつへきひとも,なくなりにけり
いまはたた,そよそのことと,おもひいてて,わするはかりの,うきこともかな
すてはてむと,おもふさへこそ,かなしけれ,きみになれにし,わかみとおもへは
なきひとの,くるよときけと,きみもなし,わかすむやとや,たまなきのさと
わかれにし,ひとはくへきも,あらなくに,いかにふるまふ,ささかにそこは
こひしさに,ぬるよなけれと,よのなかの,はかなきときは,ゆめとこそみれ
ゆゆしさに,つつめとあまる,なみたかな,かけしとおもふ,たひのころもに
のりのため,つみけるはなを,かすかすに,いまはこのよの,かたみとそおもふ
ふかさこそ,ふちのたもとは,まさるらめ,なみたはおなし,いろにこそしめ
きみのみや,はなのいろにも,たちかへて,たもとのつゆは,おなしあきなる
すみそめの,たもとはいとと,こひちにて,あやめのくさの,ねやしけるらむ
これをたに,かたみとおもふを,みやこには,はかへやしつる,しひしはのそて
こそよりも,いろこそこけれ,はきのはな,なみたのあめの,かかるあきには
わかれにし,そのひはかりは,めくりきて,いきもかへらぬ,ひとそかなしき
としをへて,なれたるひとも,わかれにし,こそはことしの,けふにそありける
わかれけむ,こころをくみて,なみたかは,おもひやるかな,こそのけふをも
わかみには,かなしきことの,つきせねは,きのふをはてと,おもはさりけり
おもひかね,かたみにそめし,すみそめの,ころもにさへも,わかれぬるかな
うすくこく,ころものいろは,かはれとも,おなしなみたの,かかるそてかな
うきなから,かたみにみつる,ふちころも,はてはなみたに,なかしつるかな
きえにける,ゑしのたくひの,あとをみて,けふりとなりし,きみそかなしき
いかにして,うつしとめけむ,くもゐにて,あかすわかれし,つきのひかりを
ひとりこそ,あれゆくとこは,なけきつれ,ぬしなきやとは,またもありけり
いにしへに,なにはのことは,かはらねと,なみたのかかる,たひはなかりき
おもひやる,あはれなにはの,うらさひて,あしのうきねは,さそなかれけむ
としことに,むかしはとほく,なりゆけと,うかりしあきは,またもきにけり
しかはかり,ちきりしものを,わたりかは,かへるほとには,わするへしやは
しくれとは,ちくさのはなそ,ちりまかふ,なにふるさとの,そてぬらすらむ
きてなれし,ころものそても,かわかぬに,わかれしあきに,なりにけるかな
あふことを,みなくれことに,いてたてと,ゆめちならては,かひなかりけり
なくなくも,きみにはつけつ,なきひとの,またかへりこと,いかかいはまし
さきにたつ,なみたをみちの,しるへにて,われこそゆきて,いはまほしけれ
ほのかにも,しらせてしかな,はるかすみ,かすみのうちに,おもふこころを
このはちる,やまのしたみつ,うつもれて,なかれもやらぬ,ものをこそおもへ
いかなれは,しらぬにおふる,うきぬなは,くるしやこころ,ひとしれすのみ
かくなむと,あまのいさりひ,ほのめかせ,いそへのなみの,をりもよからは
おきつなみ,うちいてむことそ,つつましき,おもひよるへき,みきはならねは
しもかれの,ふゆのにたてる,むらすすき,ほのめかさはや,おもふこころを
しのひつつ,やみなむよりは,おもふこと,ありけるとたに,ひとにしらせむ
おほめくな,たれともなくて,よひよひに,ゆめにみえけむ,われそそのひと
かくとたに,えやはいふきの,さしもくさ,さしもしらしな,もゆるおもひを
なきなたつ,ひとたによには,あるものを,きみこふるみと,しられぬそうき
としもへぬ,なかつきのよの,つきかけの,ありあけかたの,そらをこひつつ
くみてしる,ひともあらなむ,なつやまの,このしたみつは,くさかくれつつ
をふねさし,わたのはらから,しるへせよ,いつれかあまの,たまもかるうら
ひとりして,なかむるやとの,つまにおふる,しのふとたにも,しらせてしかな
おもひあまり,いひいつるほとに,かすならぬ,みをさへひとに,しられぬるかな
しのすすき,しのひもあへぬ,こころにて,けふはほにいつる,あきとしらなむ
いはぬまは,またしらしかし,かきりなく,わかおもふへき,ひとはわれとも
わきもこか,そてふりかけし,うつりかの,けさはみにしむ,ものをこそおもへ
くものうへに,さはかりさしし,ひかりにも,きみかつららは,とけすなりにき
としへつる,やましたみつの,うすこほり,けふはるかせに,うちもとけなむ
こほりとも,ひとのこころを,おもははや,けさたつはるの,かせにとくへく
みつしほの,ひるまたになき,うらなれや,かよふちとりの,あともみえぬは
しほたるる,わかみのかたは,つれなくて,ことうらにこそ,けふりたちけれ
おもひわひ,きのふやまへに,いりしかと,ふみみぬみちは,ゆかれさりけり
くもゐにて,ちきりしなかは,たなはたを,うらやむはかり,なりにけるかな
あふことの,いつとなきには,たなはたの,わかるるさへそ,うらやまれける
あふことの,ととこほるまは,いかはかり,みにさへしみて,なけくとかしる
しきのふす,かりたにたてる,いなくきの,いなとはひとの,いはすもあらなむ
あふさかの,なをもたのまし,こひすれは,せきのしみつに,そてもぬれけり
あふことは,さもこそひとめ,かたからめ,こころはかりは,とけてみえなむ
おもふらむ,しるしたになき,したひもに,こころはかりの,なにかとくへき
したきゆる,ゆきまのくさの,めつらしく,わかおもふひとに,あひみてしかな
おくやまの,まきのはしのき,ふるゆきの,いつとくへしと,みえぬきみかな
うれしきを,わするるひとも,あるものを,つらきをこふる,われやなになり
こひそめし,こころをのみそ,うらみつる,ひとのつらさを,われになしつつ
いかにせむ,かけてもいまは,たのましと,おもふにいとと,ぬるるたもとを
あふことの,なきよりかねて,つらけれは,さもあらましに,ぬるるそてかな
まてといひし,あきもなかはに,なりぬるを,たのめかおきし,つゆはいかにそ
あふまてと,せめていのちの,をしけれは,こひこそひとの,いのりなりけれ
つきもせす,こひになみたを,わかすかな,こやななくりの,いてゆなるらむ
あふみにか,ありといふなる,みくりくる,ひとくるしめの,つくまえのぬま
こひしてふ,ことをしらてや,やみなまし,つれなきひとの,なきよなりせは
つれもなき,ひともあはれと,いひてまし,こひするほとを,しらせたにせは
みをすてて,ふかきふちにも,いりぬへし,そこのこころの,しらまほしさに
こひこひて,あふともゆめに,みつるよは,いととねさめそ,わひしかりける
からころも,むすひしひもは,さしなから,たもとははやく,くちにしものを
くちにける,そてのしるしは,したひもの,とくるになとか,しらせさりけむ
にしききは,たてなからこそ,くちにけれ,けふのほそぬの,むねあはしとや
すまのあまの,うらこくふねの,あともなく,みぬひとこふる,われやなになり
さりともと,おもふこころに,ひかされて,いままてよにも,ふるわかみかな
たのむるに,いのちののふる,ものならは,ちとせもかくて,あらむとやおもふ
おもひしる,ひともこそあれ,あちきなく,つれなきこひに,みをやかへてむ
ひとしれす,あふをまつまに,こひしなは,なににかへたる,いのちとかいはむ
こひしなむ,いのちはことの,かすならて,つれなきひとの,はてそゆかしき
つれなくて,やみぬるひとに,いまはたた,こひしぬとたに,きかせてしかな
あさねかみ,みたれてこひそ,しとろなる,あふよしもかな,もとゆひにせむ
からころも,そてしのうらの,うつせかひ,むなしきこひに,としのへぬらむ
われかみは,とかへるたかと,なりにけり,としはふれとも,こひはわすれす
としをへて,はかへぬやまの,しひしはや,つれなきひとの,こころなるらむ
うれしとも,おもふへかりし,けふしもそ,いととなけきの,そふここちする
ほともなく,こふるこころは,なになれや,しらてたにこそ,としはへにしか
いにしへの,ひとさへけさは,つらきかな,あくれはなとか,かへりそめけむ
よをこめて,かへるそらこそ,なかりつれ,うらやましきは,ありあけのつき
くるるまの,ちとせをすくす,ここちして,まつはまことに,ひさしかりけり
けふよりは,とくくれたけの,ふしことに,よはなかかれと,おもほゆるかな
きみかため,をしからさりし,いのちさへ,なかくもかなと,おもひけるかな
けふくるる,ほとまつたにも,ひさしきに,いかてこころを,かけてすきけむ
かへるさの,みちやはかはる,かはらねと,とくるにまとふ,けさのあはゆき
あけぬれは,くるるものとは,しりなから,なほうらめしき,あさほらけかな
ちかのうらに,なみよせまさる,ここちして,ひるまなくても,くらしつるかな
あひみての,のちこそこひは,まさりけれ,つれなきひとを,いまはうらみし
うつつにて,ゆめはかりなる,あふことを,うつつはかりの,ゆめになさはや
たまさかに,ゆきあふさかの,せきもりは,よをとほさぬそ,わひしかりける
しるひとも,なくてやみぬる,あふことを,いかてなみたの,そてにもるらむ
たのむるに,たのむへきには,あらねとも,まつとはなくて,またれもやせむ
なかめつつ,ことありかほに,くらしても,かならすゆめに,みえはこそあらめ
やすらはて,ねなましものを,さよふけて,かたふくまての,つきをみしかな
おきなから,あかしつるかな,ともねせぬ,かものうはけの,しもならなくに
ゆふつゆを,あさちかうへと,みしものを,そてにおきても,あかしつるかな
いかにせむ,あなあやにくの,はるのひや,よはのけしきの,かからましかは
うはたまの,よはのけしきは,さもあらはあれ,ひとのこころの,はるひともかな
よとのへと,みまくさかりに,ゆくひとも,くれにはたたに,かへるものかは
かへりしは,わかみひとつと,おもひしを,なみたさへこそ,とまらさりしか
あまくもの,かへるはかりの,むらさめに,ところせきまて,ぬれしそてかな
わかこひは,あまのはらなる,つきなれや,くるれはいつる,かけをのみみる
すきてゆく,つきをもなにか,うらむへき,まつわかみこそ,あはれなりけれ
すきたてる,かとならませは,とひてまし,こころのまつは,いかかしるへき
つのくにの,こやともひとを,いふへきに,ひまこそなけれ,あしのやへふき
ひとめのみ,しけきみやまの,あをつつら,くるしきよをそ,おもひわひぬる
こぬもうく,くるもくるしき,あをつつら,いかなるかたに,おもひたえなむ
しるらめや,みこそひとめを,ははかりの,せきになみたは,とまらさりけり
もろともに,いつかとくへき,あふことの,かたむすひなる,よはのしたひも
ふちやさは,せにはなりける,あすかかは,あさきをふかく,なすよなりせは
あひみては,ありぬへしやと,こころみる,ほとはくるしき,ものにそありける
わかこころ,こころにもあらて,つらからは,よかれむとこの,かたみともせよ
こぬまても,またましものを,なかなかに,たのむかたなき,このゆふけかな
きえかへり,つゆもまたひぬ,そてのうへに,けさはしくるる,そらもわりなし
あかつきの,つゆはまくらに,おきけるを,くさはのうへと,なにおもひけむ
きのふけふ,なけくはかりの,ここちせは,あすにわかみや,あはしとすらむ
みしひとに,わすられてふる,そてにこそ,みをしるあめは,いつもをやまね
わすらるる,みをしるあめは,ふらねとも,そてはかりこそ,かわかさりけれ
こえにける,なみをはしらて,すゑのまつ,ちよまてとのみ,たのみけるかな
うらかせに,なひきにけりな,さとのあまの,たくものけふり,こころよわさは
わすれすよ,またわすれすよ,かはらやの,したたくけふり,したむせひつつ
かせのおとの,みにしむはかり,きこゆるは,わかみにあきや,ちかくなるらむ
ありまやま,ゐなのささはら,かせふけは,いてそよひとを,わすれやはする
うらむとも,いまはみえしと,おもふこそ,せめてつらさの,あまりなりけれ
こよひさへ,あらはかくこそ,おもほえめ,けふくれぬまの,いのちともかな
あすならは,わすらるるみに,なりぬへし,けふをすくさぬ,いのちともかな
いとふとは,しらぬにあらす,しりなから,こころにもあらぬ,こころなりけり
あふことは,たなはたつめに,かしつれと,わたらまほしき,かささきのはし
あやめくさ,かけしたもとの,ねをたえて,さらにこひちに,まとふころかな
ふちころも,はつるるそての,いとよわみ,たえてあひみぬ,ほとそわりなき
みるめこそ,あふみのうみに,かたからめ,ふきたにかよへ,しかのうらかせ
あきかせに,なひきなからも,くすのはの,うらめしくのみ,なとかみゆらむ
こひしきに,なにはのことも,おもほえす,たれすみよしの,まつといひけむ
わかおもふ,みやこのはなの,とふさゆゑ,きみもしつえの,しつこころあらし
かたしきの,ころものそては,こほりつつ,いかてすくさむ,とくるはるまて
こひしさは,おもひやるたに,なくさむを,こころにおとる,みこそつらけれ
いつかたを,われなかめまし,たまさかに,ゆきあふさかの,せきなかりせは
ゆきかへり,のちにあふとも,このたひは,これよりこゆる,ものおもひそなき
あつまちの,たひのそらをそ,おもひやる,そなたにいつる,つきをなかめて
おもひやれ,しらぬくもちも,いるかたの,つきよりほかの,なかめやはする
かへるへき,ほとをかそへて,まつひとは,すくるつきひそ,うれしかりける
あつまやの,かやかしたにし,みたるれは,いさやつきひの,ゆくもしられす
しもかれの,かやかしたをれ,とにかくに,おもひみたれて,すくすころかな
かひなきは,なほひとしれす,あふことの,はるかなるみの,うらみなりけり
おもひやる,こころのそらに,ゆきかへり,おほつかなさを,かたらましかは
こころをは,いくたのもりに,かくれとも,こひしきにこそ,しぬへかりけれ
たのめしを,まつにひころの,すきぬれは,たまのをよわみ,たえぬへきかな
あさましや,みしはゆめかと,とふほとに,おとろかすにも,なりぬへきかな
はるはると,のなかにみゆる,わすれみつ,たえまたえまを,なけくころかな
いかはかり,うれしからまし,おもかけに,みゆるはかりの,あふよなりせは
わかやとの,のきのしのふに,ことよせて,やかてもしける,わすれくさかな
あふことを,いまはかきりと,みわのやま,すきのすきにし,かたそこひしき
すきむらと,いひてしるしも,なかりけり,ひともたつねぬ,みわのやまもと
すみよしの,きしならねとも,ひとしれぬ,こころのうちの,まつそわひしき
あふさかの,せきのしみつや,にこるらむ,いりにしひとの,かけのみえぬは
なみたやは,またもあふへき,つまならむ,なくよりほかの,なくさめそなき
よそひとに,なりはてぬとや,おもふらむ,うらむるからに,わすれやはする
つらしとも,おもひしらてそ,やみなまし,われもはてなき,こころなりせは
なかなかに,うかりしままに,やみにせは,わするるほとに,なりもしなまし
うきよをも,またたれにかは,なくさめむ,おもひしらすも,とはぬきみかな
あふまてや,かきりなるらむと,おもひしを,こひはつきせぬ,ものにそありける
あふさかは,あつまちとこそ,ききしかと,こころつくしの,せきにそありける
