いかにねて,おくるあしたに,いふことそ,きのふをこそと,けふをことしと
おもひやる,こころはかりは,さくらはな,たつぬるひとに,おくれやはする
あくかるる,こころはかりは,やまさくら,たつぬるひとに,たくへてそやる
いまこむと,ちきりしひとの,おなしくは,はなのさかりを,すくささらなむ
いつれをか,わきてをらまし,やまさくら,こころうつらぬ,えたしなけれは
ゆきとまる,ところそはるは,なかりける,はなにこころの,あかぬかきりは
やまさくら,こころのままに,たつねきて,かへさそみちの,ほとはしらるる
にほふらむ,はなのみやこの,こひしくて,をるにものうき,やまさくらかな
あつまちの,ひとにとははや,しらかはの,せきにもかくや,はなはにほふと
みるからに,はなのなたての,みなれとも,こころはくもの,うへまてそゆく
はることに,みるとはすれと,さくらはな,あかてもとしの,つもりぬるかな
さくらはな,にほふなこりに,おほかたの,はるさへをしく,おもほゆるかな
みちとほみ,ゆきてはみねと,さくらはな,こころをやりて,けふはくらしつ
さくらさく,はるはよるたに,なかりせは,ゆめにもものは,おもはさらまし
うゑおきし,ひとなきやとの,さくらはな,にほひはかりそ,かはらさりける
みやこひと,いかかととはは,みせもせむ,このやまさくら,ひとえたもかな
ひともみぬ,やとにさくらを,うゑたれは,はなもてやつす,みとそなりぬる
わかやとの,さくらはかひも,なかりけり,あるしからこそ,ひともみにくれ
はなみにと,ひとはやまへに,いりはてて,はるはみやこそ,さひしかりける
よのなかを,なになけかまし,やまさくら,はなみるほとの,こころなりせは
はなみてそ,みのうきことも,わすらるる,はるはかきりの,なからましかは
わかやとの,こすゑはかりと,みしほとに,よものやまへに,はるはきにけり
おもひつつ,ゆめにそみつる,さくらはな,はるはねさめの,なからましかは
はるのうちは,ちらぬさくらと,みてしかな,さてもやかせの,うしろめたなき
はなみると,いへちにおそく,かへるかな,まちときすくと,いもやいふらむ
ひととせに,ふたたひもこぬ,はるなれは,いとなくけふは,はなをこそみれ
うらやまし,はるのみやひと,うちむれて,おのかものとや,はなをみるらむ
やまさくら,しらくもにのみ,まかへはや,はるのこころの,そらになるらむ
いにしへの,はなみしひとは,たつねしを,おいははるにも,しられさりけり
さくらはな,さかりになれは,ふるさとの,むくらのかとも,さされさりけり
よそなから,をしきさくらの,にほひかな,たれわかやとの,はなとみるらむ
はることに,みれともあかす,やまさくら,としにやはなの,さきまさるらむ
よのなかを,おもひすててし,みなれとも,こころよわしと,はなにみえける
よよふとも,われわすれめや,さくらはな,こけのたもとに,ちりてかかりし
なにことを,はるのかたみに,おもはまし,けふしらかはの,はなみさりせは
たかさこの,をのへのさくら,さきにけり,とやまのかすみ,たたすもあらなむ
よしのやま,やへたつみねの,しらくもに,かさねてみゆる,はなさくらかな
おもひおく,ことなからまし,にはさくら,ちりてののちの,ふなてなりせは
とふひとも,やとにはあらし,やまさくら,ちらてかへりし,はるしなけれは
ちるまては,たひねをせなむ,このもとに,かへらははなの,なたてなるへし
ちりはてて,のちやかへらむ,ふるさとも,わすられぬへき,やまさくらかな
わかやとに,さきみちにけり,さくらはな,ほかにははるも,あらしとそおもふ
はなもみな,ちりなむのちは,わかやとに,なににつけてか,ひとをまつへき
みちよへて,なりけるものを,なとてかは,ももとしもはた,なつけそめけむ
あかさらは,ちよまてかさせ,もものはな,はなもかはらし,はるもたえねは
ふるさとの,はなのものいふ,よなりせは,いかにむかしの,ことをとはまし
さくらはな,あかぬあまりに,おもふかな,ちらすはひとや,をしまさらまし
をしめとも,ちりもとまらぬ,はなゆゑに,はるはやまへを,すみかにそする
よとともに,ちらすもあらなむ,さくらはな,あかぬこころは,いつかたゆへき
さくらはな,またきなちりそ,なににより,はるをはひとの,をしむならぬに
やまさとに,ちりはてぬへき,はなゆゑに,たれとはなくて,ひとそまたるる
しめゆひし,そのかみならは,さくらはな,をしまれつつや,けふはちらまし
さくらはな,みちみえぬまて,ちりにけり,いかかはすへき,しかのやまこえ
さくらちる,となりにいとふ,はるかせは,はななきやとそ,うれしかりける
はなのかけ,たたまくをしき,こよひかな,にしきをさらす,にはとみえつつ
をしむには,ちりもとまらて,さくらはな,あかぬこころそ,ときはなりける
こころから,ものをこそおもへ,やまさくら,たつねさりせは,ちるをみましや
うらやまし,いかなるはなか,ちりにけむ,ものおもふみしも,よにはのこりて
ふくかせそ,おもへはつらき,さくらはな,こころとちれる,はるしなけれは
としをへて,はなにこころを,くたくかな,をしむにとまる,はるはなけれと
ここにこぬ,ひともみよとて,さくらはな,みつのこころに,まかせてそやる
ゆくすゑを,せきととめはや,しらかはの,みつとともにそ,はるもゆきける
おくれても,さくへきはなは,さきにけり,みをかきりとも,おもひけるかな
かせたにも,ふきはらはすは,にはさくら,ちるともはるの,ほとはみてまし
のへみれは,やよひのつきの,はつかまて,またうらわかき,さいたつまかな
いはつつし,をりもてそみる,せこかきし,くれなゐそめの,いろににたれは
わきもこか,くれなゐそめの,いろとみて,なつさはれぬる,いはつつしかな
ふちのはな,さかりとなれは,にはのおもに,おもひもかけぬ,なみそたちける
むらさきに,やしほそめたる,ふちのはな,いけにはひさす,ものにそありける
ふちのはな,をりてかさせは,こむらさき,わかもとゆひの,いろやそふらむ
みなそこも,むらさきふかく,みゆるかな,きしのいはねに,かかるふちなみ
すみのえの,まつのみとりも,むらさきの,いろにそかくる,きしのふちなみ
みちとほみ,ゐてへもゆかし,このさとも,やへやはさかぬ,やまふきのはな
ぬまみつに,かはつなくなり,うへしこそ,きしのやまふき,さかりなりけれ
みかくれて,すたくかはつの,もろこゑに,さわきそわたる,ゐてのかはなみ
こゑたえす,さへつれのへの,ももちとり,のこりすくなき,はるにやはあらぬ
われひとり,きくものならは,よふことり,ふたこゑまては,なかせさらまし
ほとときす,おもひもかけぬ,はるなけは,ことしそまたて,はつねききつる
ほとときす,なかすはなかす,いかにして,くれゆくはるを,またもくはへむ
おもひいつる,ことのみしけき,のへにきて,またはるにさへ,わかれぬるかな
さくらいろに,そめしころもを,ぬきかへて,やまほとときす,けふよりそまつ
きのふまて,をしみしはなも,わすられて,けふはまたるる,ほとときすかな
わかやとの,こすゑのなつに,なるときは,いこまのやまそ,みえすなりぬる
なつくさは,むすふはかりに,なりにけり,のかひしこまや,あくかれぬらむ
さかきとる,うつきになれは,かみやまの,ならのはかしは,もとつはもなし
やへしける,むくらのかとの,いふせさに,ささすやなにを,たたくくひなそ
あとたえて,とふひともなき,やまさとに,われのみみよと,さけるうのはな
しらなみの,おとせてたつと,みえつるは,うのはなさける,かきねなりけり
つきかけを,いろにてさける,うのはなは,あけはありあけの,ここちこそせめ
うのはなの,さけるあたりは,ときならぬ,ゆきふるさとの,かきねとそみる
みわたせは,なみのしからみ,かけてけり,うのはなさける,たまかはのさと
うのはなの,さけるさかりは,しらなみの,たつたのかはの,ゐせきとそみる
ゆきとのみ,あやまたれつつ,うのはなに,ふゆこもれりと,みゆるやまさと
わかやとの,かきねなすきそ,ほとときす,いつれのさとも,おなしうのはな
ほとときす,われはまたてそ,こころみる,おもふことのみ,たかふみなれは
ほとときす,たつぬはかりの,なのみして,きかすはさてや,やとにかへらむ
ここにわか,きかまほしきを,あしひきの,やまほとときす,いかになくらむ
あしひきの,やまほとときす,のみならす,おほかたとりの,こゑもきこえす
きかはやな,そのかみやまの,ほとときす,ありしむかしの,おなしこゑかと
ほとときす,なのりしてこそ,しらるなれ,たつねぬひとに,つけややらまし
ききすてて,きみかきにけむ,ほとときす,たつねにわれは,やまちこえみむ
このころは,ねてのみそまつ,ほとときす,しはしみやこの,ものかたりせよ
よひのまは,まとろみなまし,ほとときす,あけてきなくと,かねてしりせは
ききつとも,きかすともなく,ほとときす,こころまとはす,さよのひとこゑ
よたにあけは,たつねてきかむ,ほとときす,しのたのもりの,かたになくなり
なつのよは,さてもやねぬと,ほとときす,ふたこゑきける,ひとにとははや
ねぬよこそ,かすつもりぬれ,ほとときす,きくほともなき,ひとこゑにより
ありあけの,つきたにあれや,ほとときす,たたひとこゑの,ゆくかたもみむ
なかぬよも,なくよもさらに,ほとときす,まつとてやすく,いやはねらるる
よもすから,まちつるものを,ほとときす,またたになかて,すきぬなるかな
あつまちの,おもひいてにせむ,ほとときす,おいそのもりの,よはのひとこゑ
ききつるや,はつねなるらむ,ほとときす,おいはねさめそ,うれしかりける
いつかたと,ききたにわかす,ほとときす,たたひとこゑの,こころまとひに
ほとときす,まつほととこそ,おもひつれ,ききてののちも,ねられさりけり
ほとときす,よふかきこゑを,きくのみそ,ものおもふひとの,とりところなる
ひとこゑも,ききかたかりし,ほとときす,ともになくみと,なりにけるかな
ほとときす,きなかぬよひの,しるからは,ぬるよもひとよ,あらましものを
またぬよも,まつよもききつ,ほとときす,はなたちはなの,にほふあたりは
ねてのみや,ひとはまつらむ,ほとときす,ものおもふやとは,きかぬよそなき
みたやもり,けふはさつきに,なりにけり,いそけやさなへ,おいもこそすれ
さみたれに,ひもくれぬめり,みちとほみ,やまたのさなへ,とりもはてぬに
さみたれは,みつのみまきの,まこもくさ,かりほすひまも,あらしとそおもふ
さみたれは,みえしをささの,はらもなし,あさかのぬまの,ここちのみして
つれつれと,おとたえせぬは,さみたれの,のきのあやめの,しつくなりけり
さみたれの,をやむけしきの,みえぬかな,にはたつみのみ,かすまさりつつ
かをとめて,とふひとあるを,あやめくさ,あやしくこまの,すさへさりける
つくまえの,そこのふかさを,よそなから,ひけるあやめの,ねにてしるかな
ねやのうへに,ねさしととめよ,あやめくさ,たつねてひくも,おなしよとのを
けふもけふ,あやめもあやめ,かはらぬに,やとこそありし,やととおほえね
さみたれの,そらなつかしく,にほふかな,はなたちはなに,かせやふくらむ
むかしをは,はなたちはなの,なかりせは,なににつけてか,おもひいてまし
おともせて,おもひにもゆる,ほたるこそ,なくむしよりも,あはれなりけれ
さはみつに,そらなるほしの,うつるかと,みゆるはよはの,ほたるなりけり
ひとへなる,せみのはころも,なつはなほ,うすしといへと,あつくそありける
なつかりの,たまえのあしを,ふみしたき,むれゐるとりの,たつそらそなき
なつころも,たつたかはらの,やなきかけ,すすみにきつつ,ならすころかな
なつのひに,なるまてきえぬ,ふゆこほり,はるたつかせや,よきてふきけむ
なつのよの,つきはほとなく,いりぬとも,やとれるみつに,かけをとめなむ
なにをかは,あくるしるしと,おもふへき,ひるにかはらぬ,なつのよのつき
なつのよも,すすしかりけり,つきかけは,にはしろたへの,しもとみえつつ
とこなつの,にほへるにはは,からくにに,おれるにしきも,しかしとそおもふ
いかならむ,こよひのあめに,とこなつの,けさたにつゆの,おもけなりつる
きてみよと,いもかいへちに,つけやらむ,わかひとりぬる,とこなつのはな
なつふかく,なりそしにける,おほあらきの,もりのしたくさ,なへてひとかる
ほともなく,なつのすすしく,なりぬるは,ひとにしられて,あきやきぬらむ
なつのよの,ありあけのつきを,みるほとに,あきをもまたて,かせそすすしき
なつやまの,ならのはそよく,ゆふくれは,ことしもあきの,ここちこそすれ
もみちせは,あかくなりなむ,をくらやま,あきまつほとの,なにこそありけれ
さよふかき,いつみのみつの,おときけは,むすはぬそても,すすしかりけり
みなかみも,あらふるこころ,あらしかし,なみもなこしの,はらへしつれは
うちつけに,たもとすすしく,おほゆるは,ころもにあきは,きたるなりけり
あさちはら,たままくくすの,うらかせの,うらかなしかる,あきはきにけり
おほかたの,あきくるからに,みにちかく,ならすあふきの,かせそすすしき
ひととせの,すきつるよりも,たなはたの,こよひをいかに,あかしかぬらむ
いととしく,つゆけかるらむ,たなはたの,ねぬよにあへる,あまのはころも
たなはたは,あさひくいとの,みたれつつ,とくとやけふの,くれをまつらむ
たなはたは,くものころもを,ひきかさね,かへさてぬるや,こよひなるらむ
あまのかは,とわたるふねの,かちのはに,おもふことをも,かきつくるかな
あきのよを,なかきものとは,ほしあひの,かけみぬひとの,いふにそありける
たなはたの,あふよのかすの,わひつつも,くるつきことの,なぬかなりせは
まちえたる,ひとよはかりを,たなはたの,あひみぬよはと,おもはましかは
わすれにし,ひとにみせはや,あまのかは,いまれしほしの,こころなかさを
たまさかに,あふことよりも,たなはたは,けふまつるをや,めつらしとみる
いそきつつ,われこそきつれ,やまさとに,いつよりすめる,あきのつきそも
わすれにし,ひともとひけり,あきのよは,つきいてはとこそ,まつへかりけれ
あきのよの,つきみにいてて,よはふけぬ,われもありあけの,いらてあかさむ
にこりなく,ちよをかそへて,すむみつに,ひかりをそふる,あきのよのつき
おほそらの,つきのひかりし,あかけれは,まきのいたとも,あきはさされす
すたきけむ,むかしのひとも,なきやとに,たたかけするは,あきのよのつき
みをつめは,いるもをしまし,あきのつき,やまのあなたの,ひともまつらむ
よそなりし,くものうへにて,みるときも,あきのつきには,あかすそありける
いつもみる,つきそとおもへと,あきのよは,いかなるかけを,そふるなるらむ
すむとても,いくよもすまし,よのなかに,くもりかちなる,あきのよのつき
すむひとも,なきやまさとの,あきのよは,つきのひかりも,さひしかりけり
とふひとも,くるれはかへる,やまさとに,もろともにすむ,あきのよのつき
しろたへの,ころものそてを,しもかとて,はらへはつきの,ひかりなりけり
いにしへの,つきかかりせは,かつらきの,かみはよるとも,ちきらさらまし
よもすから,そらすむつきを,なかむれは,あきはあくるも,しられさりけり
うきままに,いとひしみこそ,をしまるれ,あれはそみける,あきのよのつき
こよひこそ,よにあるひとは,ゆかしけれ,いつこもかくや,つきをみるらむ
あきもあき,こよひもこよひ,つきもつき,ところもところ,みるきみもきみ
いろいろの,はなのひもとく,ゆふくれに,ちよまつむしの,こゑそきこゆる
とやかへり,わかてならしし,はしたかの,くるときこゆる,すすむしのこゑ
としへぬる,あきにもあかす,すすむしの,ふりゆくままに,こゑのまされは
たつねくる,ひともあらなむ,としをへて,わかふるさとの,すすむしのこゑ
ふるさとは,あさちかはらと,あれはてて,よすからむしの,ねをのみそなく
あさちふの,あきのゆふくれ,なくむしは,わかことしたに,ものやかなしき
あきかせに,こゑよわりゆく,すすむしの,つひにはいかか,ならむとすらむ
なけやなけ,よもきかそまの,きりきりす,すきゆくあきは,けにそかなしき
わきもこか,かけてまつらむ,たまつさを,かきつらねたる,はつかりのこゑ
おきもゐぬ,わかとこよこそ,かなしけれ,はるかへりにし,かりもなくなり
さよふかく,たひのそらにて,なくかりは,おのかはかせや,よさむなるらむ
さしてゆく,みちもわすれて,かりかねの,きこゆるかたに,こころをそやる
あふさかの,せきのすきむら,ひくほとは,をふちにみゆる,もちつきのこま
みちのくの,あたちのこまは,なつめとも,けふあふさかの,せきまてはきぬ
もちつきの,こまひくときは,あふさかの,このしたやみも,みえすそありける
くれゆけは,あさちかはらの,むしのねも,をのへのしかも,こゑたてつなり
しかのねに,あきをしるかな,たかさこの,をのへのまつは,みとりなれとも
かひもなき,ここちこそすれ,さをしかの,たつこゑもせぬ,はきのにしきは
あきはきの,さくにしもなと,しかのなく,うつろふはなは,おのかつまかも
あきはきを,しからみふする,しかのねを,ねたきものから,まつそききつる
まかきなる,はきのしたはの,もみちみて,おもひやりつる,しかそなくなる
あきはなほ,わかみならねと,たかさこの,をのへのしかも,つまそこふらし
こよひこそ,しかのねちかく,きこゆなれ,やかてかきほは,あきののなれは
みやきのに,つまよふしかそ,さけふなる,もとあらのはきに,つゆやさむけき
あききりの,はれせぬみねに,たつしかは,こゑはかりこそ,ひとにしらるれ
しかのねそ,ねさめのとこに,かよふなる,をののくさふし,つゆやおくらむ
をくらやま,たちともみえぬ,ゆふきりに,つままとはせる,しかそなくなる
